SOURCELONG:Gozzilioni Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
Come	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickCome		DESC:The animal comes to you, even if it normally would not do so.	KEY:Animal Trick ~ Come			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Come],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickCome]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Defend	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickDefend		DESC:The animal defends you (or is ready to defend you if no threat is present), even without any command being given. Alternatively, you can command the animal to defend another specific character.	KEY:Animal Trick ~ Defend			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Defend],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickDefend]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Down	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickDown		DESC:The animal breaks off from combat or otherwise backs down. An animal that doesn't know this trick continues to fight until it must f lee (due to injury, a fear effect, or the like) or its opponent is defeated.	KEY:Animal Trick ~ Down			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Down],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickDown]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Fetch	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickFetch		DESC:The animal goes and gets something. If you do not point out a specific item, the animal fetches a random object.	KEY:Animal Trick ~ Fetch			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Fetch],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickFetch]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Guard	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickGuard		DESC:The animal stays in place and prevents others from approaching.	KEY:Animal Trick ~ Guard			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Guard],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickGuard]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Heel	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickHeel		DESC:The animal follows you closely, even to places where it normally wouldn't go.	KEY:Animal Trick ~ Heel			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Heel],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickHeel]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Perform	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickPerform		DESC:The animal performs a variety of simple tricks, such as sitting up, rolling over, roaring or barking, and so on.	KEY:Animal Trick ~ Perform			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Perform],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickPerform]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Seek	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickSeek		DESC:The animal moves into an area and looks around for anything that is obviously alive or animate.	KEY:Animal Trick ~ Seek			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Seek],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickSeek]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Stay	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickStay		DESC:The animal stays in place, waiting for you to return. It does not challenge other creatures that come by, though it still defends itself if it needs to.	KEY:Animal Trick ~ Stay			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Stay],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickStay]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Track	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickTrack		DESC:The animal tracks the scent presented to it. (This requires the animal to have the scent ability.)	KEY:Animal Trick ~ Track			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Track],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickTrack]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Work	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickWork		DESC:The animal pulls or pushes a medium or heavy load.	KEY:Animal Trick ~ Work			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Work],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickWork]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Air Walk	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTrickAirWalk		DESC:The animal is trained to move with the aid of the air walk spell.	KEY:Animal Trick ~ Air Walk			PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Trick ~ Air Walk],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickAirWalk]																								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Trained for Combat Riding	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTraining.General.AnimalTrickAttack.AnimalTrickCome.AnimalTrickDefend.AnimalTrickDown.AnimalTrickGuard.AnimalTrickHeel		DESC:An animal trained to bear a rider into combat knows the tricks attack, come, defend, down, guard, and heel.	KEY:Animal Training ~ Combat Riding	!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTraining	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Training ~ Combat Riding],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickAttack,TYPE.AnimalTrickCome,TYPE.AnimalTrickDefend,TYPE.AnimalTrickDown,TYPE.AnimalTrickGuard,TYPE.AnimalTrickHeel]	PRESTAT:1,INT=2															ABILITY:Special Ability|AUTOMATIC|Animal Trick ~ Attack|Animal Trick ~ Come|Animal Trick ~ Defend|Animal Trick ~ Down|Animal Trick ~ Guard|Animal Trick ~ Heel	COST:6								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Trained for Fighting	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTraining.General.AnimalTrickAttack.AnimalTrickDown.AnimalTrickStay		DESC:An animal trained to engage in combat knows the tricks attack, down, and stay. Training an animal for fighting takes 3 weeks.	KEY:Animal Training ~ Fighting	!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTraining	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Training ~ Fighting],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickAttack,TYPE.AnimalTrickDown,TYPE.AnimalTrickStay]																ABILITY:Special Ability|AUTOMATIC|Animal Trick ~ Attack|Animal Trick ~ Down|Animal Trick ~ Stay	COST:3								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Trained for Guarding	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTraining.General.AnimalTrickAttack.AnimalTrickDefend.AnimalTrickDown.AnimalTrickGuard		DESC:An animal trained to guard knows the tricks attack, defend, down, and guard. Training an animal for guarding takes 4 weeks.	KEY:Animal Training ~ Guarding	!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTraining	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Training ~ Guarding],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickAttack,TYPE.AnimalTrickDefend,TYPE.AnimalTrickDown,TYPE.AnimalTrickGuard]	PRESTAT:1,INT=2															ABILITY:Special Ability|AUTOMATIC|Animal Trick ~ Attack|Animal Trick ~ Defend|Animal Trick ~ Down|Animal Trick ~ Guard	COST:4								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Trained for Heavy Labor	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTraining.General.AnimalTrickCome.AnimalTrickWork		DESC:An animal trained for heavy labor knows the tricks come and work. Training an animal for heavy labor takes 2 weeks.	KEY:Animal Training ~ Heavy Labor	!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTraining	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Training ~ Heavy Labor],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickCome,TYPE.AnimalTrickWork]																ABILITY:Special Ability|AUTOMATIC|Animal Trick ~ Come|Animal Trick ~ Work	COST:2								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Trained for Hunting	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTraining.General.AnimalTrickAttack.AnimalTrickDown.AnimalTrickFetch.AnimalTrickHeel.AnimalTrickSeek.AnimalTrickTrack		DESC:An animal trained for hunting knows the tricks attack, down, fetch, heel, seek, and track. Training an animal for hunting takes 6 weeks.	KEY:Animal Training ~ Hunting	!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTraining	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Training ~ Hunting],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickAttack,TYPE.AnimalTrickDown,TYPE.AnimalTrickFetch,TYPE.AnimalTrickHeel,TYPE.AnimalTrickSeek,TYPE.AnimalTrickTrack]	PRESTAT:1,INT=2															ABILITY:Special Ability|AUTOMATIC|Animal Trick ~ Attack|Animal Trick ~ Down|Animal Trick ~ Fetch|Animal Trick ~ Heel|Animal Trick ~ Seek|Animal Trick ~ Track	COST:6								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Trained for Performance	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTraining.General.AnimalTrickCome.AnimalTrickFetch.AnimalTrickHeel.AnimalTrickPerform.AnimalTrickStay		DESC:An animal trained for performance knows the tricks come, fetch, heel, perform, and stay. Training an animal for performance takes 5 weeks.	KEY:Animal Training ~ Performance	!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTraining	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Training ~ Performance],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickCome,TYPE.AnimalTrickFetch,TYPE.AnimalTrickHeel,TYPE.AnimalTrickPerform,TYPE.AnimalTrickStay]	PRESTAT:1,INT=2															ABILITY:Special Ability|AUTOMATIC|Animal Trick ~ Come|Animal Trick ~ Fetch|Animal Trick ~ Heel|Animal Trick ~ Perform|Animal Trick ~ Stay	COST:5								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Trained for Riding	CATEGORY:Special Ability	TYPE:AnimalTrick.AnimalTraining.General.AnimalTrickCome.AnimalTrickHeel.AnimalTrickStay		DESC:An animal trained to bear a rider knows the tricks come, heel, and stay. Training an animal for riding takes 3 weeks.	KEY:Animal Training ~ Riding	!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTraining	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Animal Training ~ Riding],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.AnimalTrickCome,TYPE.AnimalTrickHeel,TYPE.AnimalTrickStay]																ABILITY:Special Ability|AUTOMATIC|Animal Trick ~ Come|Animal Trick ~ Heel|Animal Trick ~ Stay	COST:3								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
###Block:Permanency																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
#PERMANENCY SPELL / ADD THIS FIRST TO ADD NEW EFFECTS	SORTKEY:1	CATEGORY:Special Ability	TYPE:PermanencySpell																											DESC:REMOVE this when you are done to remove the reminder on the TODO.																																																																																																																																																																																																																																																																																																																																																																							BONUS:ABILITYPOOL|Permanency Applied Effects|1																																																																																				COST:0
# Self Only																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Permanency Spell / Arcane Sight			CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyArcaneSightLVL|0		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyArcaneSightLVL|Arcane Sight			DESC:Self Only, (1500XP), Caster Level %1.|%LIST	DESC:This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a detect magic spell, but arcane sight does not require concentration and discerns aura location and power more quickly. You know the location and power of all magical auras within your sight. An aura's power depends on a spell's functioning level or an item's caster level, as noted in the description of the detect magic spell. If the items or creatures bearing the auras are in line of sight, you can make Spellcraft skill checks to determine the school of magic involved in each. [Make one check per aura; DC 15 + spell level, or 15 + one-half caster level for a nonspell effect.] If you concentrate on a specific creature within 120 feet of you as a standard action, you can determine whether it has any spellcasting or spell-like abilities, whether these are arcane or divine [spell-like abilities register as arcane], and the strength of the most powerful spell or spell-like ability the creature currently has available for use.																																																																																																																																																																										MULT:YES	CHOOSE:NUMCHOICES=1|STRING|11|12|13|14|15|16|17|18|19|20		SELECT:1																																																																																																		BONUS:VAR|PermanecyArcaneSightLVL|%LIST																	COST:0																																																																																																																																																																												
Permanency Spell / Comprehend Languages		CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyComprehendLanguagesLVL|0	SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyComprehendLanguagesLVL|Comprehend Languages	DESC:Self Only, (500XP), Caster Level %1.|%LIST	DESC:You can understand the spoken words of creatures or read otherwise incomprehensible written messages. In either case, you must touch the creature or the writing. The ability to read does not necessarily impart insight into the material, merely its literal meaning. The spell enables you to understand or read an unknown language, not speak or write it. Written material can be read at the rate of one page [250 words] per minute. Magical writing cannot be read, though the spell reveals that it is magical. This spell can be foiled by certain warding magic [such as the secret page and illusory script spells]. It does not decipher codes or reveal messages concealed in otherwise normal text.																																																																																																																																																																																																																																									MULT:YES	CHOOSE:NUMCHOICES=1|STRING|09|10|11|12|13|14|15|16|17|18|19|20																																																																																																				BONUS:VAR|PermanecyComprehendLanguagesLVL|%LIST																COST:0																																																																																																																		
Permanency Spell / Darkvision				CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyDarkvisionLVL|0		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyDarkvisionLVL|Darkvision				DESC:Self Only, (1,000XP), Caster Level %1.|%LIST	DESC:The subject gains the ability to see 60 feet even in total darkness. Darkvision is black and white only but otherwise like normal sight. Darkvision does not grant one the ability to see in magical darkness.																																																																																																																																																																																																																																																																																																																									MULT:YES	CHOOSE:NUMCHOICES=1|STRING|10|11|12|13|14|15|16|17|18|19|20																																																																																																					BONUS:VAR|PermanecyDarkvisionLVL|%LIST	BONUS:VAR|DarkvisionRange|60|TYPE=Base										COST:0																																
Permanency Spell / Detect Magic			CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyDetectMagicLVL|0		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyDetectMagicLVL|Detect Magic			DESC:Self Only, (500XP), Caster Level %1.|%LIST	DESC:You detect magical auras. The amount of information revealed depends on how long you study a particular area or subject. &nl;1st Round: Presence or absence of magical auras. &nl;2nd Round: Number of different magical auras and the power of the most potent aura. &nl;3rd Round: The strength and location of each aura. If the items or creatures bearing the auras are in line of sight, you can make Spellcraft skill checks to determine the school of magic involved in each. [Make one check per aura; DC 15 + spell level, or 15 + half caster level for a nonspell effect.] &nl;Magical areas, multiple types of magic, or strong local magical emanations may distort or conceal weaker auras. &nl;Aura Strength: An aura's power depends on a spell's functioning spell level or an item's caster level. If an aura falls into more than one category, detect magic indicates the stronger of the two. &nl;  &pipe;--------- Aura Power --------- &nl;Spell or Object &pipe;Faint &pipe;Moderate &pipe;Strong &pipe;Overwhelming &nl;Functioning spell [spell level] &pipe;3rd or lower &pipe;4th-6th &pipe;7th-9th &pipe;10th+ [deity-level] &nl;Magic item [caster level] &pipe;5th or lower &pipe;6th-11th &pipe;12th-20th &pipe;21st+ [artifact] &nl;Lingering Aura: A magical aura lingers after its original source dissipates [in the case of a spell] or is destroyed [in the case of a magic item]. If detect magic is cast and directed at such a location, the spell indicates an aura strength of dim [even weaker than a faint aura]. How long the aura lingers at this dim level depends on its original power: &nl;Original Strength &pipe;Duration of Lingering Aura &nl;Faint &pipe;1d6 rounds &nl;Moderate &pipe;1d6 minutes &nl;Strong &pipe;1d6x10 minutes &nl;Overwhelming &pipe;1d6 days &nl;Outsiders and elementals are not magical in themselves, but if they are summoned, the conjuration spell registers. &nl;Each round, you can turn to detect magic in a new area. The spell can penetrate barriers, but 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt blocks it.			MULT:YES	CHOOSE:NUMCHOICES=1|STRING|09|10|11|12|13|14|15|16|17|18|19|20																																																																																																				BONUS:VAR|PermanecyDetectMagicLVL|%LIST																	COST:0																																																																																																																																																																																																																																																																																																																																																			
Permanency Spell / Read Magic				CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyReadMagicLVL|0		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyReadMagicLVL|Read Magic				DESC:Self Only, (500XP), Caster Level %1.|%LIST	DESC:By means of read magic, you can decipher magical inscriptions on objects-books, scrolls, weapons, and the like-that would otherwise be unintelligible. This deciphering does not normally invoke the magic contained in the writing, although it may do so in the case of a cursed scroll. Furthermore, once the spell is cast and you have read the magical inscription, you are thereafter able to read that particular writing without recourse to the use of read magic. You can read at the rate of one page [250 words] per minute. The spell allows you to identify a glyph of warding with a DC 13 Spellcraft check, a greater glyph of warding with a DC 16 Spellcraft check, or any symbol spell with a Spellcraft check [DC 10 + spell level].																																																																																																																																																																																																																																			MULT:YES	CHOOSE:NUMCHOICES=1|STRING|09|10|11|12|13|14|15|16|17|18|19|20																																																																																																				BONUS:VAR|PermanecyReadMagicLVL|%LIST																	COST:0																																																																																																																	
Permanency Spell / See Invisibility			CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecySeeInvisibilityLVL|0	SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecySeeInvisibilityLVL|See Invisibility		DESC:Self Only, (1,000XP), Caster Level %1.|%LIST	DESC:You can see any objects or beings that are invisible within your range of vision, as well as any that are ethereal, as if they were normally visible. Such creatures are visible to you as translucent shapes, allowing you easily to discern the difference between visible, invisible, and ethereal creatures. The spell does not reveal the method used to obtain invisibility. It does not reveal illusions or enable you to see through opaque objects. It does not reveal creatures who are simply hiding, concealed, or otherwise hard to see.																																																																																																																																																																																																																																																																			MULT:YES	CHOOSE:NUMCHOICES=1|STRING|10|11|12|13|14|15|16|17|18|19|20																																																																																																					BONUS:VAR|PermanecySeeInvisibilityLVL|%LIST																COST:0																																																																																					
Permanency Spell / Tongues				CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyTonguesLVL|0			SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyTonguesLVL|Tongues					DESC:Self Only, (1,500XP), Caster Level %1.|%LIST	DESC:This spell grants the creature touched the ability to speak and understand the language of any intelligent creature, whether it is a racial tongue or a regional dialect. The subject can speak only one language at a time, although it may be able to understand several languages. Tongues does not enable the subject to speak with creatures who don't speak. The subject can make itself understood as far as its voice carries. This spell does not predispose any creature addressed toward the subject in any way.																																																																																																																																																																																																																																																																							MULT:YES	CHOOSE:NUMCHOICES=1|STRING|11|12|13|14|15|16|17|18|19|20																																																																																																					BONUS:VAR|PermanecyTonguesLVL|%LIST																		COST:0																																																																									
# Anyone																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Permanency Spell / Enlarge Person			CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyEnlargePersonLVL|0		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyEnlargePersonLVL|Enlarge Person			DESC:(500XP), Caster Level %1.|%LIST	DESC:This spell causes instant growth of a humanoid creature, doubling its height and multiplying its weight by 8. This increase changes the creature's size category to the next larger one. The target gains a +2 size bonus to Strength, a -2 size penalty to Dexterity [to a minimum of 1], and a -1 penalty on attack rolls and AC due to its increased size. A humanoid creature whose size increases to Large has a space of 10 feet and a natural reach of 10 feet. This spell does not change the target's speed. If insufficient room is available for the desired growth, the creature attains the maximum possible size and may make a Strength check [using its increased Strength] to burst any enclosures in the process. If it fails, it is constrained without harm by the materials enclosing it- the spell cannot be used to crush a creature by increasing its size. All equipment worn or carried by a creature is similarly enlarged by the spell. Melee and projectile weapons affected by this spell deal more damage. Other magical properties are not affected by this spell. Any enlarged item that leaves an enlarged creature's possession [including a projectile or thrown weapon] instantly returns to its normal size. This means that thrown weapons deal their normal damage, and projectiles deal damage based on the size of the weapon that fired them. Magical properties of enlarged items are not increased by this spell. Multiple magical effects that increase size do not stack,. Enlarge person counters and dispels reduce person.																																																																																																	MULT:YES	CHOOSE:NUMCHOICES=1|STRING|09|10|11|12|13|14|15|16|17|18|19|20															BONUS:COMBAT|DAMAGESIZE|1|PRERACE:1,RACETYPE=Humanoid	BONUS:COMBAT|TOHIT,AC|-1|TYPE=Size|PRERACE:1,RACETYPE=Humanoid																									BONUS:SIZEMOD|NUMBER|1|TYPE=Temporary|PRERACE:1,RACETYPE=Humanoid								BONUS:STAT|STR|2|TYPE=Size|PRERACE:1,RACETYPE=Humanoid	BONUS:STAT|DEX|-1*(min(2,DEXSCORE-1))|TYPE=Size|PRERACE:1,RACETYPE=Humanoid	BONUS:VAR|PermanecyEnlargePersonLVL|%LIST								BONUS:WIELDCATEGORY|ALL|1|PRERACE:1,RACETYPE=Humanoid	COST:0																																																																																																																																																																																																																																																																																																														
Permanency Spell / Magic Fang				CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyMagicFangLVL|0		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyMagicFangLVL|Magic Fang				DESC:(500XP), Caster Level %1.|%LIST	DESC:Magic fang gives one natural weapon of the subject a +1 enhancement bonus on attack and damage rolls. The spell can affect a slam attack, fist, bite, or other natural weapon. [The spell does not change an unarmed strike's damage from nonlethal damage to lethal damage.]																																																																																																																																																																																																																																																																																																																	MULT:YES	CHOOSE:NUMCHOICES=1|STRING|09|10|11|12|13|14|15|16|17|18|19|20																																																																																																				BONUS:VAR|PermanecyMagicFangLVL|%LIST																	COST:0																										BONUS:WEAPONPROF=Natural|TOHIT,DAMAGE|1|TYPE=Enhancement									
Permanency Spell / Greater Magic Fang		CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyMagicFangGreaterLVL|0	SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyMagicFangGreaterLVL|Magic Fang (Greater)	DESC:(1,500XP), Caster Level %1.|%LIST	DESC:This spell functions like magic fang, except that the enhancement bonus on attack and damage rolls is +1 per four caster levels [maximum +5]. Alternatively, you may imbue all of the creature's natural weapons with a +1 enhancement bonus [regardless of your caster level].																																																																																																																																																																																																																																																																																																																MULT:YES	CHOOSE:NUMCHOICES=1|STRING|11|12|13|14|15|16|17|18|19|20																																																																																																					BONUS:VAR|PermanecyMagicFangGreaterLVL|%LIST																COST:0																										BONUS:WEAPONPROF=Natural|TOHIT,DAMAGE|MIN(floor(%LIST/4),5)|TYPE=Enhancement																
Permanency Spell / Reduce Person			CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyReducePersonLVL|0		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyReducePersonLVL|Reduce Person			DESC:(500XP), Caster Level %1.|%LIST	DESC:This spell causes instant diminution of a humanoid creature, halving its height, length, and width and dividing its weight by 8. This decrease changes the creature's size category to the next smaller one. The target gains a +2 size bonus to Dexterity, a -2 size penalty to Strength [to a minimum of 1], and a +1 bonus on attack rolls and AC due to its reduced size. A Small humanoid creature whose size decreases to Tiny has a space of 2-1/2 feet and a natural reach of 0 feet [meaning that it must enter an opponent's square to attack]. A Large humanoid creature whose size decreases to Medium has a space of 5 feet and a natural reach of 5 feet. This spell doesn't change the target's speed. All equipment worn or carried by a creature is similarly reduced by the spell. Melee and projectile weapons deal less damage. Other magical properties are not affected by this spell. Any reduced item that leaves the reduced creature's possession [including a projectile or thrown weapon] instantly returns to its normal size. This means that thrown weapons deal their normal damage [projectiles deal damage based on the size of the weapon that fired them]. Multiple magical effects that reduce size do not stack. Reduce person counters and dispels enlarge person.																																																																																																																																												MULT:YES	CHOOSE:NUMCHOICES=1|STRING|09|10|11|12|13|14|15|16|17|18|19|20																																																																																																				BONUS:VAR|PermanecyReducePersonLVL|%LIST																	COST:0																																																																																																																																																																																																										
Permanency Spell / Resistance				CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyResistanceLVL|0		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyResistanceLVL|Resistance				DESC:(500XP), Caster Level %1.|%LIST	DESC:You imbue the subject with magical energy that protects it from harm, granting it a +1 resistance bonus on saves.																																																																																																																																																																																																																																																																																																																																											MULT:YES	CHOOSE:NUMCHOICES=1|STRING|09|10|11|12|13|14|15|16|17|18|19|20																																																					BONUS:SAVE|ALL|1|TYPE=Resistance																																										BONUS:VAR|PermanecyResistanceLVL|%LIST																	COST:0														
Permanency Spell / Telepathic Bond			CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell			DEFINE:PermanecyTelepathicBondLVL|0		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyTelepathicBondLVL|Rary's Telepathic Bond		DESC:(2,500XP), Caster Level %1.|%LIST	DESC:You forge a telepathic bond among yourself and a number of willing creatures, each of which must have an Intelligence score of 3 or higher. Each creature included in the link is linked to all the others. The creatures can communicate telepathically through the bond regardless of language. No special power or influence is established as a result of the bond. Once the bond is formed, it works over any distance [although not from one plane to another]. If desired, you may leave yourself out of the telepathic bond forged. This decision must be made at the time of casting. Telepathic bond can be made permanent with a permanency spell, though it only bonds two creatures per casting of permanency.																																																																																																																																																																																																																																									MULT:YES	CHOOSE:NUMCHOICES=1|STRING|13|14|15|16|17|18|19|20																																																																																																						BONUS:VAR|PermanecyTelepathicBondLVL|%LIST																COST:0																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
Imbue with Spell Ability Lvl 0			CATEGORY:Special Ability	TYPE:SpecialQuality.ImbuedSpellLikeAbility																																																																																																																																																																																																																																																																																																																																																																																												STACK:YES	MULT:YES	CHOOSE:NOCHOICE											TEMPLATE:Imbue Spell Like Ability ~ Cleric																																																												BONUS:SPELLCAST|CLASS=Cleric;LEVEL=0|1																
Imbue with Spell Ability Lvl 1			CATEGORY:Special Ability	TYPE:SpecialQuality.ImbuedSpellLikeAbility																																																																																																																																																																																																																																																																																																																																																																																												STACK:YES	MULT:YES	CHOOSE:NOCHOICE											TEMPLATE:Imbue Spell Like Ability ~ Cleric																																																												BONUS:SPELLCAST|CLASS=Cleric;LEVEL=1|1																
