SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																				
#																																							
# Spell Name	OUTPUTNAME:	key	VARIANTS:	TYPE:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	CLASSES:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:	DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	DESC:|!PRERULE:1,DisplayFullSpell	Desc	Bonus	Bonus														
Summon Nature's Ally IV				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Druid=4|Ranger=4	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:one or more creatures, no two of which can be more than 30-ft apart.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon nature's ally I, except that you can summon one 4th-level creature, 1d3 3rd-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.	SOURCEPAGE:PHB																						
Summon Nature's Ally V				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Druid=5	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:one or more creatures, no two of which can be more than 30-ft apart.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon nature's ally I, except that you can summon one 5th-level creature, 1d3 4th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.	SOURCEPAGE:PHB																						
Summon Nature's Ally VI				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Druid=6	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:one or more creatures, no two of which can be more than 30-ft apart.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon nature's ally I, except that you can summon one 6th-level creature, 1d3 5th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.	SOURCEPAGE:PHB																						
Summon Nature's Ally VII				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Druid=7	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:one or more creatures, no two of which can be more than 30-ft apart.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon nature's ally I, except that you can summon one 7th-level creature, 1d3 6th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.	SOURCEPAGE:PHB																						
Summon Nature's Ally VIII				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Druid=8	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:one or more creatures, no two of which can be more than 30-ft apart.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon nature's ally I, except that you can summon one 8th-level creature, 1d3 7th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.	SOURCEPAGE:PHB																						
Summon Nature's Ally IX				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Druid=9	COMPS:V, S, DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:one or more creatures, no two of which can be more than 30-ft apart.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like summon nature's ally I, except that you can summon one 9th-level creature, 1d3 8th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.	SOURCEPAGE:PHB																						
Summon Swarm				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Bard=2|Druid=2|Sorcerer=2|Wizard=2	COMPS:V, S, M/DF	CASTTIME:1 round	RANGE:Close	TARGETAREA:One swarm of bats, rats or spiders.	DURATION:Concentration + 2 rounds	SAVEINFO:None	SPELLRES:No	DESC:You summon a swarm of bats, rats, or spiders (your choice), which attacks all other creatures within its area. Arcane Material Component: A square of red cloth.	SOURCEPAGE:PHB																						
Sunbeam				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Light	CLASSES:Druid=7	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:60-ft.	TARGETAREA:Line from your hand.	DURATION:1 round/level or until all beams are exhausted	SAVEINFO:Reflex negates and Reflex half; see text	SPELLRES:Yes	DESC:For the duration of this spell, you can use a standard action to evoke a dazzling beam of intense light each round.	SOURCEPAGE:PHB																						
Sunburst				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Light	CLASSES:Druid=8|Sorcerer=8|Wizard=8	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:80-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Reflex partial; see text	SPELLRES:Yes	DESC:Sunburst causes a globe of searing radiance to explode silently from a point you select. Arcane Material Component: A piece of sunstone and a naked flame.	SOURCEPAGE:PHB																						
Symbol of Death				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death	CLASSES:Cleric=8|Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One symbol.	DURATION:See text	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This spell allows you to scribe a potent rune of power upon a surface. Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp each.	SOURCEPAGE:PHB		COST:5000																				
Symbol of Fear				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting	CLASSES:Cleric=6|Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One symbol.	DURATION:See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell functions like symbol of death, except that all creatures within 60 feet of the symbol of fear instead become panicked for 1 round per caster level. Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 1,000 gp.	SOURCEPAGE:PHB		COST:1000																				
Symbol of Insanity				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Cleric=8|Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One symbol.	DURATION:See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell functions like symbol of death, except that all creatures within the radius of the symbol of insanity instead become permanently insane (as the insanity spell). Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp.	SOURCEPAGE:PHB		COST:5000																				
Symbol of Pain				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Evil	CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One symbol.	DURATION:See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell functions like symbol of death, except that each creature within the radius of a symbol of pain instead suffers wracking pains that impose a -4 penalty on attack rolls, skill checks, and ability checks. Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 1,000 gp.	SOURCEPAGE:PHB		COST:1000																				
Symbol of Persuasion				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Charm	DESCRIPTOR:Mind-Affecting	CLASSES:Cleric=6|Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One symbol.	DURATION:See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell functions like symbol of death, except that all creatures within the radius of a symbol of persuasion instead become charmed by the caster (as the charm monster spell) for 1 hour per caster level. Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp.	SOURCEPAGE:PHB		COST:5000																				
Symbol of Sleep				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Cleric=5|Sorcerer=5|Wizard=5	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One symbol.	DURATION:See text	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This spell functions like symbol of death, except that all creatures of 10 HD or less within 60 feet of the symbol of sleep instead fall into a catatonic slumber for 3d6x10 minutes. Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 1,000 gp.	SOURCEPAGE:PHB		COST:1000																				
Symbol of Stunning				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Cleric=7|Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One symbol.	DURATION:See text	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell functions like symbol of death, except that all creatures within 60 feet of a symbol of stunning instead become stunned for 1d6 rounds. Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp.	SOURCEPAGE:PHB		COST:5000																				
Symbol of Weakness				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Cleric=7|Sorcerer=7|Wizard=7	COMPS:V, S, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:One symbol.	DURATION:See text	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This spell functions like symbol of death, except that every creature within 60 feet of a symbol of weakness instead suffers crippling weakness that deals 3d6 points of Strength damage. Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp.	SOURCEPAGE:PHB		COST:5000																				
Sympathethic Vibration				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Sonic	CLASSES:Bard=6	COMPS:V, S, F	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:One freestanding structure.	DURATION:Up to 1 round/level	SAVEINFO:None; See text	SPELLRES:Yes	DESC:By attuning yourself to a freestanding structure such as a building, bridge, or dam, you can create a damaging vibration within it. Focus: A tuning fork.	SOURCEPAGE:PHB																						
Sympathy				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Druid=9|Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:1 hour	RANGE:Close	TARGETAREA:One location (up to a 10-ft-cube/level) or one object.	DURATION:2 hours/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:You cause an object or location to emanate magical vibrations that attract either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. Material Component: 1,500 gp worth of crushed pearls and a drop of honey.	SOURCEPAGE:PHB		COST:1500																				
Tasha's Hideous Laughter				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Bard=1|Sorcerer=2|Wizard=2	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature; see text.	DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell afflicts the subject with uncontrollable laughter. Material Component: Tiny tarts that are thrown at the target and a feather that is waved in the air.	SOURCEPAGE:PHB																						
Telekinesis				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=5|Wizard=5	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:See text.	DURATION:Concentration (up to 1 round/level) or Instantaneous; see text	SAVEINFO:Will negates (object) or None; see text	SPELLRES:Yes	DESC:You move objects or creatures by concentrating on them. Depending on the version selected, the spell can provide a gentle, sustained force, perform a variety of combat maneuvers, or exert a single short, violent thrust.	SOURCEPAGE:PHB																						
Teleport				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=5|Wizard=5	COMPS:V	CASTTIME:1 standard action	RANGE:Personal and Touch	TARGETAREA:You and touched objects or other touched willing creatures.	DURATION:Instantaneous	SAVEINFO:None and Will negates (object); see text	SPELLRES:No and Yes	DESC:This spell instantly transports you to a designated destination, which may be as distant as 100 miles per caster level.	SOURCEPAGE:PHB																						
Teleport Object				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=7|Wizard=7	COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One touched object of up to 50-lb/level and 3-cu-ft/level.	DURATION:Instantaneous	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:This spell functions like teleport, except that it teleports an object, not you. Creatures and magical forces (such as a delayed blast fireball bead) cannot be teleported.	SOURCEPAGE:PHB																						
Teleport (Greater)	OUTPUTNAME:Teleport, Greater			TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=7|Wizard=7	COMPS:V	CASTTIME:1 standard action	RANGE:Personal and Touch	TARGETAREA:You and touched objects or other touched willing creatures.	DURATION:Instantaneous	SAVEINFO:None and Will negates (object); see text	SPELLRES:No and Yes	DESC:This spell functions like teleport, except that there is no range limit and there is no chance you arrive off target.	SOURCEPAGE:PHB																						
Teleportation Circle				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Sorcerer=9|Wizard=9	COMPS:V, M	CASTTIME:10 minutes	RANGE:0-ft.	TARGETAREA:5-ft-radius cirlce that teleports those who activate it.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:You create a circle on the floor or other horizontal surface that teleports, as greater teleport, any creature who stands on it to a designated spot. Material Component: Amber dust to cover the area of the circle (cost 1,000 gp).	SOURCEPAGE:PHB		COST:1000																				
Temporal Stasis				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:Permanent	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You place the subject into a state of suspended animation. Material Component: A powder composed of diamond, emerald, ruby, and sapphire dust with a total value of at least 5,000 gp.	SOURCEPAGE:PHB		COST:5000																				
Tenser's Floating Disk				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Force	CLASSES:Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:3-ft-diameter disk of force.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:You create a slightly concave, circular plane of force that follows you about and carries loads for you. Material Component: A drop of mercury.	SOURCEPAGE:PHB																						
Tenser's Transformation				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You become a virtual fighting machine-stronger, tougher, faster, and more skilled in combat. Material Component: A potion of bull's strength, which you drink (and whose effects are subsumed by the spell effects).	SOURCEPAGE:PHB						TEMPDESC:Grants STR, DEX, CON, natural armor, Fortitude, and base attack bonuses	TEMPBONUS:PC|SAVE|Fortitude|5|TYPE=Enhancement	TEMPBONUS:PC|COMBAT|AC|4|TYPE=NaturalArmor.STACK	TEMPBONUS:PC|COMBAT|BASEAB|TL-BAB|TYPE=Temporary	TEMPBONUS:PC|STAT|STR|4|TYPE=Enhancement	TEMPBONUS:PC|STAT|CON|4|TYPE=Enhancement	TEMPBONUS:PC|STAT|DEX|4|TYPE=Enhancement										
Time Stop				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Sorcerer=9|Wizard=9	COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1d4+1 rounds (apparent time); see text	SAVEINFO:None	SPELLRES:No	DESC:This spell seems to make time cease to flow for everyone but you.	SOURCEPAGE:PHB																						
Tongues				TYPE:Spell	SCHOOL:Divination			CLASSES:Bard=2|Cleric=4|Sorcerer=3|Wizard=3	COMPS:V, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:10 minutes/level	SAVEINFO:Will negates (harmless)	SPELLRES:No	DESC:This spell grants the creature touched the ability to speak and understand the language of any intelligent creature, whether it is a racial tongue or a regional dialect. Arcane Material Component: A small clay model of a ziggurat, which shatters when the verbal component is pronounced.	SOURCEPAGE:PHB																						
Touch of Fatigue				TYPE:Spell.WizardBaseCantrip	SCHOOL:Necromancy			CLASSES:Sorcerer=0|Wizard=0	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 round/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You channel negative energy through your touch, fatiguing the target. Material Component: A drop of sweat.	SOURCEPAGE:PHB																						
Touch of Idiocy				TYPE:Spell	SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	CLASSES:Sorcerer=2|Wizard=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:Yes	DESC:With a touch, you reduce the target's mental faculties.	SOURCEPAGE:PHB						TEMPDESC:Applies penalty to INT, WIS, and CHA	TEMPVALUE:MIN=1|MAX=6|TITLE=Choose stat damage	TEMPBONUS:ANYPC|STAT|INT|-1*(MIN(%CHOICE,INTSCORE-1))|TYPE=Temporary	TEMPBONUS:ANYPC|STAT|WIS|-1*(MIN(%CHOICE,WISSCORE-1))|TYPE=Temporary	TEMPBONUS:ANYPC|STAT|CHA|-1*(MIN(%CHOICE,CHASCORE-1))|TYPE=Temporary												
Transmute Metal to Wood				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=7	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:All metal objects within 40-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:None (object); See text	SPELLRES:Yes	DESC:This spell enables you to change all metal objects within its area to wood.	SOURCEPAGE:PHB																						
Transmute Mud to Rock				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth	CLASSES:Druid=5|Sorcerer=5|Wizard=5	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to two 10-ft cubes/level.	DURATION:Permanent	SAVEINFO:See text	SPELLRES:No	DESC:This spell transforms normal mud or quicksand of any depth into soft stone (sandstone or a similar mineral) permanently.	SOURCEPAGE:PHB																						
Transmute Rock to Mud				TYPE:Spell	SCHOOL:Transmutation		DESCRIPTOR:Earth	CLASSES:Druid=5|Sorcerer=5|Wizard=5	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Up to two 10-ft cubes/level.	DURATION:Permanent	SAVEINFO:See text	SPELLRES:No	DESC:This spell turns natural, uncut or unworked rock of any sort into an equal volume of mud. Arcane Material Component: Sand, lime, and water.	SOURCEPAGE:PHB																						
Transport via Plants				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Druid=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Unlimited	TARGETAREA:You and touched objects or other willing creatures.	DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:You can enter any normal plant (Medium or larger) and pass any distance to a plant of the same kind in a single round, regardless of the distance separating the two.	SOURCEPAGE:PHB																						
Trap the Soul				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Summoning		CLASSES:Sorcerer=8|Wizard=8	COMPS:V, S, M, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.	DURATION:Permanent; see text	SAVEINFO:See text	SPELLRES:See text	DESC:Trap the soul forces a creature's life force (and its material body) into a gem. Material Component: Before the actual casting of trap the soul, you must procure a gem of at least 1,000 gp value for every Hit Die possessed by the creature to be trapped (for example, it requires a gem of 10,000 gp value to trap a 10 HD creature). If the gem is not valuable enough, it shatters when the entrapment is attempted. (While creatures have no concept of level or Hit Dice as such, the value of the gem needed to trap an individual can be researched. Remember that this value can change over time as creatures gain more Hit Dice.) Focus (Trigger Object Only): If the trigger object method is used, a special trigger object, prepared as described above, is needed.	SOURCEPAGE:PHB		COST:1000																				
Tree Shape				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Druid=2|Ranger=3	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:By means of this spell, you are able to assume the form of a Large living tree or shrub or a Large dead tree trunk with a small number of limbs.	SOURCEPAGE:PHB																						
Tree Stride				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Teleportation		CLASSES:Druid=5|Ranger=4	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:1 hour/level or until expended; see text	SAVEINFO:None	SPELLRES:No	DESC:You gain the ability to enter trees and move from inside one tree to inside another tree.	SOURCEPAGE:PHB																						
True Resurrection				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Healing		CLASSES:Cleric=9	COMPS:V, S, M, DF	CASTTIME:10 minutes	RANGE:Touch	TARGETAREA:Dead creature touched.	DURATION:Instantaneous	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:This spell functions like raise dead, except that you can resurrect a creature that has been dead for as long as 10 years per caster level. Material Component: A sprinkle of holy water and diamonds worth a total of at least 25,000 gp.	SOURCEPAGE:PHB		COST:25000																				
True Seeing				TYPE:Spell	SCHOOL:Divination			CLASSES:Cleric=5|Druid=7|Sorcerer=6|Wizard=6	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute/level	SAVEINFO:Will negates (harmless)	SPELLRES:Yes	DESC:You confer on the subject the ability to see all things as they actually are. Material Component: An ointment for the eyes that costs 250 gp and is made from mushroom powder, saffron, and fat.	SOURCEPAGE:PHB		COST:250																				
True Strike				TYPE:Spell	SCHOOL:Divination			CLASSES:Sorcerer=1|Wizard=1	COMPS:V, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:You gain temporary, intuitive insight into the immediate future during your next attack. Focus: A small wooden replica of an archery target.	SOURCEPAGE:PHB																						
Undeath to Death				TYPE:Spell	SCHOOL:Necromancy		DESCRIPTOR:Death	CLASSES:Cleric=6|Sorcerer=6|Wizard=6	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Several undead creatures within a 40-ft-radius burst.	DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This spell functions like circle of death, except that it destroys undead creatures as noted above. Material Component: The powder of a crushed diamond worth at least 500 gp.	SOURCEPAGE:PHB		COST:500																				
Undetectable Alignment				TYPE:Spell	SCHOOL:Abjuration			CLASSES:Bard=1|Cleric=2|Paladin=2	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature or object.	DURATION:24 hours	SAVEINFO:Will negates (object)	SPELLRES:Yes	DESC:An undetectable alignment spell conceals the alignment of an object or a creature from all forms of divination.	SOURCEPAGE:PHB																						
Unhallow				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil	CLASSES:Cleric=5|Druid=5	COMPS:V, S, M	CASTTIME:24 hours	RANGE:Touch	TARGETAREA:40-ft radius emanating from the touched point.	DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:See text	DESC:Unhallow makes a particular site, building, or structure an unholy site. This has three major effects. Material Component: Herbs, oils, and incense worth at least 1,000 gp, plus 1,000 gp per level of the spell to be tied to the unhallowed area.	SOURCEPAGE:PHB						TEMPDESC:Applies penaltyto Turn Undead, grant bonus to Rebuke Undead	TEMPBONUS:ANYPC|VAR|TurnCheckUndead|-4|TYPE=Temporary|PREABILITY:1,CATEGORY=Special Ability,Turn Undead	TEMPBONUS:ANYPC|VAR|TurnCheckUndead|4|TYPE=Profane|PREABILITY:1,CATEGORY=Special Ability,Rebuke Undead														
Unholy Aura				TYPE:Spell	SCHOOL:Abjuration		DESCRIPTOR:Evil	CLASSES:Cleric=8	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:20-ft.	TARGETAREA:One creature/level in a 20-ft-radius burst centered on you.	DURATION:1 round/level	SAVEINFO:See text (harmless)	SPELLRES:Yes	DESC:A malevolent darkness surrounds the subjects, protecting them from attacks, granting them resistance to spells cast by good creatures, and weakening good creatures when they strike the subjects. Focus: A tiny reliquary containing some sacred relic, such as a piece of parchment from an unholy text. The reliquary costs at least 500 gp.	SOURCEPAGE:PHB		COST:500					TEMPBONUS:ANYPC|SAVE|ALL|4|TYPE=Resistance	TEMPBONUS:ANYPC|COMBAT|AC|4|TYPE=Deflection														
Unholy Blight				TYPE:Spell	SCHOOL:Evocation		DESCRIPTOR:Evil		COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:20-ft-radius spread.	DURATION:Instantaneous (1d4 rounds); see text	SAVEINFO:Will partial	SPELLRES:Yes	DESC:You call up unholy power to smite your enemies.	SOURCEPAGE:PHB																						
Unseen Servant				TYPE:Spell	SCHOOL:Conjuration	SUBSCHOOL:Creation		CLASSES:Bard=1|Sorcerer=1|Wizard=1	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One invisible, mindless, shapeless servant.	DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:An unseen servant is an invisible, mindless, shapeless force that performs simple tasks at your command. Material Component: A piece of string and a bit of wood.	SOURCEPAGE:PHB																						
Vampiric Touch				TYPE:Spell	SCHOOL:Necromancy			CLASSES:Sorcerer=3|Wizard=3	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.	DURATION:Instantaneous/1 hour; see text	SAVEINFO:None	SPELLRES:Yes	DESC:Your touch deals 1d6 points of damage per two caster levels (maximum 10d6).	SOURCEPAGE:PHB																						
Veil				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Glamer		CLASSES:Bard=6|Sorcerer=6|Wizard=6	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:one or more creatures, no two of which can be more than 30-ft apart.	DURATION:Concentration + 1 hour/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:You instantly change the appearance of the subjects and then maintain that appearance for the spell's duration.	SOURCEPAGE:PHB						TEMPDESC:Grants Disguise bonus	TEMPBONUS:ANYPC|SKILL|Disguise|10|TYPE=Temporary															
Ventriloquism				TYPE:Spell	SCHOOL:Illusion	SUBSCHOOL:Figment		CLASSES:Bard=1|Sorcerer=1|Wizard=1	COMPS:V, F	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Inteligible sound, usually speech.	DURATION:1 minute/level	SAVEINFO:Will disbelief (if interacted with)	SPELLRES:No	DESC:You can make your voice (or any sound that you can normally make vocally) seem to issue from someplace else, such as from another creature, a statue, from behind a door, down a passage, etc. Focus: A parchment rolled up into a small cone.	SOURCEPAGE:PHB																						
Virtue				TYPE:Spell	SCHOOL:Transmutation			CLASSES:Cleric=0|Druid=0|Paladin=0	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.	DURATION:1 minute	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:The subject gains 1 temporary hit point.	SOURCEPAGE:PHB						TEMPDESC:Grants temporary HP	TEMPBONUS:ANYPC|HP|CURRENTMAX|1|TYPE=Teporary															
Vision				TYPE:Spell	SCHOOL:Divination			CLASSES:Sorcerer=7|Wizard=7	COMPS:V, S, M, XP	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.	DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:This spell functions like legend lore, except that it works more quickly but produces some strain on you. XP Cost: 100 XP.	SOURCEPAGE:PHB			XPCOST:100																			
