SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07
																																		
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Familiar	CATEGORY:Special Ability	TYPE:ClassFeatures.SorcererClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A sorcerer can obtain a familiar. Doing so takes 24 hours and uses up magical materials that cost 100 gp. A familiar is a magical beast that resembles a small animal and is unusually tough and intelligent. The creature serves as a companion and servant. The sorcerer chooses the kind of familiar he gets. As the sorcerer advances in level, his familiar also increases in power. If the familiar dies or is dismissed by the sorcerer, the sorcerer must attempt a DC 15 Fortitude saving throw. Failure means he loses 200 experience points per sorcerer level success reduces the loss to one-half that amount. However, a sorcerer's experience point total can never go below 0 as the result of a familiar's demise or dismissal. For example, suppose that Hennet is a 3rd-level sorcerer with 3,230 XP when his owl familiar is killed by a bugbear. Hennet makes a successful saving throw, so he loses 300 XP, dropping him below 3,000 XP and back to 2nd level (see the Dungeon Master's Guide for rules for losing levels). A slain or dismissed familiar cannot be replaced for a year and day. A slain familiar can be raised from the dead just as a character can be, and it does not lose a level or a Constitution point when this happy event occurs. A character with more than one class that grants a familiar may have only one familiar at a time.	KEY:Sorcerer ~ Familiar									BONUS:VAR|FamiliarLVL|SorcererLVL									ABILITY:Internal|AUTOMATIC|Familiar (Base)								SORTKEY:Class_Sorcerer	SOURCEPAGE:PHB		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.WizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Wizards are proficient with the club, dagger, heavy crossbow, light crossbow, and quarterstaff, but not with any type of armor or shield. Armor of any type interferes with a wizard's movements, which can cause her spells with somatic components to fail.	KEY:Wizard ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfWizard								SORTKEY:Class_Wizard	SOURCEPAGE:PHB		
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.WizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A wizard casts arcane spells (the same type of spells available to sorcerers and bards), which are drawn from the sorcerer/wizard spell list (page 192). A wizard must choose and prepare her spells ahead of time (see below). To learn, prepare, or cast a spell, the wizard must have an Intelligence score equal to at least 10 + the spell level (Int 10 for 0-level spells, Int 11 for 1st-level spells, and so forth). The Difficulty Class for a saving throw against a wizard's spell is 10 + the spell level + the wizard's Intelligence modifier. Like other spellcasters, a wizard can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table 3-18: The Wizard. In addition, she receives bonus spells per day if she has a high Intelligence score (see Table 1-1: Ability Modifiers and Bonus Spells, page 8).	KEY:Wizard ~ Spells																										SORTKEY:Class_Wizard	SOURCEPAGE:PHB		
Bonus Languages	CATEGORY:Special Ability	TYPE:ClassFeatures.WizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A wizard may substitute Draconic for one of the bonus languages available to the character because of her race (see Chapter 2: Races). Many ancient tomes of magic are written in Draconic, and apprentice wizards often learn it as part of their studies.	KEY:Wizard ~ Bonus Languages																		TEMPLATE:Wizard ~ Bonus Languages								SORTKEY:Class_Wizard	SOURCEPAGE:PHB		
Familiar	CATEGORY:Special Ability	TYPE:ClassFeatures.WizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A wizard can obtain a familiar in exactly the same manner as a sorcerer can. See the sorcerer description and the accompanying Familiars sidebar for details. Doing so takes 24 hours and uses up magical materials that cost 100 gp. A familiar is a magical beast that resembles a small animal and is unusually tough and intelligent. The creature serves as a companion and servant. The sorcerer chooses the kind of familiar he gets. As the sorcerer advances in level, his familiar also increases in power. If the familiar dies or is dismissed by the sorcerer, the sorcerer must attempt a DC 15 Fortitude saving throw. Failure means he loses 200 experience points per sorcerer level success reduces the loss to one-half that amount. However, a sorcerer's experience point total can never go below 0 as the result of a familiar's demise or dismissal. For example, suppose that Hennet is a 3rd-level sorcerer with 3,230 XP when his owl familiar is killed by a bugbear. Hennet makes a successful saving throw, so he loses 300 XP, dropping him below 3,000 XP and back to 2nd level (see the Dungeon Master's Guide for rules for losing levels). A slain or dismissed familiar cannot be replaced for a year and day. A slain familiar can be raised from the dead just as a character can be, and it does not lose a level or a Constitution point when this happy event occurs. A character with more than one class that grants a familiar may have only one familiar at a time.	KEY:Wizard ~ Familiar									BONUS:VAR|FamiliarLVL|WizardLVL									ABILITY:Internal|AUTOMATIC|Familiar (Base)								SORTKEY:Class_Wizard	SOURCEPAGE:PHB		
Scribe Scroll	CATEGORY:Special Ability	TYPE:ClassFeatures.WizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, a wizard gains Scribe Scroll as a bonus feat. This feats enables her to create magic schools (see Scribe Scroll, page 99, and Creating Magic Items, page 282 of the Dungeon Master's Guide).	KEY:Wizard ~ Scribe Scroll																		ABILITY:FEAT|AUTOMATIC|Scribe Scroll								SORTKEY:Class_Wizard	SOURCEPAGE:PHB		
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.WizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 5th, 10th, 15th, and 20th level, a wizard gains a bonus feat. At each such opportunity, she can choose a metamagic feat, an item creation feat, or Spell Mastery. The wizard must still meet all prerequisites for a bonus feat, including caster level minimums. (See Chapter 5 for descriptions of feats and their prerequisites.) These bonus feats are in addition to the feat that a character of any class gets every three levels (as given on Table 3-2: Experience and Level-Dependent Benefits, page 22). The wizard is not limited to the categories of item creation feats, metamagic feats, or Spell Mastery when choosing these feats.	KEY:Wizard ~ Bonus Feats				DEFINE:WizardBonusFeats|0					BONUS:VAR|WizardBonusFeats|WizardLVL/5	BONUS:ABILITYPOOL|Wizard Feat|WizardBonusFeats																SORTKEY:Class_Wizard	SOURCEPAGE:PHB		
Spellbooks	CATEGORY:Special Ability	TYPE:ClassFeatures.WizardClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A wizard must study her spellbook each day to prepare her spells (see Preparing Wizard Spells, page 177). She cannot prepare any spell not recorded in her spellbook, except for read magic, which all wizards can prepare from memory.	KEY:Wizard ~ Spellbooks																		ABILITY:Internal|AUTOMATIC|Free Spell Book|PREMULT:1,[PREMULT:2,[PREPCLEVEL:MAX=0],[PRECLASS:1,Wizard=1]],[PREMULT:2,[!PRECLASS:1,TYPE.Base=0],[PRECLASS:1,Wizard=1]]								SORTKEY:Class_Wizard	SOURCEPAGE:PHB		
Abjurer Learning Bonus	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+2 bonus to Spellcraft when learning Abjuration					DEFINE:WizardSpellcraftSkillBonus|0					BONUS:VAR|WizardSpellcraftSkillBonus|2																			ASPECT:SillBonus|+%1 bonus to Spellcraft when learning Abjuration|WizardSpellcraftSkillBonus	
Conjurer Learning Bonus	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+2 bonus to Spellcraft when learning Conjuration					DEFINE:WizardSpellcraftSkillBonus|0					BONUS:VAR|WizardSpellcraftSkillBonus|2																			ASPECT:SillBonus|+%1 bonus to Spellcraft when learning Conjuration|WizardSpellcraftSkillBonus	
Diviner Learning Bonus	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+2 bonus to Spellcraft when learning Divination					DEFINE:WizardSpellcraftSkillBonus|0					BONUS:VAR|WizardSpellcraftSkillBonus|2																			ASPECT:SillBonus|+%1 bonus to Spellcraft when learning Divination|WizardSpellcraftSkillBonus	
Enchanter Learning Bonus	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+2 bonus to Spellcraft when learning Enchantment					DEFINE:WizardSpellcraftSkillBonus|0					BONUS:VAR|WizardSpellcraftSkillBonus|2																			ASPECT:SillBonus|+%1 bonus to Spellcraft when learning Enchantment|WizardSpellcraftSkillBonus	
Evoker Learning Bonus	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+2 bonus to Spellcraft when learning Evocation					DEFINE:WizardSpellcraftSkillBonus|0					BONUS:VAR|WizardSpellcraftSkillBonus|2																			ASPECT:SillBonus|+%1 bonus to Spellcraft when learning Evocation|WizardSpellcraftSkillBonus	
Illusionist Learning Bonus	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+2 bonus to Spellcraft when learning Illusion					DEFINE:WizardSpellcraftSkillBonus|0					BONUS:VAR|WizardSpellcraftSkillBonus|2																			ASPECT:SillBonus|+%1 bonus to Spellcraft when learning Illusion|WizardSpellcraftSkillBonus	
Necromancer Learning Bonus	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+2 bonus to Spellcraft when learning Necromancy					DEFINE:WizardSpellcraftSkillBonus|0					BONUS:VAR|WizardSpellcraftSkillBonus|2																			ASPECT:SillBonus|+%1 bonus to Spellcraft when learning Necromancy|WizardSpellcraftSkillBonus	
Transmuter Learning Bonus	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:+2 bonus to Spellcraft when learning Transmutation					DEFINE:WizardSpellcraftSkillBonus|0					BONUS:VAR|WizardSpellcraftSkillBonus|2																			ASPECT:SillBonus|+%1 bonus to Spellcraft when learning Transmutation|WizardSpellcraftSkillBonus	
Forbid Abjuration	CATEGORY:Special Ability	TYPE:WizardProhibitSchool				!PRESUBCLASS:1,Abjurer			DEFINE:ProhibitAbjuration|0					BONUS:VAR|ProhibitAbjuration|1																				
Forbid Conjuration	CATEGORY:Special Ability	TYPE:WizardProhibitSchool				!PRESUBCLASS:1,Conjurer			DEFINE:ProhibitConjuration|0					BONUS:VAR|ProhibitConjuration|1																				
Forbid Divination	CATEGORY:Special Ability	TYPE:WizardProhibitSchool				!PRESUBCLASS:1,Diviner			DEFINE:ProhibitDivination|0					BONUS:VAR|ProhibitDivination|1																				
Forbid Enchantment	CATEGORY:Special Ability	TYPE:WizardProhibitSchool				!PRESUBCLASS:1,Enchanter			DEFINE:ProhibitEnchantment|0					BONUS:VAR|ProhibitEnchantment|1																				
Forbid Evocation	CATEGORY:Special Ability	TYPE:WizardProhibitSchool				!PRESUBCLASS:1,Evoker			DEFINE:ProhibitEvocation|0					BONUS:VAR|ProhibitEvocation|1																				
Forbid Illusion	CATEGORY:Special Ability	TYPE:WizardProhibitSchool				!PRESUBCLASS:1,Illusionist			DEFINE:ProhibitIllusion|0					BONUS:VAR|ProhibitIllusion|1																				
Forbid Necromancy	CATEGORY:Special Ability	TYPE:WizardProhibitSchool				!PRESUBCLASS:1,Necromancer			DEFINE:ProhibitNecromancy|0					BONUS:VAR|ProhibitNecromancy|1																				
Forbid Transmutation	CATEGORY:Special Ability	TYPE:WizardProhibitSchool				!PRESUBCLASS:1,Transmuter			DEFINE:ProhibitTransmutation|0					BONUS:VAR|ProhibitTransmutation|1																				
