SOURCELONG:Gozzilioni Arms and Equipment Guide	SOURCESHORT:AaEG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-03																																
																																			
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier	SOURCEPAGE:	Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus									
Sure Striking	KEY:SRSTRK_M	TYPE:Weapon.Melee	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:Overcome any /Magic damage reduction											
Sure Striking	KEY:SRSTRK_R	TYPE:Weapon.Ranged	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Ranged															SPROP:Overcome any /Magic damage reduction											
Sweeping	KEY:SWEEP_M	TYPE:Weapon.Melee.Thrown	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown														SPROP:+4 bonus on STR check made to Trip an opponent											
Vicious	KEY:VICIOUS	TYPE:Weapon.Melee	PLUS:1		VISIBLE:QUALIFY			SOURCEPAGE:AaEG	PRETYPE:3,Enhancement,Weapon,Melee															SPROP:deals extra 2d6 damage to target plus 1d6 damage to user.											
																																			
###Block:Intelligent Items																																			
Int. Item (Two abilities at 20)	KEY:WEAP_INT_ITEM_9	NAMEOPT:NOTHING	TYPE:Weapon	COST:15000	VISIBLE:QUALIFY	ITYPE:Type9	REPLACES:WEAP_INT_ITEM_1,WEAP_INT_ITEM_2,WEAP_INT_ITEM_3,WEAP_INT_ITEM_4,WEAP_INT_ITEM_5,WEAP_INT_ITEM_6,WEAP_INT_ITEM_7,WEAP_INT_ITEM_8	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Weapon	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8,Type9																					BONUS:VAR|ItemEgo|3		SPROP:Speech (can read all languages and magic), Telepathy, 120' darkvision and blindsense and hearing		
Int. Item Ability Cha 20	KEY:INT_ITEM_CHA_20	NAMEOPT:NOTHING	TYPE:IntItem	COST:0	VISIBLE:QUALIFY	ITYPE:AbilityCha.Cha20	REPLACES:INT_ITEM_CHA_10,INT_ITEM_CHA_12,INT_ITEM_CHA_13,INT_ITEM_CHA_14,INT_ITEM_CHA_15,INT_ITEM_CHA_16,INT_ITEM_CHA_17,INT_ITEM_CHA_18,INT_ITEM_CHA_19	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Type9																!PRETYPE:3,IntItem,AbilityInt,AbilityWis						BONUS:VAR|ItemEgo|5	BONUS:VAR|IntItemPowerMod|5	SPROP:Cha 20	DEFINE:IntItemPowerMod|0	
Int. Item Ability Int 20	KEY:INT_ITEM_INT_20	NAMEOPT:NOTHING	TYPE:IntItem	COST:0	VISIBLE:QUALIFY	ITYPE:AbilityInt.Int20	REPLACES:INT_ITEM_INT_10,INT_ITEM_INT_12,INT_ITEM_INT_13,INT_ITEM_INT_14,INT_ITEM_INT_15,INT_ITEM_INT_16,INT_ITEM_INT_17,INT_ITEM_INT_18,INT_ITEM_INT_19	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Type9																!PRETYPE:3,IntItem,AbilityCha,AbilityWis						BONUS:VAR|ItemEgo|5	BONUS:VAR|IntItemPowerMod|5	SPROP:Int 20	DEFINE:IntItemPowerMod|0	
Int. Item Ability Wis 20	KEY:INT_ITEM_WIS_20	NAMEOPT:NOTHING	TYPE:IntItem	COST:0	VISIBLE:QUALIFY	ITYPE:AbilityInt.Wis20	REPLACES:INT_ITEM_WIS_10,INT_ITEM_WIS_12,INT_ITEM_WIS_13,INT_ITEM_WIS_14,INT_ITEM_WIS_15,INT_ITEM_WIS_16,INT_ITEM_WIS_17,INT_ITEM_WIS_18,INT_ITEM_WIS_19	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Type9																!PRETYPE:3,IntItem,AbilityCha,AbilityInt						BONUS:VAR|ItemEgo|5	BONUS:VAR|IntItemPowerMod|5	SPROP:Wis 20	DEFINE:IntItemPowerMod|0	
																																			
Int. Item (Two abilities at 21)	KEY:WEAP_INT_ITEM_10	NAMEOPT:NOTHING	TYPE:Weapon	COST:15000	VISIBLE:QUALIFY	ITYPE:Type10	REPLACES:WEAP_INT_ITEM_1,WEAP_INT_ITEM_2,WEAP_INT_ITEM_3,WEAP_INT_ITEM_4,WEAP_INT_ITEM_5,WEAP_INT_ITEM_6,WEAP_INT_ITEM_7,WEAP_INT_ITEM_8,WEAP_INT_ITEM_9	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Weapon	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8,Type9,Type10																					BONUS:VAR|ItemEgo|3		SPROP:Speech (can read all languages and magic), Telepathy, 120' darkvision and blindsense and hearing		
Int. Item Ability Cha 21	KEY:INT_ITEM_CHA_21	NAMEOPT:NOTHING	TYPE:IntItem	COST:0	VISIBLE:QUALIFY	ITYPE:AbilityCha.Cha21	REPLACES:INT_ITEM_CHA_10,INT_ITEM_CHA_12,INT_ITEM_CHA_13,INT_ITEM_CHA_14,INT_ITEM_CHA_15,INT_ITEM_CHA_16,INT_ITEM_CHA_17,INT_ITEM_CHA_18,INT_ITEM_CHA_19,INT_ITEM_CHA_20	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Type10																!PRETYPE:3,IntItem,AbilityInt,AbilityWis						BONUS:VAR|ItemEgo|5	BONUS:VAR|IntItemPowerMod|5	SPROP:Cha 21	DEFINE:IntItemPowerMod|0	
Int. Item Ability Int 21	KEY:INT_ITEM_INT_21	NAMEOPT:NOTHING	TYPE:IntItem	COST:0	VISIBLE:QUALIFY	ITYPE:AbilityInt.Int21	REPLACES:INT_ITEM_INT_10,INT_ITEM_INT_12,INT_ITEM_INT_13,INT_ITEM_INT_14,INT_ITEM_INT_15,INT_ITEM_INT_16,INT_ITEM_INT_17,INT_ITEM_INT_18,INT_ITEM_INT_19,INT_ITEM_INT_20	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Type10																!PRETYPE:3,IntItem,AbilityCha,AbilityWis						BONUS:VAR|ItemEgo|5	BONUS:VAR|IntItemPowerMod|5	SPROP:Int 21	DEFINE:IntItemPowerMod|0	
Int. Item Ability Wis 21	KEY:INT_ITEM_WIS_21	NAMEOPT:NOTHING	TYPE:IntItem	COST:0	VISIBLE:QUALIFY	ITYPE:AbilityInt.Wis21	REPLACES:INT_ITEM_WIS_10,INT_ITEM_WIS_12,INT_ITEM_WIS_13,INT_ITEM_WIS_14,INT_ITEM_WIS_15,INT_ITEM_WIS_16,INT_ITEM_WIS_17,INT_ITEM_WIS_18,INT_ITEM_WIS_19,INT_ITEM_WIS_20	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Type10																!PRETYPE:3,IntItem,AbilityCha,AbilityInt						BONUS:VAR|ItemEgo|5	BONUS:VAR|IntItemPowerMod|5	SPROP:Wis 21	DEFINE:IntItemPowerMod|0	
																																			
Int. Item (Two abilities at 22)	KEY:WEAP_INT_ITEM_11	NAMEOPT:NOTHING	TYPE:Weapon	COST:15000	VISIBLE:QUALIFY	ITYPE:Type11	REPLACES:WEAP_INT_ITEM_1,WEAP_INT_ITEM_2,WEAP_INT_ITEM_3,WEAP_INT_ITEM_4,WEAP_INT_ITEM_5,WEAP_INT_ITEM_6,WEAP_INT_ITEM_7,WEAP_INT_ITEM_8,WEAP_INT_ITEM_9,WEAP_INT_ITEM_10	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Weapon	!PRETYPE:1,Type1,Type2,Type3,Type4,Type5,Type6,Type7,Type8,Type9,Type10,Type11																					BONUS:VAR|ItemEgo|3		SPROP:Speech (can read all languages and magic), Telepathy, 120' darkvision and blindsense and hearing		
Int. Item Ability Cha 22	KEY:INT_ITEM_CHA_22	NAMEOPT:NOTHING	TYPE:IntItem	COST:0	VISIBLE:QUALIFY	ITYPE:AbilityCha.Cha22	REPLACES:INT_ITEM_CHA_10,INT_ITEM_CHA_12,INT_ITEM_CHA_13,INT_ITEM_CHA_14,INT_ITEM_CHA_15,INT_ITEM_CHA_16,INT_ITEM_CHA_17,INT_ITEM_CHA_18,INT_ITEM_CHA_19,INT_ITEM_CHA_20,INT_ITEM_CHA_21	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Type11																!PRETYPE:3,IntItem,AbilityInt,AbilityWis						BONUS:VAR|ItemEgo|6	BONUS:VAR|IntItemPowerMod|6	SPROP:Cha 22	DEFINE:IntItemPowerMod|0	
Int. Item Ability Int 22	KEY:INT_ITEM_INT_22	NAMEOPT:NOTHING	TYPE:IntItem	COST:0	VISIBLE:QUALIFY	ITYPE:AbilityInt.Int22	REPLACES:INT_ITEM_INT_10,INT_ITEM_INT_12,INT_ITEM_INT_13,INT_ITEM_INT_14,INT_ITEM_INT_15,INT_ITEM_INT_16,INT_ITEM_INT_17,INT_ITEM_INT_18,INT_ITEM_INT_19,INT_ITEM_INT_20,INT_ITEM_INT_21	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Type11																!PRETYPE:3,IntItem,AbilityCha,AbilityWis						BONUS:VAR|ItemEgo|6	BONUS:VAR|IntItemPowerMod|6	SPROP:Int 22	DEFINE:IntItemPowerMod|0	
Int. Item Ability Wis 22	KEY:INT_ITEM_WIS_22	NAMEOPT:NOTHING	TYPE:IntItem	COST:0	VISIBLE:QUALIFY	ITYPE:AbilityInt.Wis22	REPLACES:INT_ITEM_WIS_10,INT_ITEM_WIS_12,INT_ITEM_WIS_13,INT_ITEM_WIS_14,INT_ITEM_WIS_15,INT_ITEM_WIS_16,INT_ITEM_WIS_17,INT_ITEM_WIS_18,INT_ITEM_WIS_19,INT_ITEM_WIS_20,INT_ITEM_WIS_21	SOURCEPAGE:AaEG	PRETYPE:2,IntItem,Type11																!PRETYPE:3,IntItem,AbilityCha,AbilityInt						BONUS:VAR|ItemEgo|6	BONUS:VAR|IntItemPowerMod|6	SPROP:Wis 22	DEFINE:IntItemPowerMod|0	
																																			
Int. Item Lesser Power - Survival 10 Ranks	KEY:INT_ITEM_SURVIVAL	TYPE:IntItem	NAMEOPT:NOTHING	COST:2000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - Survival 10 Ranks	BONUS:VAR|ItemEgo|1										
Int. Item Lesser Power - Combat Reflexes Feat	KEY:INT_ITEM_CMB_REFLEX	TYPE:IntItem	NAMEOPT:NOTHING	COST:10000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder can use Combat Reflexes Feat	BONUS:VAR|ItemEgo|1	ABILITY:FEAT|VIRTUAL|Combat Reflexes									
Int. Item Lesser Power - Blind-Fight Feat	KEY:INT_ITEM_BLIND_FIGHT	TYPE:IntItem	NAMEOPT:NOTHING	COST:10000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder can use Blind-Fight Feat	BONUS:VAR|ItemEgo|1	ABILITY:FEAT|VIRTUAL|Blind-Fight									
Int. Item Lesser Power - Improved Initiative Feat	KEY:INT_ITEM_IMPROVED_INIT	TYPE:IntItem	NAMEOPT:NOTHING	COST:10000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder can use Improved Initiative Feat	BONUS:VAR|ItemEgo|1	ABILITY:FEAT|VIRTUAL|Improved Initiative									
Int. Item Lesser Power - Mobility Feat	KEY:INT_ITEM_MOBILITY	TYPE:IntItem	NAMEOPT:NOTHING	COST:10000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder can use Mobility Feat	BONUS:VAR|ItemEgo|1	ABILITY:FEAT|VIRTUAL|Mobility									
Int. Item Lesser Power - Improved Sunder Feat	KEY:INT_ITEM_IMP_SUNDER	TYPE:IntItem	NAMEOPT:NOTHING	COST:10000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder can use Improved Sunder Feat	BONUS:VAR|ItemEgo|1	ABILITY:FEAT|VIRTUAL|Improved Sunder									
Int. Item Lesser Power - Combat Expertise Feat	KEY:INT_ITEM_CMB_EXPERT	TYPE:IntItem	NAMEOPT:NOTHING	COST:10000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder can use Combat Expertise Feat	BONUS:VAR|ItemEgo|1	ABILITY:FEAT|VIRTUAL|Combat Expertise									
Int. Item Lesser Power - Find Traps	KEY:INT_ITEM_FIND_TRAPS	TYPE:IntItem	NAMEOPT:NOTHING	COST:10000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - Find Traps at will	BONUS:VAR|ItemEgo|1	SPELLS:Intelligent Item|TIMES=ATWILL|CASTERLEVEL=3|Find Traps									
Int. Item Lesser Power - Detect Secret Doors	KEY:INT_ITEM_DETECT_SECRET_DOORS	TYPE:IntItem	NAMEOPT:NOTHING	COST:1800		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - Detect Secret Doors at will	BONUS:VAR|ItemEgo|1	SPELLS:Intelligent Item|TIMES=ATWILL|CASTERLEVEL=1|Detect Secret Doors									
Int. Item Lesser Power - Uncanny Dodge	KEY:INT_ITEM_UNCANNY_DODGE	TYPE:IntItem	NAMEOPT:NOTHING	COST:10000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder can use Uncanny Dodge	BONUS:VAR|ItemEgo|1	ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Base	BONUS:VAR|UncannyDodgeTracker|1								
Int. Item Lesser Power - Evasion	KEY:INT_ITEM_EVASION	TYPE:IntItem	NAMEOPT:NOTHING	COST:25000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder can use Evasion	BONUS:VAR|ItemEgo|1	ABILITY:Special Ability|AUTOMATIC|Uncanny Dodge ~ Base	BONUS:VAR|EvasionUsable,ImprovedEvasionUsable|1|TYPE=Prerequisite								
Int. Item Lesser Power - See Invisibility	KEY:INT_ITEM_SEE_INVISIBILITY	TYPE:IntItem	NAMEOPT:NOTHING	COST:10000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - See Invisibility at will	BONUS:VAR|ItemEgo|1	SPELLS:Intelligent Item|TIMES=ATWILL|CASTERLEVEL=3|See Invisibility									
Int. Item Lesser Power - Cure Light Wounds	KEY:INT_ITEM_CURE_LIGHT	TYPE:IntItem	NAMEOPT:NOTHING	COST:1800		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - Cure Light Wound on wielder 1/day	BONUS:VAR|ItemEgo|1	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=5|Cure Light Wounds,11									
Int. Item Lesser Power - Feather Fall	KEY:INT_ITEM_FEATHER_FALL	TYPE:IntItem	NAMEOPT:NOTHING	COST:350		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - Feather Fall on wielder 1/day	BONUS:VAR|ItemEgo|1	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=1|Feather Fall									
Int. Item Lesser Power - No Sleep	KEY:INT_ITEM_NO_SLEEP	TYPE:IntItem	NAMEOPT:NOTHING	COST:5000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder doesn't need to sleep	BONUS:VAR|ItemEgo|1										
Int. Item Lesser Power - No Breathe	KEY:INT_ITEM_NO_BREATHE	TYPE:IntItem	NAMEOPT:NOTHING	COST:7500		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - wielder doesn't need to breathe	BONUS:VAR|ItemEgo|1										
Int. Item Lesser Power - Jump	KEY:INT_ITEM_JUMP	TYPE:IntItem	NAMEOPT:NOTHING	COST:7200		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - Jump on wielder 1/day	BONUS:VAR|ItemEgo|1	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=20|Jump									
Int. Item Lesser Power - Spider Climb	KEY:INT_ITEM_SPIDER_CLIMB	TYPE:IntItem	NAMEOPT:NOTHING	COST:2000		ITYPE:LesserPower		SOURCEPAGE:AaEG																SPROP:Lesser Power - Spider Climb on wielder 1/day	BONUS:VAR|ItemEgo|1	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=3|Spider Climb									
																																			
Int. Item Greater Power - Charm Person	KEY:INT_ITEM_CHARM_PERSON	TYPE:IntItem	NAMEOPT:NOTHING	COST:1080	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Charm Person	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=3|CASTERLEVEL=1|Charm Person,11									
Int. Item Greater Power - Magic Missile	KEY:INT_ITEM_MAGIC_MISSILE	TYPE:IntItem	NAMEOPT:NOTHING	COST:5400	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Magic Missile	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=3|CASTERLEVEL=5|Magic Missile									
Int. Item Greater Power - Shield	KEY:INT_ITEM_SHIELD	TYPE:IntItem	NAMEOPT:NOTHING	COST:1080	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Shield	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=3|CASTERLEVEL=1|Shield									
Int. Item Greater Power - Levitate	KEY:INT_ITEM_LEVITATE	TYPE:IntItem	NAMEOPT:NOTHING	COST:6480	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Levitate	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=3|CASTERLEVEL=3|Levitate,12									
Int. Item Greater Power - Invisibility	KEY:INT_ITEM_INVISIBILITY	TYPE:IntItem	NAMEOPT:NOTHING	COST:6480	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Invisibility	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=3|CASTERLEVEL=3|Invisibility,12									
Int. Item Greater Power - Fly	KEY:INT_ITEM_FLY	TYPE:IntItem	NAMEOPT:NOTHING	COST:16200	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Fly	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=2|CASTERLEVEL=5|Fly									
Int. Item Greater Power - Summon Monster III	KEY:INT_ITEM_SUMMON_MONSTER_III	TYPE:IntItem	NAMEOPT:NOTHING	COST:5400	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Summon Monster III	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=5|Summon Monster III									
Int. Item Greater Power - Rary's Telepathic Bond	KEY:INT_ITEM_TELEPATHIC_BOND	TYPE:IntItem	NAMEOPT:NOTHING	COST:32400	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Rary's Telepathic Bond	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=2|CASTERLEVEL=9|Rary's Telepathic Bond									
Int. Item Greater Power - Cat's Grace	KEY:INT_ITEM_CATS_GRACE	TYPE:IntItem	NAMEOPT:NOTHING	COST:2160	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Cat's Grace on wielder	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=3|Cat's Grace									
Int. Item Greater Power - Bull's Strength	KEY:INT_ITEM_BULL_STRENGTH	TYPE:IntItem	NAMEOPT:NOTHING	COST:2160	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Bulls' Strength on wielder	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=3|Bull's Strength									
Int. Item Greater Power - Telekinesis	KEY:INT_ITEM_TELEKINESIS	TYPE:IntItem	NAMEOPT:NOTHING	COST:36000	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Telekinesis	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=2|CASTERLEVEL=10|Telekinesis									
Int. Item Greater Power - Heal	KEY:INT_ITEM_HEAL	TYPE:IntItem	NAMEOPT:NOTHING	COST:23760	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Heal	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=11|Heal									
Int. Item Greater Power - Teleport	KEY:INT_ITEM_TELEPORT	TYPE:IntItem	NAMEOPT:NOTHING	COST:21600	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Teleport	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=12|Teleport									
Int. Item Greater Power - Stoneskin	KEY:INT_ITEM_STONESKIN	TYPE:IntItem	NAMEOPT:NOTHING	COST:20160	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Stoneskin on wielder	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=7|Stoneskin									
Int. Item Greater Power - Feeblemind	KEY:INT_ITEM_FEEBLEMIND	TYPE:IntItem	NAMEOPT:NOTHING	COST:32400	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Feeblemind by touch	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=2|CASTERLEVEL=9|Feeblemind									
Int. Item Greater Power - True Seeing	KEY:INT_ITEM_TRUE_SEEING	TYPE:IntItem	NAMEOPT:NOTHING	COST:81000	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - True Seeing at will	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=ATWILL|CASTERLEVEL=9|True Seeing									
Int. Item Greater Power - Wall of Force	KEY:INT_ITEM_WALL_FORCE	TYPE:IntItem	NAMEOPT:NOTHING	COST:16200	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Wall of Force	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=9|Wall of Force									
Int. Item Greater Power - Summon Monster VI	KEY:INT_ITEM_SUMMON_MONSTER_VI	TYPE:IntItem	NAMEOPT:NOTHING	COST:23760	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Summon Monster VI	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=11|Summon Monster VI									
Int. Item Greater Power - Finger of Death	KEY:INT_ITEM_FINGER_DEATH	TYPE:IntItem	NAMEOPT:NOTHING	COST:32760	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Finger of Death	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=13|Finger of Death									
Int. Item Greater Power - Passwall	KEY:INT_ITEM_PASSWALL	TYPE:IntItem	NAMEOPT:NOTHING	COST:81000	VISIBLE:QUALIFY	ITYPE:GreaterPower		SOURCEPAGE:AaEG	PRETYPE:1,Type6,Type7,Type8															SPROP:Greater Power - Passwall at will	BONUS:VAR|ItemEgo|2	SPELLS:Intelligent Item|TIMES=ATWILL|CASTERLEVEL=9|Passwall									
																																			
Int. Item Dedicated Power - Globe of Invulnerability	KEY:INT_ITEM_GLOBE_INVLN	TYPE:Purpose	NAMEOPT:NOTHING	COST:23760	VISIBLE:QUALIFY	ITYPE:DedicatedPower		SOURCEPAGE:AaEG	!PRETYPE:1,DedicatedPower	REPLACES:INT_ITEM_CONFUSION,INT_ITEM_CONTAGION,INT_ITEM_CRUSHING_DESPAIR,INT_ITEM_DIMENSION_DOOR,INT_ITEM_FIREBALL,INT_ITEM_GRTR_SHOUT,INT_ITEM_ICE_STORM,INT_ITEM_LGHTNG_BOLT,INT_ITEM_LUCK,INT_ITEM_MASS_INFLICT_LGT_WOUNDS,INT_ITEM_PHANTASMAL_KILLER,INT_ITEM_POISON,INT_ITEM_PRYING_EYES,INT_ITEM_RUSTING_GRASP,INT_ITEM_SONG_DISCORD,INT_ITEM_TRUE_RESURRECTION,INT_ITEM_WAVES_EXHAUSTION														SPROP:Dedicated Power - Contagion		SPELLS:Intelligent Item|TIMES=1|CASTERLEVEL=11|Globe of Invulnerability									
Int. Item Dedicated Power - Blindness	KEY:INT_ITEM_BLINDNESS	TYPE:Purpose	NAMEOPT:NOTHING	COST:12000	VISIBLE:QUALIFY	ITYPE:DedicatedPower		SOURCEPAGE:AaEG	!PRETYPE:1,DedicatedPower	REPLACES:INT_ITEM_CONFUSION,INT_ITEM_CONTAGION,INT_ITEM_CRUSHING_DESPAIR,INT_ITEM_DIMENSION_DOOR,INT_ITEM_FIREBALL,INT_ITEM_GRTR_SHOUT,INT_ITEM_ICE_STORM,INT_ITEM_LGHTNG_BOLT,INT_ITEM_LUCK,INT_ITEM_MASS_INFLICT_LGT_WOUNDS,INT_ITEM_PHANTASMAL_KILLER,INT_ITEM_POISON,INT_ITEM_PRYING_EYES,INT_ITEM_RUSTING_GRASP,INT_ITEM_SONG_DISCORD,INT_ITEM_TRUE_RESURRECTION,INT_ITEM_WAVES_EXHAUSTION														SPROP:Dedicated Power - Blindness for 2d6 rounds											
