SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Beguiling Song	CATEGORY:Special Ability	TYPE:RusalkaRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A rusalka can attempt to beguile creatures with her song. The rusalka sings, targeting a single creature it can see within 300 feet of her body of water (see Water Symbiosis, below). This is a sonic, mind-affecting ability, and the creature must be able to hear the rusalka for it to take effect. The targeted creature must make a DC %1 Will saving throw. If the save is successful, that creature cannot be affected by that rusalka's song for 24 hours. Failure indicates the creature is utterly beguiled and moves toward the rusalka, taking the most direct route available. If that path leads into a dangerous area (such as very deep or fast-moving water), the beguiled creature is entitled to a second saving throw. A rusalka who desires a companion often moves out of the water and bestows water breathing on its beguiled victim so that she can take him underwater. A beguiled creature may take no actions other than defending himself. A beguiled victim who moves within 5 feet of the rusalka must make a DC 18 Will saving throw or be charmed as per charm monster cast by an 8th-level sorcerer. Success means that the character is freed from the beguilement and is immune to that rusalka's beguiling song for 24 hours. The beguiling effect continues as long as the rusalka sings. A rusalka need not continue to sing to keep a victim Charmed. A rusalka can use her beguiling song both above and below the water. Good rusalkas cast water breathing on their charmed companions to keep them alive below the waves. Evil rusalkas move into deep water, forcing a beguiled victim to move toward them but never allowing the victim to get within 5 feet. If these unlucky creatures fail their second saving throw, they usually drown (see page 304 of the Dungeon Master's Guide).|BeguilingSongDC	KEY:Rusalka ~ Beguiling Song				DEFINE:BeguilingSongDC|0					BONUS:VAR|BeguilingSongDC|DefaultDCCon	BONUS:VAR|BeguilingSongDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Beguiling Song)								ABILITY:Ability Focus|AUTOMATIC|Beguiling Song									SOURCEPAGE:Fro		
Water Breating	CATEGORY:Special Ability	TYPE:RusalkaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Rusalka ~ Water Breathing																		SPELLS:Innate|TIMES=4|CASTERLEVEL=12|Water Breathing									SOURCEPAGE:Fro		
Water Symbiosis	CATEGORY:Special Ability	TYPE:RusalkaRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Each rusalka is mystically bound to a body of water or waterway as small as a pond or as large as a lake or river. Although aquatic, a rusalka can move as far as 300 yards from the body of water to which she is bound and breathe normally. If she strays farther than that, she must hold her breath or immediately start to drown. Once a rusalka has moved beyond the boundary of her connection, she cannot breathe normally until she has immersed herself in her body of water.	KEY:Rusalka ~ Water Symbiosis																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:RusalkaRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*A rusalka gains a +4 circumstance bonus on Escape Artist and Hide checks when in contact with the body of water in which she lives. A rusalka gains a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. She can always choose to take 10 on a Swim check, even if distracted or endangered. She can use the run action while swimming, provided she swims in a straight line.	KEY:Rusalka ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																				
																																		
Race Traits ~ Shivhad	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ShivhadRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Base		AUTO:LANG|Common																												
Ability Drain	CATEGORY:Special Ability	TYPE:ShivhadRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any creature struck by a shivhad's bite must make a DC %1 Fortitude save or take 2 points of drain to each ability score (or 4 points to each score on a critical hit). A shivhad gains 5 temporary hit points (10 on a critical hit) whenever it drains ability scores. Temporary hit points gained in this way last for up to 1 hour. The save DC is Constitution-based.|AbilityDrainDC	KEY:Shivad ~ Ability Drain				DEFINE:AbilityDrainDC|0					BONUS:VAR|AbilityDrainDC|DefaultDCCha	BONUS:VAR|AbilityDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Ability Drain)								ABILITY:Ability Focus|AUTOMATIC|Ability Drain									SOURCEPAGE:Fro		
Cold Aura	CATEGORY:Special Ability	TYPE:ShivhadRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A shivhad radiates an aura of extreme cold. Any creature within 60 feet of a shivhad takes 3d6 points of cold damage at the beginning of its turn each round. This aura extinguishes nonmagical flames in its area as well.	KEY:Shivad ~ Cold Aura																											SOURCEPAGE:Fro		
Crush	CATEGORY:Special Ability	TYPE:ShivhadRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A shivhad can drop its body on opponents three or more size categories smaller than itself (usually, Medium or smaller) as a full-round action, using its weight to crush them. A crush attack affects as many creatures as can fit under the shivhad's space. Each creature in the affected area must succeed on a DC %1 Reflex save or be pinned, automatically taking 4d6+11 points of bludgeoning damage. Thereafter, if the shivhad chooses to maintain the pin, treat it as a normal grapple attack. While pinned, the opponent takes bludgeoning damage each round. The save DC is Strength-based.|CrushDC	KEY:Shivad ~ Crush				DEFINE:CrushDC|0					BONUS:VAR|CrushDC|DefaultDCCon	BONUS:VAR|CrushDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Crush)								ABILITY:Ability Focus|AUTOMATIC|Crush									SOURCEPAGE:Fro		
Absorb Cold	CATEGORY:Special Ability	TYPE:ShivhadRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Any cold spell or effect targeted on a shivhad that fails to overcome its spell resistance is absorbed into the creature's body. This effect cures 5 points of damage per level of the spell or effect absorbed.	KEY:Shivad ~ Absorb Cold																											SOURCEPAGE:Fro		
Glacier Bond	CATEGORY:Special Ability	TYPE:ShivhadRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A shivhad has a mystical bond with its home glacier. As long as it remains on this glacier, it can determine the exact location of any living creatures in contact with the glacier, up to a range of 10 miles. This knowledge grants it a +6 insight bonus to its Armor Class and Reflex saving throws against any opponent who is also in contact with its glacier, and allows the shivhad to pinpoint otherwise Hidden or invisible targets with ease. These bonuses to Armor Class and Reflex saving throws are included in the statistics above.	KEY:Shivad ~ Glacier Bond																											SOURCEPAGE:Fro	ASPECT:SaveBonus|+6 insight bonus to Reflex saving throws against any opponent who is also in contact with its glacier	ASPECT:CombatBonus|+6 insight bonus to its Armor Class against any opponent who is also in contact with its glacier
																																		
Race Traits ~ Snowcloak	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SnowcloakRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Base		AUTO:LANG|Auran|Common								BONUS:VAR|Maneuverability|5|TYPE=Base																				
Poison	CATEGORY:Special Ability	TYPE:SnowcloakRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d4 DEX, secondary damage Paralysis. The save DC is Constitution-based.|PoisonDC	KEY:Snowcloak ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:Fro		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:SnowcloakRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Snowcloak ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=4|Obscuring Snow|Blur	SPELLS:Innate|TIMES=3|CASTERLEVEL=4|Dimension Door|Invisibility|Magic Missile	SPELLS:Innate|TIMES=1|CASTERLEVEL=4|Hypnotic Pattern,12+CHA							SOURCEPAGE:Fro		
Regeneration	CATEGORY:Special Ability	TYPE:SnowcloakRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Snowcloaks regenerate 2 points of damage per round. Fire and acid deal normal damage to a snowcloak.	KEY:Snowcloak ~ Regeneration									BONUS:VAR|RegenerationRate|2|TYPE=Base																		SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:SnowcloakRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*Due to their coloration, snowcloaks gain a +4 racial bonus on Hide checks in snowy or icy conditions.	KEY:Snowcloak ~ Skills									BONUS:SITUATION|Hide=Icy or snow terrain|4|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Snow Spider (Small)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SnowSpiderSmallRaceTrait																				ABILITY:FEAT|AUTOMATIC|Weapon Finesse											
Leap	CATEGORY:Special Ability	TYPE:SnowSpiderSmallRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Snow spiders are known for darting up to bite their prey, and instantly leaping back to avoid a return attack. They gain Spring Attack as a bonus feat. In addition, if a snow spider can jump on its prey (usually by making a Jump check as part of its movement), it can make a charge attack with a +4 attack bonus instead of the normal +2.	KEY:Snow Spider (Small) ~ Leap																		ABILITY:FEAT|AUTOMATIC|Spring Attack									SOURCEPAGE:Fro		
Poison	CATEGORY:Special Ability	TYPE:SnowSpiderSmallRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d3 DEX, secondary damage Paralysis. The save DC is Constitution-based.|PoisonDC	KEY:Snow Spider (Small) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:Fro		
Tremorsense	CATEGORY:Special Ability	TYPE:SnowSpiderSmallRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:snow spider can automatically sense the location of anything within 60 feet that is in contact with the ground (or ice or snow on top of the ground).	KEY:Snow Spider (Small) ~ Tremorsense									BONUS:VAR|TremorsenseVisionRange|60|TYPE=Base																		SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:SnowSpiderSmallRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Snow spiders have a +4 racial bonus on Hide checks, a +20 racial bonus on Jump checks, a +8 racial bonus on Spot checks, and a +8 racial bonus on Climb checks. Snow spiders use their Dexterity modifi er instead of their Strength modifi er for Climb and Jump checks. Snow spiders can always choose to take 10 on Climb checks, even if rushed or threatened. *In snowy or icy environments, a snow spider's bonus on Hide checks improves to +8.	KEY:Snow Spider (Small) ~ Skills									BONUS:SKILL|Hide|4|TYPE=Racial	BONUS:SKILL|Jump|20|TYPE=Racial	BONUS:SKILL|Spot,Climb|8|TYPE=Racial	BONUS:SITUATION|Hide=Icy or snow terrain|8|TYPE=Racial	BONUS:SKILL|Climb,Jump|DEX-STR																
																																		
Race Traits ~ Snow Spider (Medium)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SnowSpiderMediumRaceTrait																				ABILITY:FEAT|AUTOMATIC|Weapon Finesse											
Leap	CATEGORY:Special Ability	TYPE:SnowSpiderMediumRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Snow spiders are known for darting up to bite their prey, and instantly leaping back to avoid a return attack. They gain Spring Attack as a bonus feat. In addition, if a snow spider can jump on its prey (usually by making a Jump check as part of its movement), it can make a charge attack with a +4 attack bonus instead of the normal +2.	KEY:Snow Spider (Medium) ~ Leap																		ABILITY:FEAT|AUTOMATIC|Spring Attack									SOURCEPAGE:Fro		
Poison	CATEGORY:Special Ability	TYPE:SnowSpiderMediumRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d4 DEX, secondary damage Paralysis. The save DC is Constitution-based.|PoisonDC	KEY:Snow Spider (Medium) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:Fro		
Tremorsense	CATEGORY:Special Ability	TYPE:SnowSpiderMediumRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A snow spider can automatically sense the location of anything within 60 feet that is in contact with the ground (or ice or snow on top of the ground).	KEY:Snow Spider (Medium) ~ Tremorsense									BONUS:VAR|TremorsenseVisionRange|60|TYPE=Base																		SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:SnowSpiderMediumRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Snow spiders have a +4 racial bonus on Hide checks, a +20 racial bonus on Jump checks, a +8 racial bonus on Spot checks, and a +8 racial bonus on Climb checks. Snow spiders use their Dexterity modifi er instead of their Strength modifi er for Climb and Jump checks. Snow spiders can always choose to take 10 on Climb checks, even if rushed or threatened. *In snowy or icy environments, a snow spider's bonus on Hide checks improves to +8.	KEY:Snow Spider (Medium) ~ Skills									BONUS:SKILL|Hide|4|TYPE=Racial	BONUS:SKILL|Jump|20|TYPE=Racial	BONUS:SKILL|Spot,Climb|8|TYPE=Racial	BONUS:SITUATION|Hide=Icy or snow terrain|8|TYPE=Racial	BONUS:SKILL|Climb,Jump|DEX-STR														SOURCEPAGE:Fro		
																																		
Race Traits ~ Snow Spider (Large)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=SnowSpiderLargeRaceTrait																				ABILITY:FEAT|AUTOMATIC|Weapon Finesse											
Leap	CATEGORY:Special Ability	TYPE:SnowSpiderLargeRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Snow spiders are known for darting up to bite their prey, and instantly leaping back to avoid a return attack. They gain Spring Attack as a bonus feat. In addition, if a snow spider can jump on its prey (usually by making a Jump check as part of its movement), it can make a charge attack with a +4 attack bonus instead of the normal +2.	KEY:Snow Spider (Large) ~ Leap																		ABILITY:FEAT|AUTOMATIC|Spring Attack									SOURCEPAGE:Fro		
Poison	CATEGORY:Special Ability	TYPE:SnowSpiderLargeRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 DEX, secondary damage Paralysis. The save DC is Constitution-based.|PoisonDC	KEY:Snow Spider (Large) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:Fro		
Tremorsense	CATEGORY:Special Ability	TYPE:SnowSpiderLargeRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A snow spider can automatically sense the location of anything within 60 feet that is in contact with the ground (or ice or snow on top of the ground).	KEY:Snow Spider (Large) ~ Tremorsense									BONUS:VAR|TremorsenseVisionRange|60|TYPE=Base																		SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:SnowSpiderLargeRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Snow spiders have a +4 racial bonus on Hide checks, a +20 racial bonus on Jump checks, a +8 racial bonus on Spot checks, and a +8 racial bonus on Climb checks. Snow spiders use their Dexterity modifi er instead of their Strength modifi er for Climb and Jump checks. Snow spiders can always choose to take 10 on Climb checks, even if rushed or threatened. *In snowy or icy environments, a snow spider's bonus on Hide checks improves to +8.	KEY:Snow Spider (Large) ~ Skills									BONUS:SKILL|Hide|4|TYPE=Racial	BONUS:SKILL|Jump|20|TYPE=Racial	BONUS:SKILL|Spot,Climb|8|TYPE=Racial	BONUS:SITUATION|Hide=Icy or snow terrain|8|TYPE=Racial	BONUS:SKILL|Climb,Jump|DEX-STR														SOURCEPAGE:Fro		
																																		
Race Traits ~ Tlalusk	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=TlaluskRaceTrait			AUTO:LANG|Giant																												
Bellow	CATEGORY:Special Ability	TYPE:TlaluskRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Once per minute, a tlalusk can bellow. This horribly loud blast affects a 30-foot cone, but can be heard for miles. Any creature within the area must make a DC %1 Fortitude save or be stunned and deafened for 1d6 rounds. A successful save indicates the creature is deafened for only 1 round, and not stunned.|BellowDC	KEY:Tlalusk ~ Bellow				DEFINE:BellowDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|BellowDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Bellow)								ABILITY:Ability Focus|AUTOMATIC|Bellow									SOURCEPAGE:Fro		
Trample	CATEGORY:Special Ability	TYPE:TlaluskRaceTrait.SpecialAttack.Extraordinary.Trample	VISIBLE:YES	DESC:Reflex half DC %1. The save DC is Strength based.|TrampleDC	KEY:Tlalusk ~ Trample				DEFINE:TrampleDC|0					BONUS:VAR|TrampleDC|DefaultDCStr	BONUS:VAR|TrampleDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Trample)	BONUS:VAR|TrampleDice|2	BONUS:VAR|TrampleDieSize|8|TYPE=Base						ABILITY:Ability Focus|AUTOMATIC|Trample									SOURCEPAGE:Fro		
Scent	CATEGORY:Special Ability	TYPE:TlaluskRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A tlalusk can detect opponents within 30 feet. The exact location is not revealed unless the creature is within 5 feet.	KEY:Tlalusk ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:Fro		
Training	CATEGORY:Special Ability	TYPE:TlaluskRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Although intelligent, a tlalusk requires training before it can bear a rider in combat. To be trained, a tlalusk must have a friendly attitude toward the trainer. This can be achieved through a successful Diplomacy check, but tlalusks are usually hostile toward almost any would-be trainer other than a frost giant, toward whom they are normally unfriendly. Training a friendly tlalusk requires six weeks of work and a DC 30 Handle Animal check. Riding a trained tlalusk requires an exotic saddle. Up to four Medium or smaller creatures can ride on a tlalusk comfortably, although this requires an exotic saddle that costs four times the normal amount, and only one of the riders can attempt to control the tlalusk with Ride checks each round. A tlalusk can fi ght while carrying riders, but the riders cannot also attack unless they succeed on Ride checks Young tlalusks are worth 10,000 gp on the open market, although most cities that know anything about the beasts have made traffi cking in tlalusks illegal within city walls because of the destruction even a young one can wreak. Professional trainers charge 5,000 gp to rear or train a tlalusk.	KEY:Tlalusk ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:Fro		
																																		
Race Traits ~ Urskan	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=UrskanRaceTrait			AUTO:LANG|Common|Urskan																	AUTO:WEAPONPROF|Steelclaw	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf									
Powerful Charge	CATEGORY:Special Ability	TYPE:UrskanRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:An urskan often begins a battle by charging at an opponent, hurling its powerful body at a foe. In addition to the benefi ts and hazards of a charge, this allows the urskan to make a single slam attack at a +11 attack bonus that deals 2d8+10 points of damage.	KEY:Urskan ~ Powerful Charge																											SOURCEPAGE:Fro		
Rend	CATEGORY:Special Ability	TYPE:UrskanRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If an urskan hits with both claw attacks, it latches onto the opponent's body and tears the fl esh. This attack automatically deals an additional 2d8+10 points of damage.	KEY:Urskan ~ Rend									BONUS:VAR|RendDice|2	BONUS:VAR|RendDieSize|8|TYPE=Base																	SOURCEPAGE:Fro		
Scent	CATEGORY:Special Ability	TYPE:UrskanRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An urskan can detect opponents within 30 feet. The exact location is not revealed unless the creature is within 5 feet.	KEY:Urskan ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:Fro		
Surefooted	CATEGORY:Special Ability	TYPE:UrskanRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Urskans ignore all move ment penalties associated with snow on the ground. They also receive a +4 racial bonus on Balance checks when walking on ice or snow.	KEY:Urskan ~ Surefooted									BONUS:SITUATION|Balance=Icy or snow terrain|4|TYPE=Racial																		SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:UrskanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*An urskan's white fur gives it a +8 racial bonus on Hide attempts while unarmored in snow or icy terrain (thus an unarmored urskan has a Hide check modifi er of +5 in suitable terrain). An urskan gains a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Urskan ~ Skills									BONUS:SITUATION|Hide=Icy or snow terrain|8|TYPE=Racial	BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																	SOURCEPAGE:Fro		
																																		
Race Traits ~ Vodyanoi	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=VodyanoiRaceTrait			AUTO:LANG|Common|Sylvan																	AUTO:WEAPONPROF|Steelclaw	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf									
Control Water	CATEGORY:Special Ability	TYPE:VodyanoiRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Vodyanoi ~ Control Water																		SPELLS:Innate|TIMES=3|CASTERLEVEL=10|Control Water									SOURCEPAGE:Fro		
Fish cloud	CATEGORY:Special Ability	TYPE:VodyanoiRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:When submerged in water, a vodyanoi can summon a huge school of magic fi sh to provide concealment (similar to the fog cloud spell). This school of fi sh swims around the point the vodyanoi designates in a 20-foot radius. This cloud of fi sh obscures all sight, including darkvision, beyond 5 feet. A creature within 5 feet has concealment (20%% miss chance). Creatures farther away have total concealment (50%% miss chance, and the attacker can't use sight to locate the target). A strong current disperses the cloud of fi sh in 4 rounds. A very strong current disperses the fi sh in 1 round. The fish created by this spell are formed of magic; they are not real animals, and objects and energies pass through them as though they were not there. A vodyanoi can summon a fi sh cloud three times per day. The fi sh cloud remains for 40 minutes or until dispersed or dispelled. Vodyanoi sometimes use this ability to deceive villagers, making them think the vodyanoi have brought fi sh to their waters. When vodyanoi really want to reward people with fi sh, they use their Survival skill to lure fish into an area.	KEY:Vodyanoi ~ Fish Cloud																											SOURCEPAGE:Fro		
Improved Grab	CATEGORY:Special Ability	TYPE:VodyanoiRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, a vodyanoi must hit a single foe of the same size or smaller with both claw attacks. It can then attempt to start a grapple as a free action without provoking attacks of opportunity. If it gets a hold, the vodyanoi often attempts to pin a foe and hold him underwater until he drowns.	KEY:Vodyanoi ~ Improved Grab																											SOURCEPAGE:Fro		
Amphibious	CATEGORY:Special Ability	TYPE:VodyanoiRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Although vodyanoi live in water, they can survive out of water indefi nitely.	KEY:Vodyanoi ~ Amphibious																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:VodyanoiRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*Vodyanoi gain a +8 circumstance bonus on Hide and Move Silently checks when in contact with a body of water. A vodyanoi gains a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Vodyanoi ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Winterspawn	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=WinterspawnRaceTrait			AUTO:LANG|Common																	AUTO:WEAPONPROF|Longsword|Javelin	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium										
Command Undead	CATEGORY:Special Ability	TYPE:WinterspawnRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Five times per day, a winterspawn can rebuke or command other undead as a 12th-level cleric. As long as its minions are within 120 feet, a winterspawn need not speak to command its slaves, directing them through mental contact.	KEY:Winterspawn ~ Command Undead									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|12|TYPE=Level.REPLACE	BONUS:VAR|TurnTimesBase|5|TYPE=Base								ABILITY:Special Ability|AUTOMATIC|Basic Turning|Rebuke Undead									SOURCEPAGE:Fro		
Frost Glance	CATEGORY:Special Ability	TYPE:WinterspawnRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a free action once per round, a winterspawn can blast a single foe within 60 feet with its frost glance. This deals 4d6 points of cold damage (Fortitude DC %1 half).|FrostGlanceDC	KEY:Winterspawn ~ Frost Glance				DEFINE:FrostGlanceDC|0					BONUS:VAR|FrostGlanceDC|DefaultDCCon	BONUS:VAR|FrostGlanceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frost Glance)								ABILITY:Ability Focus|AUTOMATIC|Frost Glance									SOURCEPAGE:Fro		
Fire Shield	CATEGORY:Special Ability	TYPE:WinterspawnRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At will, a winterspawn can create a fire shield on itself (caster level 12th, cold fl ames only). While the fire shield is in effect, the winterspawn takes only half damage from fi re-based attacks (or, if the attack allows a Refl ex save for half damage, no damage on a successful save). Any creature striking a winterspawn with its body or a handheld weapon takes 1d6+12 points of cold damage. Creatures wielding reach weapons, such as longspears, are not subject to this damage.	KEY:Winterspawn ~ Fire Shield																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Fire Shield									SOURCEPAGE:Fro		
Ice Arms	CATEGORY:Special Ability	TYPE:WinterspawnRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A winterspawn's weapons are made of magical ice in razor-sharp crystalline shards. Its sword is a +2 keen icy burst longsword, and its javelin is a +2 returning icy burst javelin. These weapons deal an extra 1d6 points of cold damage with each hit (or an extra 1d10 points of cold damage on a critical hit). A winterspawn also wears +3 scale mail made of ice. A winterspawn's armor and weapons other wise resemble normal versions of these weapons, but dissipate into vapor 24 hours after the winterspawn who created them is destroyed unless the item succeeds on a DC 20 Fortitude save.	KEY:Winterspawn ~ Ice Arms																											SOURCEPAGE:Fro		
																																		
Race Traits ~ Yeti	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=YetiRaceTrait			AUTO:LANG|Giant																												
Constrict	CATEGORY:Special Ability	TYPE:YetiRaceTrait.SpecialAttack.Extraordinary.Constrict	VISIBLE:YES	DESC:A yeti deals 1d6+4 points of damage with a successful grapple check, plus an extra 2d6 points of cold damage from the heat-absorbing effect of the creature's body.	KEY:Yeti ~ Constrict									BONUS:VAR|ConstrictDice|1	BONUS:VAR|ConstrictDieSize|6|TYPE=Base																	SOURCEPAGE:Fro		
Improved Grab	CATEGORY:Special Ability	TYPE:YetiRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, a yeti must hit a Medium or smaller creature with a claw attack. If it gets a hold, it can constrict.	KEY:Yeti ~ Improved Grab																											SOURCEPAGE:Fro		
Snowsight	CATEGORY:Special Ability	TYPE:YetiRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A yeti can see in snow as per the snowsight spell.	KEY:Yeti ~ Snowsight																											SOURCEPAGE:Fro		
