SOURCELONG:Core Ruleset	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																																																																																																																																																																																																																																																																																																					
# Epic DC: prestige class progress halved after 10 level	BONUS:VAR|{ability}LVL|min({class}LVL,10)+max(({class}-10)/2,0)|TYPE=Level																																																																																																																																																																																																																																																																																																																						
All-Around Vision	CATEGORY:Special Ability	TYPE:SharedAbility	VISIBLE:DISPLAY																																SOURCEPAGE:DMG																																																																																																																																																																																																																																																																																				
Ancient Foe	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	SOURCEPAGE:CW																																																																																																																																																																																																																																																																																																																			
Aura of Chaos	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DEFINE:AuraChaosLVL|0	DESC:Faint|PREVAREQ:AuraChaosLVL,1	DESC:Moderate|PREVARGTEQ:AuraChaosLVL,2|PREVARLTEQ:AuraChaosLVL,4	DESC:Strong|PREVARGTEQ:AuraChaosLVL,5|PREVARLTEQ:AuraChaosLVL,10	DESC:Overwhelming|PREVARGTEQ:AuraChaosLVL,11	BONUS:VAR|AuraChaosLVL|AlignmentAura|!PREDOMAIN:1,Chaos																																																																																																																																																																																																																																																																																																														
Aura of Evil	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DEFINE:AuraEvilLVL|0	DESC:Faint|PREVAREQ:AuraEvilLVL,1	DESC:Moderate|PREVARGTEQ:AuraEvilLVL,2|PREVARLTEQ:AuraEvilLVL,4	DESC:Strong|PREVARGTEQ:AuraEvilLVL,5|PREVARLTEQ:AuraEvilLVL,10	DESC:Overwhelming|PREVARGTEQ:AuraEvilLVL,11	BONUS:VAR|AuraEvilLVL|AlignmentAura|!PREDOMAIN:1,Evil																																																																																																																																																																																																																																																																																																														
Aura of Good	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DEFINE:AuraGoodLVL|0	DESC:Faint|PREVAREQ:AuraGoodLVL,1	DESC:Moderate|PREVARGTEQ:AuraGoodLVL,2|PREVARLTEQ:AuraGoodLVL,4	DESC:Strong|PREVARGTEQ:AuraGoodLVL,5|PREVARLTEQ:AuraGoodLVL,10	DESC:Overwhelming|PREVARGTEQ:AuraGoodLVL,11	BONUS:VAR|AuraGoodLVL|AlignmentAura|!PREDOMAIN:1,Good																																																																																																																																																																																																																																																																																																														
Aura of Law	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary.Aura	VISIBLE:YES	DEFINE:AuraLawLVL|0	DESC:Faint|PREVAREQ:AuraLawLVL,1	DESC:Moderate|PREVARGTEQ:AuraLawLVL,2|PREVARLTEQ:AuraLawLVL,4	DESC:Strong|PREVARGTEQ:AuraLawLVL,5|PREVARLTEQ:AuraLawLVL,10	DESC:Overwhelming|PREVARGTEQ:AuraLawLVL,11	BONUS:VAR|AuraLawLVL|AlignmentAura|!PREDOMAIN:1,Law																																																																																																																																																																																																																																																																																																														
Bardic Knowledge	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:BardicKnowledge|0	ASPECT:NAME|Bardic Knowledge +%1|BardicKnowledge																																																																																																																																																																																																																																																																																																																		
# Bardic Music	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:BardicMusicLVL|0	DEFINE:BardicMusicTimes|0	DEFINE:InspireCourageLVL|0	DEFINE:InspireDurationBase|0	DESC:%1/day.|BardicMusicTimes	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Countersong|PRESKILL:1,TYPE.Perform=3|PREVARGTEQ:BardicMusicLVL,1|!PREABILITY:1,CATEGORY=ACF,TYPE.BardicMusicCountersong	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Fascinate|PRESKILL:1,TYPE.Perform=3|PREVARGTEQ:BardicMusicLVL,1|!PREABILITY:1,CATEGORY=ACF,TYPE.BardicMusicFascinate	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Inspire Courage|PRESKILL:1,TYPE.Perform=3|PREVARGTEQ:BardicMusicLVL,1|!PREABILITY:1,CATEGORY=ACF,TYPE.BardicMusicInspireCourage	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Inspire Competence|PRESKILL:1,TYPE.Perform=6|PREVARGTEQ:BardicMusicLVL,3|!PREABILITY:1,CATEGORY=ACF,TYPE.BardicMusicInspireCompetence	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Suggestion|PRESKILL:1,TYPE.Perform=9|PREVARGTEQ:BardicMusicLVL,6|!PREABILITY:1,CATEGORY=ACF,TYPE.BardicMusicSuggestion	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Inspire Greatness|PRESKILL:1,TYPE.Perform=12|PREVARGTEQ:BardicMusicLVL,9|!PREABILITY:1,CATEGORY=ACF,TYPE.BardicMusicInspireGreatness	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Song of Freedom|PRESKILL:1,TYPE.Perform=15|PREVARGTEQ:BardicMusicLVL,12|!PREABILITY:1,CATEGORY=ACF,TYPE.BardicMusicSongOfFreedom	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Inspire Heroics|PRESKILL:1,TYPE.Perform=18|PREVARGTEQ:BardicMusicLVL,15|!PREABILITY:1,CATEGORY=ACF,TYPE.BardicMusicInspireHeroics	ABILITY:Special Ability|AUTOMATIC|Bardic Music ~ Mass Suggestion|PRESKILL:1,TYPE.Perform=21|PREVARGTEQ:BardicMusicLVL,18|!PREABILITY:1,CATEGORY=ACF,TYPE.BardicMusicMassSuggestion																																																																																																																																																																																																																																																																																																					
Bardic Music	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:BardicMusicLVL|0	DEFINE:BardicMusicTimes|0	DEFINE:InspireCourageLVL|0	DEFINE:InspireDurationBase|0	DESC:%1/day.|BardicMusicTimes
Battle Frenzy	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Extraordinary.Rage	VISIBLE:YES	DEFINE:BattleFrenzyTimes|0	DEFINE:BattleFrenzyLVL|0	DEFINE:BattleFrenzyDuration|0	DEFINE:BattleFrenzyConBonus|0	DEFINE:BattleFrenzyStrBonus|0	DEFINE:BattleFrenzyACPenalty|0	DEFINE:BattleFrenzyMorale|0	DEFINE:EnBattleFrenzyd|0	DEFINE:BattleFrenzyBonus|0	DESC:%1 times/day (%2 rounds)|BattleFrenzyTimes|BattleFrenzyDuration|PREVARGT:BattleFrenzyTimes,0	DESC:Tireless BattleFrenzy, %1 times/day without fatigue (%2 rounds)|BattleFrenzyTimes|BattleFrenzyDuration|PREVARGTEQ:TirelessBattleFrenzy,1	DESC:Bonuses when frenzied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BattleFrenzyStrBonus|BattleFrenzyConBonus|BattleFrenzyMorale|BattleFrenzyACPenalty|(BattleFrenzyConBonus/2)*TL	BONUS:VAR|BattleFrenzyBonus|4	BONUS:VAR|BattleFrenzyDuration|CON+3+(BattleFrenzyConBonus/2)	BONUS:VAR|BattleFrenzyConBonus|BattleFrenzyBonus	BONUS:VAR|BattleFrenzyStrBonus|BattleFrenzyBonus	BONUS:VAR|BattleFrenzyACPenalty|2	BONUS:VAR|BattleFrenzyMorale|BattleFrenzyBonus/2	TEMPDESC:Battle Frenzied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BattleFrenzyStrBonus|BattleFrenzyConBonus|BattleFrenzyMorale|BattleFrenzyACPenalty|(BattleFrenzyConBonus/2)*TL	TEMPBONUS:PC|SAVE|Will|BattleFrenzyMorale	TEMPBONUS:PC|COMBAT|AC|-1*(BattleFrenzyACPenalty)	TEMPBONUS:PC|STAT|CON|BattleFrenzyConBonus	TEMPBONUS:PC|STAT|STR|BattleFrenzyStrBonus	TEMPBONUS:PC|VAR|BattleFrenzyDuration|-(BattleFrenzyConBonus/2)	TEMPBONUS:PC|VAR|BattleFrenzied|1	BONUS:VAR|BattleFrenzyTimes|ExtraRageTimes	BONUS:VAR|BattleFrenzyDuration|ExtraRageDuration	BONUS:VAR|BattleFrenzyBonus|ExtraRageBonus	BONUS:VAR|TirelessBattleFrenzy|AllTirelessRage																																																																																																																																																																																																																																																																																							
Battle Fury	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Extraordinary.Rage	VISIBLE:YES	DEFINE:BattleFuryTimes|0	DEFINE:BattleFuryLVL|0	DEFINE:BattleFuryDuration|0	DEFINE:BattleFuryConBonus|0	DEFINE:BattleFuryStrBonus|0	DEFINE:BattleFuryACPenalty|0	DEFINE:BattleFuryMorale|0	DEFINE:EnBattleFuried|0	DEFINE:BattleFuryBonus|0	DESC:%1 times/day (%2 rounds)|BattleFuryTimes|BattleFuryDuration|PREVARGT:BattleFuryTimes,0		DESC:Bonuses when furied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BattleFuryStrBonus|BattleFuryConBonus|BattleFuryMorale|BattleFuryACPenalty|(BattleFuryConBonus/2)*TL	BONUS:VAR|BattleFuryBonus|2	BONUS:VAR|BattleFuryDuration|CON+3+(BattleFuryConBonus/2)	BONUS:VAR|BattleFuryConBonus|BattleFuryBonus	BONUS:VAR|BattleFuryStrBonus|BattleFuryBonus	BONUS:VAR|BattleFuryACPenalty|2	BONUS:VAR|BattleFuryMorale|BattleFuryBonus/2	TEMPDESC:Battle furied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BattleFuryStrBonus|BattleFuryConBonus|BattleFuryMorale|BattleFuryACPenalty|(BattleFuryConBonus/2)*TL	TEMPBONUS:PC|SAVE|Will|BattleFuryMorale	TEMPBONUS:PC|COMBAT|AC|-1*(BattleFuryACPenalty)	TEMPBONUS:PC|STAT|CON|BattleFuryConBonus	TEMPBONUS:PC|STAT|STR|BattleFuryStrBonus	TEMPBONUS:PC|VAR|BattleFuryDuration|-(BattleFuryConBonus/2)	TEMPBONUS:PC|VAR|BattleFuried|1	BONUS:VAR|BattleFuryTimes|ExtraRageTimes	BONUS:VAR|BattleFuryDuration|ExtraRageDuration	BONUS:VAR|BattleFuryBonus|ExtraRageBonus	BONUS:VAR|TirelessBattleFury|AllTirelessRage																																																																																																																																																																																																																																																																																							
Bear Form	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:BearFormTimes|0	DEFINE:BearFormLVL|0	DESC:%1 times/day|BearFormTimes|PREVARGT:BearFormTimes,0	DESC:Black Bear form (+8 STR,+2 DEX, +4 CON)|PREVARGTEQ:BearFormLVL,1	DESC:Brown Bear form (+16 STR,+2 DEX, +8 CON)|PREVARGTEQ:BearFormLVL,2	DESC:Dire Bear form (+20 STR,+2 DEX, +8 CON)|PREVARGTEQ:BearFormLVL,3																																																																																																																																																																																																																																																																																																														
Beast Shape	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:BeastShapeTimes|0	DEFINE:BeastShapeLVL|0	DESC:%1 times/day|BeastShapeTimes|PREVARGT:BeastShapeTimes,0																																																																																																																																																																																																																																																																																																																	
Blood Frenzy	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Extraordinary.Rage	VISIBLE:YES	DEFINE:BloodFrenzyTimes|0	DEFINE:BloodFrenzyLVL|0	DEFINE:BloodFrenzyDuration|0	DEFINE:BloodFrenzyConBonus|0	DEFINE:BloodFrenzyStrBonus|0	DEFINE:BloodFrenzyACPenalty|0	DEFINE:BloodFrenzyMorale|0	DEFINE:EnBloodFrenzied|0	DEFINE:BloodFrenzyBonus|0	DESC:%1 times/day (%2 rounds)|BloodFrenzyTimes|BloodFrenzyDuration|PREVARGT:BloodFrenzyTimes,0	DESC:Tireless Blood Frenzy, %1 times/day without fatigue (%2 rounds)|BloodFrenzyTimes|BloodFrenzyDuration|PREVARGTEQ:TirelessBloodFrenzy,1	DESC:Bonuses when frenzied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BloodFrenzyStrBonus|BloodFrenzyConBonus|BloodFrenzyMorale|BloodFrenzyACPenalty|(BloodFrenzyConBonus/2)*TL	BONUS:VAR|BloodFrenzyBonus|4	BONUS:VAR|BloodFrenzyDuration|CON+3+(BloodFrenzyConBonus/2)	BONUS:VAR|BloodFrenzyConBonus|BloodFrenzyBonus	BONUS:VAR|BloodFrenzyStrBonus|BloodFrenzyBonus	BONUS:VAR|BloodFrenzyACPenalty|2	BONUS:VAR|BloodFrenzyMorale|BloodFrenzyBonus/2	TEMPDESC:Blood Frenzied (STR +%1, CON +%2, Will +%3, AC -%4, HP %5)|BloodFrenzyStrBonus|BloodFrenzyConBonus|BloodFrenzyMorale|BloodFrenzyACPenalty|(BloodFrenzyConBonus/2)*TL	TEMPBONUS:PC|SAVE|Will|BloodFrenzyMorale	TEMPBONUS:PC|COMBAT|AC|-1*(BloodFrenzyACPenalty)	TEMPBONUS:PC|STAT|CON|BloodFrenzyConBonus	TEMPBONUS:PC|STAT|STR|BloodFrenzyStrBonus	TEMPBONUS:PC|VAR|BloodFrenzyDuration|-(BloodFrenzyConBonus/2)	TEMPBONUS:PC|VAR|BloodFrenzied|1	BONUS:VAR|BloodFrenzyTimes|ExtraRageTimes	BONUS:VAR|BloodFrenzyDuration|ExtraRageDuration	BONUS:VAR|BloodFrenzyBonus|ExtraRageBonus	BONUS:VAR|TirelessBloodFrenzy|AllTirelessRage																																																																																																																																																																																																																																																																																							
Crippling Strike	CATEGORY:Special Ability	TYPE:SharedAbility	VISIBLE:DISPLAY			DEFINE:DeathAttackDC|0	DEFINE:DeathAttackLVL|0	BONUS:VAR|DeathAttackDC|10+INT|TYPE=Base	BONUS:VAR|DeathAttackDC|min(DeatAttackLVL,10)+max((DeatAttackLVL-10)/2,0)|TYPE=Level	BONUS:VAR|DeathAttackDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Death Attack)																									SOURCEPAGE:DMG																																																																																																																																																																																																																																																																																				
Dagger Sneak Attack	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	DEFINE:DaggerSneakAttackDieSize|0	DEFINE:DaggerSneakAttackDice|0	DESC:Your daggers attack deals extra damage any time your target would be denied a Dexterity bonus to AC (whether the target actually has a Dexterity bonus or not), or when the you flank your target. This extra damage is %1d%2.|DaggerSneakAttackDice|DaggerSneakAttackDieSize	BONUS:VAR|DaggerSneakAttackDieSize|6|TYPE=Base	ASPECT:NAME|Dagger Sneak Attack +%1d%2|DaggerSneakAttackDice|DaggerSneakAttackDieSize	SERVESAS:ABILITY=Special Ability|Sneak Attack																																																																																																																																																																																																																																																																																																															
Death Attack	CATEGORY:Special Ability	TYPE:SharedAbility	VISIBLE:DISPLAY			DEFINE:DeathAttackDC|0	DEFINE:DeathAttackLVL|0	BONUS:VAR|DeathAttackDC|10+INT|TYPE=Base	BONUS:VAR|DeathAttackDC|min(DeatAttackLVL,10)+max((DeatAttackLVL-10)/2,0)|TYPE=Level	BONUS:VAR|DeathAttackDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Death Attack)																									SOURCEPAGE:DMG																																																																																																																																																																																																																																																																																				
Death Touch	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	DEFINE:DeathTouchDieSize|0	DEFINE:DeathTouchDice|0	DESC:You can slay living evil opponents with a single touch. When she touches, she rolls %1d%2. If the total at least equals the target's current hit points, it dies. This is a death effec.|DeathTouchDice|DeathTouchDieSize	DESC:%1/day.|DeathTouchTimes|PREVARGTEQ:DeathTouchTimes,1	BONUS:VAR|DeathTouchDieSize|6|TYPE=Base	ASPECT:NAME|Death Touch +%1d%2|DeathTouchDice|DeathTouchDieSize																																																																																																																																																																																																																																																																																																																
Defensive Roll	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:DefensiveRollTimes|0	
Defensive Stance	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:DefensiveStanceTimes|0	DEFINE:DefensiveStanceLVL|0	DEFINE:DefensiveStanceDuration|0	DEFINE:DefensiveStanceConBonus|0	DEFINE:DefensiveStanceStrBonus|0	DEFINE:DefensiveStanceACBonus|0	DEFINE:DefensiveStanceMorale|0	DEFINE:DefensiveStance|0	DEFINE:DefensiveStanceBonus|0	DESC:%1 times/day (%2 rounds)|DefensiveStanceTimes|DefensiveStanceDuration|PREVARGT:DefensiveStanceTimes,0	DESC:Bonuses when in defensive stance (STR +%1, CON +%2, saves +%3, AC %4, HP %5)|DefensiveStanceStrBonus|DefensiveStanceConBonus|DefensiveStanceMorale|DefensiveStanceACBonus|(DefensiveStanceConBonus/2)*TL	BONUS:VAR|DefensiveStanceBonus|4	BONUS:VAR|DefensiveStanceDuration|CON+3+(DefensiveStanceConBonus/2)	BONUS:VAR|DefensiveStanceConBonus|DefensiveStanceBonus	BONUS:VAR|DefensiveStanceStrBonus|DefensiveStanceBonus/2	BONUS:VAR|DefensiveStanceACBonus|DefensiveStanceBonus	BONUS:VAR|DefensiveStanceMorale|DefensiveStanceBonus/2	TEMPDESC:Defensive Stance (STR +%1, CON +%2, saves +%3, AC +%4, HP %5)|DefensiveStanceStrBonus|DefensiveStanceConBonus|DefensiveStanceMorale|DefensiveStanceACBonus|(DefensiveStanceConBonus/2)*TL	TEMPBONUS:PC|SAVE|ALL|DefensiveStanceMorale	TEMPBONUS:PC|COMBAT|AC|DefensiveStanceACPenalty	TEMPBONUS:PC|STAT|CON|DefensiveStanceConBonus	TEMPBONUS:PC|STAT|STR|DefensiveStanceStrBonus	TEMPBONUS:PC|VAR|DefensiveStanceDuration|-(DefensiveStanceConBonus/2)	TEMPBONUS:PC|VAR|DefensiveStance|1																																																																																																																																																																																																																																																																																												
Dirty Fighting	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	DEFINE:DirtyFightingDieSize|0	DEFINE:DirtyFightingDice|0	DESC:Your attack deals extra damage any time your target would be denied a Dexterity bonus to AC (whether the target actually has a Dexterity bonus or not), or when the you flank your target. This extra damage is %1d%2.|DirtyFightingDice|DirtyFightingDieSize	BONUS:VAR|DirtyFightingDieSize|6|TYPE=Base	ASPECT:NAME|Dirty Fighting +%1d%2|DirtyFightingDice|DirtyFightingDieSize																																																																																																																																																																																																																																																																																																																
Divine Grace	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Supernatural	VISIBLE:YES	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																			
Greater Dragonsong	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:GreaterDragonsongLVL|0	DEFINE:GreaterDragonsongTimes|0	DESC:%1/day.|GreaterDragonsongTimes	ABILITY:Special Ability|AUTOMATIC|Greater Dragonsong ~ Song of Strength|PREVARGTEQ:GreaterDragonsongLVL,1	ABILITY:Special Ability|AUTOMATIC|Greater Dragonsong ~ Song of Compulsion|PREVARGTEQ:GreaterDragonsongLVL,2	ABILITY:Special Ability|AUTOMATIC|Greater Dragonsong ~ Song of Flight|PREVARGTEQ:GreaterDragonsongLVL,3	ABILITY:Special Ability|AUTOMATIC|Greater Dragonsong ~ Song of Fear|PREVARGTEQ:GreaterDragonsongLVL,4	ABILITY:Special Ability|AUTOMATIC|Greater Dragonsong ~ Song of Healing|PREVARGTEQ:GreaterDragonsongLVL,5																																																																																																																																																																																																																																																																																																									
Favored Enemy	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:ImprovedFavoredEnemyBonus|0	SOURCEPAGE:DMG																																																																																																																																																																																																																																																																																																																		
Favored Environment	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:ImprovedFavoredEnemyBonus|0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																		
Favored Plane	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:ImprovedFavoredPlaneBonus|0	SOURCEPAGE:MotP30																																																																																																																																																																																																																																																																																																																		
Fast Movement	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:FastMovement|0	BONUS:MOVEADD|TYPE=Walk|FastMovement|TYPE=FastMovement	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																																																																		
Fiendslaying	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:ImprovedFiendslayingBonus|0	DEFINE:FiendslayingDieSize|0	DEFINE:FiendslayingDice|0	BONUS:VAR|FiendslayingDieSize|6|TYPE=Base	SOURCEPAGE:CW	ASPECT:NAME|Fiendslaying +%1d%2|FiendslayingDice|FiendslayingDieSize	SERVESAS:ABILITY=Special Ability|Favored Enemy																																																																																																																																																																																																																																																																																																													
Flurry of Blows	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:FlurryOfBlowsLVL|0	DEFINE:GreaterFlurryOfBlows|0	DEFINE:GreaterFlurryOfBlowsLVL|0	DEFINE:FlurryOfBlowsAttacks|0	DEFINE:FlurryOfBlowsPenalty|0	DEFINE:FlurryOfBlowsPenaltyLVL|0																																																																																																																																																																																																																																																																																																														
Foe Hunter	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:ImprovedFoeHunterBonus|0	SOURCEPAGE:FRCS																																																																																																																																																																																																																																																																																																																		
Frenzy	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Extraordinary.Rage	VISIBLE:YES	DEFINE:FrenzyTimes|0	DEFINE:FrenzyLVL|0	DEFINE:FrenzyDuration|0	DEFINE:FrenzyStrBonus|0	DEFINE:FrenzyACPenalty|0	DEFINE:Frenzied|0	DEFINE:FrenzyBonus|0	DESC:%1 times/day (%2 rounds)|FrenzyTimes|FrenzyDuration|PREVARGT:FrenzyTimes,0|PREVARLT:GreaterFrenzy,1	DESC:Greater Frenzy, %1 times/day (%2 rounds)|FrenzyTimes|FrenzyDuration|PREMULT:2,[PREVARGTEQ:GreaterFrenzy,1],[PREVARLT:TirelessFrenzy,1]	DESC:Tireless Frenzy, %1 times/day without fatigue (%2 rounds)|FrenzyTimes|FrenzyDuration|PREVARGTEQ:TirelessFrenzy,1	DESC:Bonuses when frenzied(STR +%1, AC -%2)|RageStrBonus|RageACPenalty	BONUS:VAR|FrenzyBonus|4	BONUS:VAR|FrenzyDuration|CON+3	BONUS:VAR|FrenzyStrBonus|FrenzyBonus	BONUS:VAR|FrenzyACPenalty|FrenzyBonus	TEMPDESC:Frenzied (STR +%1, AC -%4)|FrenzyStrBonus|FrenzyACPenalty	TEMPBONUS:PC|STAT|STR|FrenzyStrBonus	TEMPBONUS:PC|COMBAT|AC|-1*(FrenzyACPenalty)	TEMPBONUS:PC|VAR|Frenzied|1	TEMPBONUS:PC|COMBAT|ATTACKS|1	BONUS:VAR|FrenzyTimes|ExtraRageTimes	BONUS:VAR|FrenzyDuration|ExtraRageDuration	BONUS:VAR|FrenzyBonus|ExtraRageBonus	BONUS:VAR|TirelessFrenzy|AllTirelessRage																																																																																																																																																																																																																																																																																												
Greater Turn Undead	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack.Supernatural.GreaterTurning.GreaterTurnUndead	VISIBLE:YES	PREALIGN:LG,LN,NG,TN,CG,CN	PREVARNEQ:TurnProhibitedByDeity,1	DEFINE:GreaterTurnTimesUndead|0	DEFINE:GreaterTurnLevelUndead|0	DEFINE:GreaterTurnDiceUndead|0	DEFINE:GreaterTurnDieSizeUndead|0	DEFINE:GreaterTurnDamagePlusUndead|0	DEFINE:GreaterTurnCheckUndead|0	DESC:%1/day (turn level %2) (turn damage %3d%4+%5)|GreaterTurnTimesUndead|GreaterTurnLevelUndead|GreaterTurnDiceUndead|GreaterTurnDieSizeUndead|GreaterTurnDamagePlusUndead	BONUS:VAR|GreaterTurnTimesUndead|GreaterTurnTimesBase	BONUS:VAR|GreaterTurnLevelUndead|GreaterTurnLevelBase	BONUS:VAR|GreaterTurnDiceUndead|GreaterTurnDiceBase	BONUS:VAR|GreaterTurnDieSizeUndead|GreaterTurnDieSizeBase	BONUS:VAR|GreaterTurnDamagePlusUndead|GreaterTurnDamagePlusBase	BONUS:VAR|GreaterTurnCheckUndead|GreaterTurnCheckBase	SOURCESHORT:PHB	ASPECT:TurnType|Greater Turn	ASPECT:TurnKind|Undead	ASPECT:TurnTimes|%1|GreaterTurnTimesUndead	ASPECT:TurnLevel|%1|GreaterTurnLevelUndead	ASPECT:TurnDamage|%1d%2+%3|GreaterTurnDiceUndead|GreaterTurnDieSizeUndead|GreaterTurnDamagePlusUndead	ASPECT:TurnCheck|%1|GreaterTurnCheckUndead	ASPECT:TurnNotes|You destroy Undead creatures with total hit dice up to %1.|GreaterTurnLevelUndead																																																																																																																																																																																																																																																																																													
Greater Turning	CATEGORY:Special Ability	TYPE:SharedAbility.Turning	VISIBLE:NO	DEFINE:GreaterTurnTimesBase|0	DEFINE:GreaterTurnLevelBase|0	DEFINE:GreaterTurnDiceBase|0	DEFINE:GreaterTurnDieSizeBase|0	DEFINE:GreaterTurnDamagePlusBase|0	DEFINE:GreaterTurnCheckBase|0	BONUS:VAR|GreaterTurnDiceBase|2	BONUS:VAR|GreaterTurnDieSizeBase|6	BONUS:VAR|GreaterTurnDamagePlusBase|CHA	BONUS:VAR|GreaterTurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|GreaterTurnCheckBase|CHA|TYPE=Base																																																																																																																																																																																																																																																																																																									
Harper Knowledge	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialQuality.Extraordinary	VISIBLE:YES	DEFINE:HarperKnowledge|0	ASPECT:NAME|Harper Knowledge +%1|HarperKnowledge																																																																																																																																																																																																																																																																																																																		
Hide in Plain Sight	CATEGORY:Special Ability	TYPE:SharedAbility	VISIBLE:NO																																																																																																																																																																																																																																																																																																																				
Hunter's Eye	CATEGORY:Special Ability	TYPE:SharedAbility.SpecialAttack	DEFINE:HunterSEyeDieSize|0	DEFINE:HunterSEyeDice|0	DESC:Your ranged attack deals extra damage any time your target would be denied a Dexterity bonus to AC (whether the target actually has a Dexterity bonus or not), or when the you flank your target. This extra damage is %1d%2.|HunterSEyeDice|HunterSEyeDieSize	BONUS:VAR|HunterSEyeDieSize|6|TYPE=Base	ASPECT:NAME|Hunter's Eye +%1d%2|HunterSEyeDice|HunterSEyeDieSize																																																																																																																																																																																																																																																																																																																
