SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																														
CATEGORY=Internal|Race Traits ~ Green Dragon.MOD																BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,3	BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,4		BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,6		BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,8		BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,10		BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,12																								
CATEGORY=Internal|Race Traits ~ Green Dragon.MOD																BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,3	BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,4		BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,6		BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,8		BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,10		BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,12																								
#SR																																																	
CATEGORY=Internal|Race Traits ~ Green Dragon.MOD				SR:DragonSpellResistance														BONUS:VAR|DragonSpellResistance|19|PREVARGTEQ:DragonAgeCategory,4	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,6	BONUS:VAR|DragonSpellResistance|1|PREVARGTEQ:DragonAgeCategory,7	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,8	BONUS:VAR|DragonSpellResistance|1|PREVARGTEQ:DragonAgeCategory,9	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,10	BONUS:VAR|DragonSpellResistance|1|PREVARGTEQ:DragonAgeCategory,11	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,12																								
#AC / DR																																																	
CATEGORY=Internal|Race Traits ~ Green Dragon.MOD														BONUS:COMBAT|AC|1+(DragonNaturalArmor*DragonAgeCategory)|TYPE=NaturalArmor.STACK				BONUS:MISC|DR|Magic|5|PREVARGTEQ:DragonAgeCategory,5		BONUS:MISC|DR|Magic|5|PREVARGTEQ:DragonAgeCategory,7		BONUS:MISC|DR|Magic|5|PREVARGTEQ:DragonAgeCategory,9		BONUS:MISC|DR|Magic|5|PREVARGTEQ:DragonAgeCategory,11																									
#Spellcaster																																																	
CATEGORY=Internal|Race Traits ~ Green Dragon.MOD													ADD:SPELLCASTER|Sorcerer	BONUS:PCLEVEL|Sorcerer|-1|PREVARLTEQ:DragonAgeCategory,3	BONUS:PCLEVEL|Sorcerer|((DragonAgeCategory-3)*2)-1|PREVARGTEQ:DragonAgeCategory,4																																		
#Abilities																																																	
Breath Weapon	CATEGORY:Special Ability	TYPE:TrueDragonGreenDragonRaceTrait.SpecialAttack.Supernatural.BreathWeapon	VISIBLE:YES	DESC:A green dragon has one type of breath weapon, a cone of corrosive (acid) gas. Damage %1d%2, DC %3, Length %4|BreathWeaponDice|BreathWeaponDieSize|BreathWeaponDC|BreathWeaponCone	KEY:Green Dragon ~ Breath Weapon									BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)	BONUS:VAR|BreathWeaponDieSize|6								ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM																	
Frightful Presence	CATEGORY:Special Ability	TYPE:TrueDragonGreenDragonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1'ft Frightfull Presence (Will DC %2)|FrightfulPresenceRange|FrightfulPresenceDC	KEY:Green Dragon ~ Frightful Presence				DEFINE:FrightfulPresenceRange|0	DEFINE:FrightfulPresenceDC|0				BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)	BONUS:VAR|FrightfulPresenceRange|30*DragonAgeCategory							ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:MM																	
Spells	CATEGORY:Special Ability	TYPE:TrueDragonGreenDragonRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A Green Dragon cast spells as Sorcerer.	KEY:Green Dragon ~ Spells																											SOURCEPAGE:MM																	
Water Breathing	CATEGORY:Special Ability	TYPE:TrueDragonGreenDragonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A green dragon can breathe underwater indefinitely and can freely use its breath weapon, spells, and other abilities while submerged.	KEY:Green Dragon ~ Water Breathing																											SOURCEPAGE:MM																	
Suggestion	CATEGORY:Special Ability	TYPE:TrueDragonGreenDragonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Green Dragon ~ Suggestion																		SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonAgeCategory|Suggestion									SOURCEPAGE:MM																	
Plant Growth	CATEGORY:Special Ability	TYPE:TrueDragonGreenDragonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Green Dragon ~ Plant Growth																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonAgeCategory|Plant Growth									SOURCEPAGE:MM																	
Dominate Person	CATEGORY:Special Ability	TYPE:TrueDragonGreenDragonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Green Dragon ~ Dominate Person																		SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonAgeCategory|Dominate Person									SOURCEPAGE:MM																	
Command Plants	CATEGORY:Special Ability	TYPE:TrueDragonGreenDragonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Green Dragon ~ Command Plants																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonAgeCategory|Command Plants									SOURCEPAGE:MM																	
																																																	
Race Traits ~ Red Dragon	CATEGORY:Internal	TYPE:Special		ABILITY:Internal|AUTOMATIC|Dragon Defaults|True Dragon	ABILITY:Special Ability|AUTOMATIC|Immunity To Fire|Red Dragon ~ Breath Weapon	ABILITY:Special Ability|AUTOMATIC|Red Dragon ~ Spells|PREVARGTEQ:DragonAgeCategory,3	ABILITY:Special Ability|AUTOMATIC|Red Dragon ~ Frightful Presence|PREVARGTEQ:DragonAgeCategory,5	ABILITY:Special Ability|AUTOMATIC|Green Dragon ~ Locate Object|PREVARGTEQ:DragonAgeCategory,4	ABILITY:Special Ability|AUTOMATIC|Red Dragon ~ Suggestion|PREVARGTEQ:DragonAgeCategory,8	ABILITY:Special Ability|AUTOMATIC|Red Dragon ~ Find the Path|PREVARGTEQ:DragonAgeCategory,10	ABILITY:Special Ability|AUTOMATIC|Red Dragon ~ Discern Location|PREVARGTEQ:DragonAgeCategory,12			BONUS:VAR|DragonAgeCategory|(DragonLVL-4)/3	BONUS:VAR|DragonNaturalArmor|3								MOVE:Walk,40,Fly,150									SOURCEPAGE:MM																	
#cr																																																	
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD														BONUS:MISC|CR|1|PREVARGTEQ:DragonAgeCategory,1	BONUS:MISC|CR|1|PREVARGTEQ:DragonAgeCategory,2	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,3	BONUS:MISC|CR|3|PREVARGTEQ:DragonAgeCategory,4	BONUS:MISC|CR|3|PREVARGTEQ:DragonAgeCategory,5	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,6	BONUS:MISC|CR|3|PREVARGTEQ:DragonAgeCategory,7	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,8	BONUS:MISC|CR|1|PREVARGTEQ:DragonAgeCategory,9	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,10	BONUS:MISC|CR|1|PREVARGTEQ:DragonAgeCategory,11	BONUS:MISC|CR|2|PREVARGTEQ:DragonAgeCategory,12																								
#leveladjust																																																	
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD															BONUS:VAR|DragonLevelAdjustment|4|PREVAREQ:DragonAgeCategory,1|PREVAREQ:DragonAgeCategory,1	BONUS:VAR|DragonLevelAdjustment|5|PREVAREQ:DragonAgeCategory,1|PREVAREQ:DragonAgeCategory,2	BONUS:VAR|DragonLevelAdjustment|6|PREVAREQ:DragonAgeCategory,1|PREVAREQ:DragonAgeCategory,3																																
#size																																																	
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD														BONUS:VAR|DragonSizeTracker|5|PREVARGTEQ:DragonAgeCategory,1	BONUS:VAR|DragonSizeTracker|1|PREVARGTEQ:DragonAgeCategory,2			BONUS:VAR|DragonSizeTracker|1|PREVARGTEQ:DragonAgeCategory,5			BONUS:VAR|DragonSizeTracker|1|PREVARGTEQ:DragonAgeCategory,8				BONUS:VAR|DragonSizeTracker|1|PREVARGTEQ:DragonAgeCategory,12																								
#stats																																																	
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD														BONUS:STAT|STR|6|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,1	BONUS:STAT|STR|4|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,2	BONUS:STAT|STR|4|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,3	BONUS:STAT|STR|4|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,4	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,5	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,6		BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,8	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,9	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,10	BONUS:STAT|STR|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,11	BONUS:STAT|STR|4|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,12																								
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD																																																	
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD														BONUS:STAT|CON|4|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,1	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,2		BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,4	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,5		BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,7	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,8	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,9	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,10	BONUS:STAT|CON|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,11																									
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD															BONUS:STAT|INT|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,2		BONUS:STAT|INT|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,4		BONUS:STAT|INT|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,6	BONUS:STAT|INT|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,7	BONUS:STAT|INT|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,8	BONUS:STAT|INT|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,9	BONUS:STAT|INT|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,10		BONUS:STAT|INT|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,12																								
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD															BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,2		BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,4		BONUS:STAT|WIS|4|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,6		BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,8	BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,9	BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,10		BONUS:STAT|WIS|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,12																								
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD															BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,2		BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,4		BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,6	BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,7	BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,8	BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,9	BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,10		BONUS:STAT|CHA|2|TYPE=Racial.STACK|PREVARGTEQ:DragonAgeCategory,12																								
#SR																																																	
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD				SR:DragonSpellResistance														BONUS:VAR|DragonSpellResistance|19|PREVARGTEQ:DragonAgeCategory,5	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,6	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,7	BONUS:VAR|DragonSpellResistance|1|PREVARGTEQ:DragonAgeCategory,8	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,9	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,10	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,11	BONUS:VAR|DragonSpellResistance|2|PREVARGTEQ:DragonAgeCategory,12																								
#AC / DR																																																	
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD														BONUS:COMBAT|AC|3+(DragonNaturalArmor*DragonAgeCategory)|TYPE=NaturalArmor.STACK				BONUS:MISC|DR|Magic|5|PREVARGTEQ:DragonAgeCategory,5		BONUS:MISC|DR|Magic|5|PREVARGTEQ:DragonAgeCategory,7		BONUS:MISC|DR|Magic|5|PREVARGTEQ:DragonAgeCategory,9		BONUS:MISC|DR|Magic|5|PREVARGTEQ:DragonAgeCategory,11																									
#Spellcaster																																																	
CATEGORY=Internal|Race Traits ~ Red Dragon.MOD													ADD:SPELLCASTER|Sorcerer/Cleric (Arcane)	BONUS:PCLEVEL|Sorcerer/Cleric (Arcane)|-1|PREVARLTEQ:DragonAgeCategory,3	BONUS:PCLEVEL|Sorcerer/Cleric (Arcane)|((DragonAgeCategory-2)*2)-1|PREVARGTEQ:DragonAgeCategory,3																																		
#Abilities																																																	
Breath Weapon	CATEGORY:Special Ability	TYPE:TrueDragonRedDragonRaceTrait.SpecialAttack.Supernatural.BreathWeapon	VISIBLE:YES	DESC:red dragon has one type of breath weapon, a cone of fire. Damage %1d%2, DC %3, Length %4|BreathWeaponDice|BreathWeaponDieSize|BreathWeaponDC|BreathWeaponCone	KEY:Red Dragon ~ Breath Weapon									BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)	BONUS:VAR|BreathWeaponDieSize|10								ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:MM																	
Frightful Presence	CATEGORY:Special Ability	TYPE:TrueDragonRedDragonRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1'ft Frightfull Presence (Will DC %2)|FrightfulPresenceRange|FrightfulPresenceDC	KEY:Red Dragon ~ Frightful Presence				DEFINE:FrightfulPresenceRange|0	DEFINE:FrightfulPresenceDC|0				BONUS:VAR|FrightfulPresenceDC|DefaultDCCha	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)	BONUS:VAR|FrightfulPresenceRange|30*DragonAgeCategory							ABILITY:Ability Focus|AUTOMATIC|Frightful Presence									SOURCEPAGE:MM																	
Spells	CATEGORY:Special Ability	TYPE:TrueDragonRedDragonRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A Red Dragon cast spells as Sorcerer, Can also cast cleric spells and those from the Chaos, Evil, and Fire domains as arcane spells.	KEY:Red Dragon ~ Spells									BONUS:VAR|ChaosDomainAllowed|1	BONUS:VAR|EvilDomainAllowed|1	BONUS:VAR|FireDomainAllowed|1																SOURCEPAGE:MM																	
Locate Object	CATEGORY:Special Ability	TYPE:TrueDragonRedDragonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A juvenile or older red dragon can use this ability as the spell of the same name, once per day per age category.	KEY:Red Dragon ~ Locate Object																		SPELLS:Innate|TIMES=DragonAgeCategory|CASTERLEVEL=DragonAgeCategory|Locate Object									SOURCEPAGE:MM																	
Suggestion	CATEGORY:Special Ability	TYPE:TrueDragonRedDragonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Red Dragon ~ Suggestion																		SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonAgeCategory|Suggestion									SOURCEPAGE:MM																	
Find the Path	CATEGORY:Special Ability	TYPE:TrueDragonRedDragonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Red Dragon ~ Find the Path																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonAgeCategory|Find the Path									SOURCEPAGE:MM																	
Discern Location	CATEGORY:Special Ability	TYPE:TrueDragonRedDragonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Red Dragon ~ Discerl Location																		SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonAgeCategory|Discern Location									SOURCEPAGE:MM																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
Race Traits ~ Giant Eagle	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GiantEagleRaceTrait|Flight Maneuverability	AUTO:LANG|Common|Auran										BONUS:VAR|Maneuverability|3|TYPE=Racial																																			
Evasion	CATEGORY:Special Ability	TYPE:GiantEagleRaceTrait.SpecialQuality.Extraordinary.Evasion	VISIBLE:YES	DESC:With a successful Reflex save against an attack that allows a Reflex save for half damage, a giant eagle takes no damage.	KEY:Giant Eagle ~ Evasion																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:GiantEagleRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Giant eagles have a +4 racial bonus on Spot checks.	KEY:Giant Eagle ~ Skills									BONUS:SKILL|Spot|4|TYPE=Racial																		SOURCEPAGE:MM																	
Training	CATEGORY:Special Ability	TYPE:GiantEagleRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Training DC 25 Handle Animal check. Require an exotic saddle. Professional trainers charge 1000 gp to rear or train.	KEY:Giant Eagle ~ Training																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Giant Owl	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GiantOwlRaceTrait|Flight Maneuverability	AUTO:LANG|Common|Sylvan										BONUS:VAR|Maneuverability|3|TYPE=Racial																																			
Superior Low-Light Vision	CATEGORY:Special Ability	TYPE:GiantOwlRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A giant owl can see five times as far as a human can in dim light.	KEY:Giant Owl ~ Evasion									BONUS:VAR|LowLightDistance|3|TYPE=Racial																		SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:GiantOwlRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Giant owls have a +8 racial bonus on Listen checks and a +4 racial bonus on Spot checks.&nl;*When in flight, giant owls gain a +8 bonus on Move Silently checks.	KEY:Giant Owl ~ Skills									BONUS:SKILL|Listen|8|TYPE=Racial	BONUS:SKILL|Spot|4|TYPE=Racial																	SOURCEPAGE:MM																	
Training	CATEGORY:Special Ability	TYPE:GiantOwlRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Training DC 25 Handle Animal check. Require an exotic saddle. Professional trainers charge 1000 gp to rear or train.	KEY:Giant Owl ~ Training																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Nessian Warhound ~ MM	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NessianWarhoundMMRaceTrait|Scent	ABILITY:Special Ability|AUTOMATIC|Nessian Warhound ~ MM ~ Fiery Bite|PRESIZELTEQ:M																																													
Breath Weapon	CATEGORY:Special Ability	TYPE:NessianWarhoundMMRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1' Cone of Fire %2d%3 fire Ref DC %4 half|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Nessian Warhound ~ MM ~ Breath Weapon									BONUS:VAR|BreathWeaponCone|10	BONUS:VAR|BreathWeaponDice|2	BONUS:VAR|BreathWeaponDamageDie|6	BONUS:VAR|BreathWeaponDice|1|PRESIZEGTEQ:L	BONUS:VAR|BreathWeaponDice|1|PRESIZEGTEQ:H					BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)	ABILITY:Ability Focus|AUTOMATIC|Breath Weapon							SOURCEPAGE:MM																	
Fiery Bite	CATEGORY:Special Ability	TYPE:NessianWarhoundMMRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A Nessian Warhound deals an extra 1d6 points of fire damage every time it bites an opponent, as if its bite were a flaming weapon.	KEY:Nessian Warhound ~ MM ~ Fiery Bite	PRESIZEEQ:M																										SOURCEPAGE:MM																	
Fiery Bite	CATEGORY:Special Ability	TYPE:NessianWarhoundMMRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A Nessian Warhound deals an extra 1d8 points of fire damage every time it bites an opponent, as if its bite were a flaming weapon.	KEY:Nessian Warhound ~ MM ~ Fiery Bite Large	PRESIZEEQ:L																										SOURCEPAGE:MM																	
Fiery Bite	CATEGORY:Special Ability	TYPE:NessianWarhoundMMRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A Nessian Warhound deals an extra 1d10 points of fire damage every time it bites an opponent, as if its bite were a flaming weapon.	KEY:Nessian Warhound ~ MM ~ Fiery Bite Huge	PRESIZEEQ:H																										SOURCEPAGE:MM																	
Natural Weaponss	CATEGORY:Special Ability	TYPE:NessianWarhoundMMRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An Nessian Warhound ~ MM's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lwful-aligned for the purpose of overcoming damage reduction.	KEY:Nessian Warhound ~ MM ~ Natural Weaponss																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:NessianWarhoundMMRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+5 racial bonus on Hide and Move Silently checks. +8 racial bonus on Survival checks when traking by scent, due to their keen sense of smell.	KEY:Nessian Warhound ~ MM ~ Skills									BONUS:SKILL|Hide,Move Silently|5|TYPE=Racial	BONUS:SITUATION|Survival=Track by Scent|8|TYPE=Racial																	SOURCEPAGE:MM																	
																																																	
Race Traits ~ Githyanki	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GithyankiRaceTrait	AUTO:LANG|Githyanki	ABILITY:FEAT|AUTOMATIC|Alertness																																												
Psionics	CATEGORY:Special Ability	TYPE:GithyankiRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Githyanki ~ Psionics																		SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Daze,10+CHA|Mage Hand	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Blur|PRELEVEL:MIN=3	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Dimension Door|PRELEVEL:MIN=6	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Telekinesis,15+CHA|PRELEVEL:MIN=9	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift,17+CHA|PRELEVEL:MIN=9					SOURCEPAGE:MM																	
Red Dragon Pact	CATEGORY:Special Ability	TYPE:GithyankiRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+4 racial bonus to Diplomacy checks when dealing with Red Dragons.	KEY:Githyanki ~ Red Dragon Pact									BONUS:SITUATION|Diplomacy=Dealing with Red Dragons|4|TYPE=Racial																		SOURCEPAGE:MM																	
Spell Resistance	CATEGORY:Special Ability	TYPE:GithyankiRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Spell resistance equal to 5+class levels.	KEY:Githyanki ~ Spell Resistance																		SR:TL+5									SOURCEPAGE:MM																	
																																																	
Race Traits ~ Githzerai	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GitzeraiRaceTrait	AUTO:LANG|Githzerai																																													
Psionics	CATEGORY:Special Ability	TYPE:GitzeraiRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Githzerai ~ Psionics																		SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Daze,10+CHA|Feather Fall|Shatter,12+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Plane Shift,17+CHA|PRELEVEL:MIN=11								SOURCEPAGE:MM																	
Inertial Armor	CATEGORY:Special Ability	TYPE:GitzeraiRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Githzerai ~ Inertial Armor									BONUS:COMBAT|AC|4|TYPE=Armor																		SOURCEPAGE:MM																	
Spell Resistance	CATEGORY:Special Ability	TYPE:GitzeraiRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Spell resistance equal to 5+class levels.	KEY:Githzerai ~ Spell Resistance																		SR:TL+5									SOURCEPAGE:MM																	
																																																	
CATEGORY=Internal|Race Traits ~ Griffon.MOD	ABILITY:Special Ability|AUTOMATIC|Griffon ~ Training																																																
Training	CATEGORY:Special Ability	TYPE:GriffonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Training DC 25 Handle Animal check. Require an exotic saddle. Professional trainers charge 1500 gp to rear or train.	KEY:Griffon ~ Training																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Avoral ~ MM	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AvoralMMRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|4|TYPE=Racial																																			
Natural Weaponss	CATEGORY:Special Ability	TYPE:AvoralMMRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An Avoral's natural weapons, as well as any weapons it wields, are treated as good-aligned for the purpose of overcoming damage reduction.	KEY:Avoral ~ MM ~ Natural Weaponss																											SOURCEPAGE:MM																	
