SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																																														
																																																																	
# Race Name	Output Name	Favored Class	STARTFEATS:	SIZE:	MOVE:	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								MONCSKILL:	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	RACETYPE:	RACESUBTYPE:	TYPE:	Template			Hit Dice	HITDICEADVANCEMENT:	LEVELADJUSTMENT:	CR:	SOURCEPAGE:	Innate Spells	
Dire Animal (Dire Wolf)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|14	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Move Silently|Spot|Survival									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Wolf)									MONSTERCLASS:Animal (Dire):6	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:18		CR:3	SOURCEPAGE:MM		
Dire Animal (Dire Wolverine)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base	KIT:1|TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|12	BONUS:STAT|DEX|6	BONUS:STAT|CON|8	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Climb|Listen|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Dire Animal (Dire Wolverine)									MONSTERCLASS:Animal (Dire):5	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal					HITDICEADVANCEMENT:15		CR:4	SOURCEPAGE:MM		
Displacer Beast			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base				BONUS:COMBAT|AC|5|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Hide|Listen|Move Silently|Spot									LEGS:6	HANDS:2				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Displacer Beast									MONSTERCLASS:Magical Beast:6	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:9,18	LEVELADJUSTMENT:4	CR:4	SOURCEPAGE:MM		
Doppelganger			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5						BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Diplomacy|Disguise|Intimidate|Listen|Sense Motive|Spot									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Slam|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Finesseable.Bludgeoning,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Doppelganger									MONSTERCLASS:Monstrous Humanoid:4	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Shapechanger	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:4	CR:3	SOURCEPAGE:MM		
Black Dragon	KEY:Dragon (Black)		STARTFEATS:1		MOVE:Walk,60					KIT:1|CE																	MONCSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE=Knowledge|Sense Motive|Use Magic Device|Hide|Move Silently|Swim									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Black Dragon	ABILITY:Internal|AUTOMATIC|Race Size ~ Long								MONSTERCLASS:Dragon:4	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon							CR:2	SOURCEPAGE:MM		SORTKEY:Dragon_Black
Blue Dragon	KEY:Dragon (Blue)		STARTFEATS:1		MOVE:Walk,40					KIT:1|LE																	MONCSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE=Knowledge|Sense Motive|Use Magic Device|Bluff|Hide|Spellcraft									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Blue Dragon	ABILITY:Internal|AUTOMATIC|Race Size ~ Long								MONSTERCLASS:Dragon:6	RACETYPE:Dragon	RACESUBTYPE:Earth	TYPE:Dragon							CR:2	SOURCEPAGE:MM		SORTKEY:Dragon_Blue
Green Dragon	KEY:Dragon (Green)		STARTFEATS:1		MOVE:Walk,40					KIT:1|LE																	MONCSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE=Knowledge|Sense Motive|Use Magic Device|Bluff|Hide|Move Silently									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Green Dragon	ABILITY:Internal|AUTOMATIC|Race Size ~ Long								MONSTERCLASS:Dragon:5	RACETYPE:Dragon	RACESUBTYPE:Air	TYPE:Dragon							CR:2	SOURCEPAGE:MM		SORTKEY:Dragon_Green
Red Dragon	KEY:Dragon (Red)		STARTFEATS:1		MOVE:Walk,40					KIT:1|CE																	MONCSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE=Knowledge|Sense Motive|Use Magic Device|Appraise|Bluff|Jump									LEGS:4	HANDS:0						ABILITY:Internal|AUTOMATIC|Race Traits ~ Red Dragon	ABILITY:Internal|AUTOMATIC|Race Size ~ Long								MONSTERCLASS:Dragon:7	RACETYPE:Dragon	RACESUBTYPE:Fire	TYPE:Dragon							CR:3	SOURCEPAGE:MM		SORTKEY:Dragon_Red
																																																																	
																																																																	
Eagle (Giant)			STARTFEATS:1	SIZE:L	MOVE:Walk,10,Fly,80	FACE:10	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base				BONUS:COMBAT|AC|3|TYPE=Natural						BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|2		BONUS:STAT|WIS|4				MONCSKILL:Knowledge (Nature)|Listen|Sense Motive|Spot|Survival									LEGS:2	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Giant Eagle									MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:8,12	LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:MM		
																																																																	
Githyanki		FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base				LANGBONUS:Common,Draconic,Infernal,Undercommon								BONUS:STAT|DEX|2	BONUS:STAT|CON|2		BONUS:STAT|WIS|-2													LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Githyanki									MONSTERCLASS:Humanoid:1	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar	TYPE:Humanoid						LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:MM		
Githzerai		FAVCLASS:Monk	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base				LANGBONUS:Common,Slaad,Undercommon								BONUS:STAT|DEX|6		BONUS:STAT|INT|-2	BONUS:STAT|WIS|2													LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Githzerai									MONSTERCLASS:Humanoid:1	RACETYPE:Humanoid	RACESUBTYPE:Extraplanar	TYPE:Humanoid						LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:MM		
Guardinal (Avoral)	OUTPUTNAME:Guardinal, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,90	FACE:5	REACH:5			KIT:1|NG			BONUS:COMBAT|AC|8|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|12	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Handle Animal|Hide|Intimidate|TYPE=Knowledge|Listen|Move Silently|Ride|Sense Motive|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,2d6	NATURALATTACKS:Wing,Weapon.Natural.Melee.Bludgeoning,*2,2d8	ABILITY:Internal|AUTOMATIC|Race Traits ~ Avoral ~ MM						SR:25	DR:10/Evil or Silver		MONSTERCLASS:Outsider:7	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:14,21		CR:9	SOURCEPAGE:MM		
Guardinal (Leonal)	OUTPUTNAME:Guardinal, [NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,60	FACE:5	REACH:5			KIT:1|NG			BONUS:COMBAT|AC|14|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Balance|Concentration|Diplomacy|Hide|Intimidate|Jump|TYPE=Knowledge|Listen|Move Silently|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Leonal ~ MM						SR:28	DR:10/Evil and Silver		MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Guardinal|Extraplanar|Good	TYPE:Outsider					HITDICEADVANCEMENT:18,36		CR:12	SOURCEPAGE:MM		
Hell Hound (Nessian Warhound)	OUTPUTNAME:Nessian Warhound		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|LE			BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|4	BONUS:STAT|CON|10	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Hide|Jump|Listen|Move Silently|Spot|Survival|Tumble									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Nessian Warhound ~ MM									MONSTERCLASS:Outsider:12	RACETYPE:Outsider	RACESUBTYPE:Hell Hound|Evil|Extraplanar|Fire|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:17,24	LEVELADJUSTMENT:4	CR:9	SOURCEPAGE:MM		
Kuo-Toa			STARTFEATS:1	SIZE:M	MOVE:Walk,20	FACE:5	REACH:5						BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|2		BONUS:STAT|CON|2	BONUS:STAT|INT|2	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2			MONCSKILL:TYPE=Craft|Escape Artist|TYPE=Knowledge|Listen|Move Silently|Search|Spot|Swim	AUTO:SHIELDPROF|SHIELDTYPE=Buckler|SHIELDTYPE=Light|SHIELDTYPE=Heavy		AUTO:WEAPONPROF|Shortspear|Pincerstaff						LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Kuo-Toa									MONSTERCLASS:Monstrous Humanoid:2	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Aquatic	TYPE:Outsider						LEVELADJUSTMENT:3	CR:2	SOURCEPAGE:MM		
Mind Flayer		FAVCLASS:Wizard	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base				LANGBONUS:Abyssal,Aquan,Draconic,Dwarven,Elven,Gnome,Infernal,Terran	BONUS:COMBAT|AC|3|TYPE=NaturalArmor						BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Concentration|Diplomacy|Disguise|Hide|Intimidate|TYPE=Knowledge|Listen|Move Silently|Sense Motive|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Tentacle,Weapon.Natural.Finesseable.Melee.Bludgeoning,*4,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Mind Flayer						SR:25			MONSTERCLASS:Aberration:8	RACETYPE:Aberration	RACESUBTYPE:Mind Flayer	TYPE:Aberration						LEVELADJUSTMENT:7	CR:8	SOURCEPAGE:MM		
Owl (Giant)		STARTFEATS:1	SIZE:L	MOVE:Walk,10,Fly,70	FACE:10	REACH:5		BONUS:VAR|HasLowLightVision|1|TYPE=Base					BONUS:COMBAT|AC|3|TYPE=Natural						BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|2		BONUS:STAT|WIS|4				MONCSKILL:Knowledge (Nature)|Listen|Move Silently|Spot									LEGS:2	HANDS:0				NATURALATTACKS:Claw,Weapon.Natural.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Giant Owl									MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:8,12	LEVELADJUSTMENT:2	CR:3	SOURCEPAGE:MM		
Slaad (Blue)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10												BONUS:STAT|STR|12	BONUS:STAT|DEX|4	BONUS:STAT|CON|8	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-4				MONCSKILL:Climb|Hide|Jump|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*4,2d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Blue Slaad									MONSTERCLASS:Outsider:8	RACETYPE:Outsider	RACESUBTYPE:Slaad|Extraplanar|Chaotic	TYPE:Outsider					HITDICEADVANCEMENT:12,24	LEVELADJUSTMENT:8	CR:8	SOURCEPAGE:MM		
Slaad (Death)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5												BONUS:STAT|STR|10	BONUS:STAT|DEX|12	BONUS:STAT|CON|10	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|8			MONCSKILL:Climb|Concentration|Escape Artist|Hide|Intimidate|Jump|TYPE=Knowledge|Listen|Move Silently|Search|Spot|Survival|Use Rope									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,3d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d10		ABILITY:Internal|AUTOMATIC|Race Traits ~ Death Slaad							DR:10/Lawful		MONSTERCLASS:Outsider:15	RACETYPE:Outsider	RACESUBTYPE:Slaad|Extraplanar|Chaotic	TYPE:Outsider					HITDICEADVANCEMENT:22,45		CR:13	SOURCEPAGE:MM		
Slaad (Green)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10												BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|8			BONUS:STAT|CHA|2			MONCSKILL:Climb|Concentration|Hide|Jump|Listen|Move Silently|Search|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d6|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Green Slaad									MONSTERCLASS:Outsider:9	RACETYPE:Outsider	RACESUBTYPE:Slaad|Extraplanar|Chaotic	TYPE:Outsider					HITDICEADVANCEMENT:15,27	LEVELADJUSTMENT:7	CR:9	SOURCEPAGE:MM		
Slaad (Gray)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5												BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4			MONCSKILL:Climb|Concentration|Hide|Jump|Knowledge (Arcana)|Listen|Move Silently|Search|Spellcraft|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Gray Slaad							DR:10/Lawful		MONSTERCLASS:Outsider:10	RACETYPE:Outsider	RACESUBTYPE:Slaad|Extraplanar|Chaotic	TYPE:Outsider					HITDICEADVANCEMENT:15,30	LEVELADJUSTMENT:6	CR:10	SOURCEPAGE:MM		
Slaad (Red)	OUTPUTNAME:[NAME] Slaad		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:10												BONUS:STAT|STR|10	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-4	BONUS:STAT|WIS|-4	BONUS:STAT|CHA|-2			MONCSKILL:Climb|Hide|Jump|Listen|Move Silently|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Red Slaad									MONSTERCLASS:Outsider:7	RACETYPE:Outsider	RACESUBTYPE:Slaad|Extraplanar|Chaotic	TYPE:Outsider					HITDICEADVANCEMENT:10,21	LEVELADJUSTMENT:6	CR:7	SOURCEPAGE:MM		
Umber Hulk			STARTFEATS:1	SIZE:L	MOVE:Walk,20,Burrow,20	FACE:10	REACH:10												BONUS:STAT|STR|12	BONUS:STAT|DEX|2	BONUS:STAT|CON|8			BONUS:STAT|CHA|2			MONCSKILL:Climb|Jump|Listen									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,2d4|Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d8		ABILITY:Internal|AUTOMATIC|Race Traits ~ Umber Hulk									MONSTERCLASS:Aberration:8	RACETYPE:Aberration		TYPE:Aberration					HITDICEADVANCEMENT:12,24		CR:7	SOURCEPAGE:MM		
Unicorn			STARTFEATS:1	SIZE:L	MOVE:Walk,60	FACE:10	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base		KIT:1|NG			BONUS:COMBAT|AC|6|TYPE=NaturalArmor						BONUS:STAT|STR|10	BONUS:STAT|DEX|6	BONUS:STAT|CON|10		BONUS:STAT|WIS|10	BONUS:STAT|CHA|14			MONCSKILL:Jump|Listen|Move Silently|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Horn,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8|Hoof,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Unicorn									MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast		TYPE:Magical Beast					HITDICEADVANCEMENT:8	LEVELADJUSTMENT:4	CR:3	SOURCEPAGE:MM		
Yuan Ti (Abomination)	OUTPUTNAME:[NAME] Yuan-Ti		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Climb,20,Swim,20	FACE:10	REACH:10						BONUS:COMBAT|AC|10|TYPE=NaturalArmor						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|10	BONUS:STAT|WIS|10	BONUS:STAT|CHA|8			MONCSKILL:Concentration|TYPE=Craft|TYPE=Knowledge|Hide|Listen|Move Silently|Spot	ABILITY:FEAT|AUTOMATIC|Shield Proficiency		AUTO:WEAPONPROF|Scimitar|Longbow						LEGS:0	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,2d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Yuan-Ti Abomination						SR:18			MONSTERCLASS:Monstrous Humanoid:9	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Yuan-Ti	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:7	CR:7	SOURCEPAGE:MM		
Yuan Ti (Half Blood)	OUTPUTNAME:[NAME] Yuan-Ti		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6			MONCSKILL:Concentration|TYPE=Craft|TYPE=Knowledge|Hide|Listen|Spot	ABILITY:FEAT|AUTOMATIC|Shield Proficiency	ABILITY:FEAT|AUTOMATIC|Armor Proficiency (Light)	AUTO:WEAPONPROF|Scimitar|Longbow						LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Race Traits ~ Yuan-Ti Halfblood						SR:16			MONSTERCLASS:Monstrous Humanoid:7	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Yuan-Ti	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:MM		
# Yuan Ti (Half Blood/Half Snake)	OUTPUTNAME:Half Snake Half Blood Yuan-Ti		STARTFEATS:1	SIZE:M	MOVE:Walk,20,Climb,15,Swim,15	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6			MONCSKILL:Concentration|TYPE=Craft|TYPE=Knowledge|Hide|Listen|Spot	AUTO:FEAT|Shield Proficiency	AUTO:FEAT|Armor Proficiency (Light)	AUTO:WEAPONPROF|Scimitar|Longbow						LEGS:0	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Yuan-Ti Halfblood	ABILITY:Special Ability|AUTOMATIC|Constrict					SR:16			MONSTERCLASS:Monstrous Humanoid:7	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Yuan-Ti	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:MM		
# Yuan Ti (Half Blood/Snake Arms)	OUTPUTNAME:Snake Arms Half Blood Yuan-Ti		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6			MONCSKILL:Concentration|TYPE=Craft|TYPE=Knowledge|Hide|Listen|Spot	AUTO:FEAT|Shield Proficiency	AUTO:FEAT|Armor Proficiency (Light)	AUTO:WEAPONPROF|Scimitar|Longbow						LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*2,1d4		ABILITY:Internal|AUTOMATIC|Race Traits ~ Yuan-Ti Halfblood						SR:16			MONSTERCLASS:Monstrous Humanoid:7	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Yuan-Ti	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:MM		
# Yuan Ti (Half Blood/Snake Tail)	OUTPUTNAME:Snake Tail Half blood Yuan-Ti		STARTFEATS:1	SIZE:M	MOVE:Walk,30,Swim,15	FACE:5	REACH:5	BONUS:VAR|DarkvisionRange|60|TYPE=Base					BONUS:COMBAT|AC|4|TYPE=NaturalArmor						BONUS:STAT|STR|4	BONUS:STAT|DEX|2	BONUS:STAT|CON|2	BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6			MONCSKILL:Concentration|TYPE=Craft|TYPE=Knowledge|Hide|Listen|Spot	AUTO:FEAT|Shield Proficiency	AUTO:FEAT|Armor Proficiency (Light)	AUTO:WEAPONPROF|Scimitar|Longbow						LEGS:2	HANDS:2	BONUS:WEAPONPROF=Bite|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Bite,Weapon.Natural.Melee.Bludgeoning.Piercing.Slashing,*1,1d6		ABILITY:Internal|AUTOMATIC|Race Traits ~ Yuan-Ti Halfblood	ABILITY:Special Ability|AUTOMATIC|Constrict					SR:16			MONSTERCLASS:Monstrous Humanoid:7	RACETYPE:Monstrous Humanoid	RACESUBTYPE:Yuan-Ti	TYPE:Monstrous Humanoid						LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:MM		
