SOURCELONG:Unearthed Arcana	SOURCESHORT:UA	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-02																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Greater Senses	CATEGORY:Special Ability	TYPE:ItemFamiliarSpecialAbility.SpecialQuality	VISIBLE:YES	DESC:An item familiar empowered with this special ability gains blindsense out to 30 feet.	KEY:Item Familiar ~ Special Ability ~ Greater Senses	PREABILITY:1,CATEGORY=Special Ability,Item Familiar ~ Special Ability ~ Improved Senses																										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Improved Senses	CATEGORY:Special Ability	TYPE:ItemFamiliarSpecialAbility.SpecialQuality	VISIBLE:YES	DESC:An item familiar empowered with this special ability gains darkvision out to 60 feet.	KEY:Item Familiar ~ Special Ability ~ Improved Senses																											SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Increased Sapience	CATEGORY:Special Ability	TYPE:ItemFamiliarSpecialAbility.SpecialQuality	VISIBLE:YES	DESC:An item familiar empowered with this special ability gains +4 to any single ability score and +2 to its other two scores. The item can now communicate telepathically in a recognizable language with the master out to 120 feet and can speak audibly in Common. It can speak, read, and understand one additional language per point of Intelligence bonus. A character may select this special ability multiple times, each time improving all three of the item's ability scores and increasing the number of languages it can speak, read, and understand.	KEY:Item Familiar ~ Special Ability ~ Increased Sapence									BONUS:STAT|INT,WIS,CHA|2	BONUS:STAT|%LIST|2				STACK:YES	MULT:YES	CHOOSE:PCSTAT|INT|WIS|CHA	SELECT:1										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Lesser Power	CATEGORY:Special Ability	TYPE:ItemFamiliarSpecialAbility.SpecialQuality	VISIBLE:YES	DESC:An item familiar empowered with this special ability gains any single lesser power listed on the Intelligent Item Lesser Powers table, page 269 of the Dungeon Master's Guide. The item uses this power as described, at the master's command. A character may select this special ability multiple times, each time applying it to a different lesser power.	KEY:Item Familiar ~ Special Ability ~ Lesser Power	PRETEXT:The master must spend the amount of gold pieces given in the Base Price Modifi er column of the Intelligent Item Lesser Powers table to purchase the lesser power. The process of empowering an item in this way takes 24 hours.			DEFINE:ItemFamiliarLesserPower|0					BONUS:VAR|ItemFamiliarLesserPower|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Special Purpose and Dedicated Power	CATEGORY:Special Ability	TYPE:ItemFamiliarSpecialAbility.SpecialQuality	VISIBLE:YES	DESC:An item familiar empowered with this special ability gains a special purpose and a dedicated power chosen by its master (see the Intelligent Item Purpose and Special Purpose Item Dedicated Powers tables on page 270 of the Dungeon Master's Guide). An item familiar usually displays more fl exibility in how it carries out its special purpose than a standard intelligent item, especially if its purpose confl icts with its master. However, if a master (especially one who gave the item a special purpose in the first place) consistently acts against the item's special purpose, the item has even more leverage for keeping the "master" in line. An item familiar can temporarily sever the link between item and master, essentially shutting down access to any abilities invested in the item plus all its normal magical abilities, as if the item had been lost or destroyed. The item only reestablishes the link if it is convinced the master is committed to helping it fulfill its special purpose. No item familiar may have more than one special purpose and one dedicated power.	KEY:Item Familiar ~ Special Ability ~ Special Purpose and Dedicated Power	PRETEXT:The master must spend the amount of gold pieces given in the Base Price Modifi er column of the Special Purpose Item Dedicated Powers table to purchase the dedicated power. The process of empowering an item in this way takes 24 hours.																										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Spell Use	CATEGORY:Special Ability	TYPE:ItemFamiliarSpecialAbility.SpecialQuality	VISIBLE:YES	DESC:An item familiar empowered with this ability may cast any spell invested in it as a standard action (or longer, as defi ned by the spell's duration) as long as it does not have an expensive material component or an XP component. The item familiar need not provide any verbal or somatic components, and it need not provide any material components that cost less than 1 gp. The item familiar must meet the ability score prerequisites for the spell but casts the spell at the master's level. The item familiar may cast the spell only on the master's order (as described in Cantrips/ Orisons, above). If an item familiar casts an invested spell, it is as if the master cast it for purposes of spells per day and preparation.	KEY:Item Familiar ~ Special Ability ~ Spell Use	PRETEXT:The item must have an invested spell slot of the appropriate spell level (see Invest Spell Slots, above), and the master must have the ability to cast 3rd-level spells.																										SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
###BLOCK:Incantation																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Variant Rule ~ Use Incantation	CATEGORY:Special Ability	TYPE:AltRules	VISIBLE:DISPLAY	DESC:Incantations are like spells, but they can be cast by characters who are not spellcasters.	COST:0	DEFINE:UA_VAR_USEINCANTATION|0	BONUS:VAR|UA_VAR_USEINCANTATION|1|TYPE=Base																									SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
###BLOCK:Contact																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Variant Rule ~ Use Contacts	CATEGORY:Special Ability	TYPE:AltRules	VISIBLE:DISPLAY	DESC:This system codifi es a phenomenon commonplace in most long-term campaigns: the friendly bartender, gruff weaponsmith, or absentminded sage who points the PCs in the right direction, passes along important clues, or offers unusual skills and knowledge.	COST:0	DEFINE:UA_VAR_USECONTACTS|0	BONUS:VAR|UA_VAR_USECONTACTS|1|TYPE=Base		DEFINE:ContactCount|0					BONUS:ABILITYPOOL|Contact|ContactCount	BONUS:VAR|ContactCount|BardLVL/2	BONUS:VAR|ContactCount|ClericLVL/3	BONUS:VAR|ContactCount|PaladinLVL/3	BONUS:VAR|ContactCount|RogueLVL/3						BONUS:VAR|ContactCount|FighterLVL/4	BONUS:VAR|ContactCount|SorcererLVL/4	BONUS:VAR|ContactCount|BarbarianLVL/5	BONUS:VAR|ContactCount|DruidLVL/5	BONUS:VAR|ContactCount|MonkLVL/5	BONUS:VAR|ContactCount|RangerLVL/5	BONUS:VAR|ContactCount|WizardLVL/5		SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Information	CATEGORY:Special Ability	TYPE:SpecialQuality.Contact	VISIBLE:YES		KEY:Contact Type ~ Information														STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Influence	CATEGORY:Special Ability	TYPE:SpecialQuality.Contact	VISIBLE:YES		KEY:Contact Type ~ Influence														STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Skill	CATEGORY:Special Ability	TYPE:SpecialQuality.Contact	VISIBLE:YES		KEY:Contact Type ~ Skill														STACK:YES	MULT:YES	CHOOSE:NOCHOICE											SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
###BLOCK:Reputation																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Variant Rule ~ Use Reputation	CATEGORY:Special Ability	TYPE:AltRules	VISIBLE:DISPLAY	DESC:In this system, every character gains a reputation of one sort or another as his career progresses, expressed as a reputation bonus.	COST:0	DEFINE:UA_VAR_USEREPUTATION|0	BONUS:VAR|UA_VAR_USEREPUTATION|1|TYPE=Base																ABILITY:Special Ability|AUTOMATIC|Pool ~ Reputation	ABILITY:Special Ability|AUTOMATIC|Reputation Score								SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Reputation Score	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Level based reputation score %1, additional reputation %2, total reputation = %3|ReputationScore|ReputationScoreAdditional|ReputationScoreTotal					DEFINE:ReputationScoreAdditional|0	DEFINE:ReputationScoreTotal|0	DEFINE:ReputationScore|0			BONUS:VAR|ReputationScoreTotal|ReputationScore+ReputationScoreAdditional	BONUS:VAR|ReputationScore|(CommonerLVL-1)/4	BONUS:VAR|ReputationScore|BarbarianLVL/4	BONUS:VAR|ReputationScore|DruidLVL/4	BONUS:VAR|ReputationScore|MonkLVL/4				BONUS:VAR|ReputationScore|RangerLVL/4	BONUS:VAR|ReputationScore|RogueLVL/4	BONUS:VAR|ReputationScore|WarriorLVL/4	BONUS:VAR|ReputationScore|(ClericLVL+1)/4	BONUS:VAR|ReputationScore|(FighterLVL+1)/4	BONUS:VAR|ReputationScore|(SorcererLVL+1)/4	BONUS:VAR|ReputationScore|(WizardLVL+1)/4	BONUS:VAR|ReputationScore|(AdeptLVL+1)/4	BONUS:VAR|ReputationScore|(ExpertLVL+1)/4	BONUS:VAR|ReputationScore|(BardLVL+3)/4	SOURCEPAGE:UA	BONUS:VAR|ReputationScore|(PaladinLVL+3)/4	BONUS:VAR|ReputationScore|(AristocratLVL+3)/4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
Pool ~ Reputation	CATEGORY:Special Ability	TYPE:ReputationRules	VISIBLE:NO																													SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Reputation Score Adjustment	CATEGORY:Special Ability	TYPE:ReputationRules	VISIBLE:YES											BONUS:VAR|ReputationScoreAdditional|%CHOICE					STACK:YES	MULT:YES	CHOOSE:STRING|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30											SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
###BLOCK:Honor																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Variant Rule ~ Use Honor	CATEGORY:Special Ability	TYPE:AltRules	VISIBLE:DISPLAY	DESC:Honor is a measuring stick that refl ects a person's worth in society, trustworthiness, decency, and loyalty.	COST:0	DEFINE:UA_VAR_USEHONOR|0	BONUS:VAR|UA_VAR_USEHONOR|1|TYPE=Base																ABILITY:Special Ability|AUTOMATIC|Pool ~ Honor									SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
CATEGORY=Internal|Default.MOD	ABILITY:Special Ability|AUTOMATIC|Honor Score|PREVARGTEQ:UA_VAR_USEHONOR,1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
Pool ~ Honor	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:NO																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
Honor Score	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:Honor score: %1.|HonorScore					DEFINE:HonorScore|0					BONUS:VAR|HonorScore|25|TYPE=AlignmentBase|PREALIGN:LG	BONUS:VAR|HonorScore|20|TYPE=AlignmentBase|PREALIGN:NG	BONUS:VAR|HonorScore|15|TYPE=AlignmentBase|PREALIGN:CG	BONUS:VAR|HonorScore|20|TYPE=AlignmentBase|PREALIGN:LN	BONUS:VAR|HonorScore|10|TYPE=AlignmentBase|PREALIGN:TN					BONUS:VAR|HonorScore|5|TYPE=AlignmentBase|PREALIGN:CN	BONUS:VAR|HonorScore|15|TYPE=AlignmentBase|PREALIGN:LE	BONUS:VAR|HonorScore|5|TYPE=AlignmentBase|PREALIGN:NE	BONUS:VAR|HonorScore|0|TYPE=AlignmentBase|PREALIGN:CE						SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
#Ancestral																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Ancestral Hero	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES	DESC:A hero among one's ancestors could be a successful merchant, a creator of spells or items, a victorious leader, the founder of a thriving community, someone god-touched, or someone who was the focus of a great prophecy.										BONUS:VAR|HonorScore|2|TYPE=Ancestral																	COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Ancestral Failure	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES	DESC:A failure among one's ancestors could be an unsuccessful merchant, the founder of a failed community, a defeated leader, a traitor, a rebel, an exile, a villain, or someone who was the focus of an evil prophecy.										BONUS:VAR|HonorScore|-2|TYPE=Ancestral																	COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
#Acquire honor																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Acquiring property (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Avenging Murder of family member (+5)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|5					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Completing an assigned task (+3)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|3					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Completing a great deed (+5)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|5					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Defeating an archenemy (+2)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|2					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Defeating a superior opponent of the same class (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Defeating monsters (+1/CR above characther level)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|%CHOICE					STACK:YES	MULT:YES	CHOOSE:STRING|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Escaping prison (+5)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|5					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fulfilling an oath (+2)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|2					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Fulfilling a family debt (+7)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|7					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Giving a valuable gift to an NPC (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Granting a favor to an NPC (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Healing curing or restoring NPCs (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES			OUTPUTNAME:Healing, curing or restoring NPCs (+1)								BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Heroic death (+10)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|10					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Leading a force to victory (+5)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|5					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Making a masterwork item (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Saving life of another at the risk of the character's life (+5)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|5					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Saving a powerful person (+2)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|2					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Pulling a humiliating prank on an enemy (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Removing a curse (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Showing mercy to the fallen (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
Winning a contest (+1)	CATEGORY:Special Ability	TYPE:HonorAdjustment	VISIBLE:YES											BONUS:VAR|HonorScore|1					STACK:YES	MULT:YES	CHOOSE:NOCHOICE										COST:0	SOURCEPAGE:UA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
#Lose honor																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
