SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																																			
																																						
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										SOURCEPAGE:						
Ritual Casting	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:You can cast a wizard spell as a ritual if that spell has the ritual tag and you have the spell in your spellbook. You don't need to have the spell prepared.	KEY:Wizard ~ Ritual Casting																											SOURCEPAGE:PHB						
Spellcasting Focus	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:You can use an arcane focus (found in chapter 5) as a spellcasting focus for your wizard spells.	KEY:Wizard ~ Spellcasting Focus																											SOURCEPAGE:PHB						
Learning Spells of 1st Level and Higher	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Each time you gain a wizard level, you can add two wizard spells of your choice to your spellbook. Each of these spells must be of a level for which you have spell slots, as shown on the Wizard table. On your adventures, you might find other spells that you can add to your spellbook (see the "Your Spellbook" sidebar).	KEY:Wizard ~ Learning Spells of 1st Level and Higher																											SOURCEPAGE:PHB						
Arcane Recovery	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:You have learned to regain some of your magical energy by studying your spellbook. Once per day when you finish a short rest, you can choose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than %1, and none of the slots can be 6th level or higher. For example, if you're a 4th-level wizard, you can recover up to two levels worth of spell slots. You can recover either a 2nd-level spell slot or two 1st-level spell slots.|ceil(WizardLVL/2)	KEY:Wizard ~ Arcane Recovery																											SOURCEPAGE:PHB						
Arcane Tradition	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:When you reach 2nd level, you choose an arcane tradition, shaping your practice of magic through one of eight schools: Abjuration, Conjuration, Divination, Enchantment, Evocation, Illusion, Necromancy, or Transmutation. The school of Evocation is detailed at the end of the class description; see the Player's Handbook for information on the other schools. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level.	KEY:Wizard ~ Arcane Tradition									BONUS:ABILITYPOOL|Arcane Tradition|1																		SOURCEPAGE:PHB						
Ability Score Improvement	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.	KEY:Wizard ~ Ability Score Improvement									BONUS:VAR|POOL_Character_Advancement_Selection|2*((WizardLVL>=4)+(WizardLVL>=8)+(WizardLVL>=12)+(WizardLVL>=16)+(WizardLVL>=19))																		SOURCEPAGE:PHB						
Spell Mastery	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:At 18th level, you have achieved such mastery over certain spells that you can cast them at will. Choose a 1st-level wizard spell and a 2nd-level wizard spell that are in your spellbook. You can cast those spells at their lowest level without expending a spell slot when you have them prepared. If you want to cast either spell at a higher level, you must expend a spell slot as normal. By spending 8 hours in study, you can exchange one or both of the spells you chose for different spells of the same levels.	KEY:Wizard ~ Spell Mastery																											SOURCEPAGE:PHB						
Signature Spells	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:When you reach 20th level, you gain mastery over two powerful spells and can cast them with little effort. Choose two 3rd-level wizard spells in your spellbook as your signature spells. You always have these spells prepared, they don't count against the number of spells you have prepared, and you can cast each of them once at 3rd level without expending a spell slot. When you do so, you can't do so again until you finish a short or long rest. If you want to cast either spell at a higher level, you must expend a spell slot as normal.	KEY:Wizard ~ Signature Spells																											SOURCEPAGE:PHB						
																																						
###Block																																						
# Ability Name	Define	Modify VAR																																				
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardCast1|0	BONUS:VAR|WizardCast1|SpellSlotsLVL1																																				
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardCast2|0	BONUS:VAR|WizardCast2|SpellSlotsLVL2																																				
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardCast3|0	BONUS:VAR|WizardCast3|SpellSlotsLVL3																																				
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardCast4|0	BONUS:VAR|WizardCast4|SpellSlotsLVL4																																				
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardCast5|0	BONUS:VAR|WizardCast5|SpellSlotsLVL5																																				
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardCast6|0	BONUS:VAR|WizardCast6|SpellSlotsLVL6																																				
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardCast7|0	BONUS:VAR|WizardCast7|SpellSlotsLVL7																																				
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardCast8|0	BONUS:VAR|WizardCast8|SpellSlotsLVL8																																				
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardCast9|0	BONUS:VAR|WizardCast9|SpellSlotsLVL9																																				
###Block																																						
# Ability Name	Define	Bonus to spell cast/day	Modify VAR																																			
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardPreparedSlots|0	BONUS:SPELLCAST|CLASS=Wizard;LEVEL=10|WizardPreparedSlots	BONUS:VAR|WizardPreparedSlots|WizardPreparedBase																																			
CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	DEFINE:WizardPreparedBase|0	BONUS:VAR|WizardPreparedBase|INT+WizardLVL																																				
																																						
																																						
#CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	BONUS:VAR|WizardPreparedBase|-WizardCast1																																					
#CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	BONUS:VAR|WizardPreparedBase|-WizardCast2|PREVARGTEQ:WizardLVL,3																																					
#CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	BONUS:VAR|WizardPreparedBase|-WizardCast3|PREVARGTEQ:WizardLVL,5																																					
#CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	BONUS:VAR|WizardPreparedBase|-WizardCast4|PREVARGTEQ:WizardLVL,7																																					
#CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	BONUS:VAR|WizardPreparedBase|-WizardCast5|PREVARGTEQ:WizardLVL,9																																					
#CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	BONUS:VAR|WizardPreparedBase|-WizardCast6|PREVARGTEQ:WizardLVL,11																																					
#CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	BONUS:VAR|WizardPreparedBase|-WizardCast7|PREVARGTEQ:WizardLVL,13																																					
#CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	BONUS:VAR|WizardPreparedBase|-WizardCast8|PREVARGTEQ:WizardLVL,15																																					
#CATEGORY=Special Ability|Wizard ~ Spellcasting.MOD	BONUS:VAR|WizardPreparedBase|-WizardCast9|PREVARGTEQ:WizardLVL,17																																					
																																						
###Block Arcane Traditions																																						
# Ability Name	Unique Key	SORTKEY	Category of Ability	Type	Innate Spells	Description	Ability	Bonus Ability Pool	Source Page	List of Known Class Spells by Level																												
School of Abjuration	CATEGORY:Special Ability	TYPE:Wizard Arcane Tradition.SpecialQuality.Class Feature		DESC:The School of Abjuration emphasizes magic that blocks, banishes, or protects. Detractors of this school say that its tradition is about denial, negation rather than positive assertion. You understand, however, that ending harmful effects, protecting the weak, and banishing evil influences is anything but a philosophical void. It is a proud and respected vocation. Called abjurers, members of this school are sought when baleful spirits require exorcism, when important locations must be guarded against magical spying, and when portals to other planes of existence must be closed.	KEY:Arcane Tradition ~ School of Abjuration																		ABILITY:Wizard Class Feature|AUTOMATIC|School of Abjuration ~ Abjuration Savant|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Abjuration ~ Arcane Ward|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Abjuration ~ Projected Ward|PREVARGTEQ:WizardLVL,6	ABILITY:Wizard Class Feature|AUTOMATIC|School of Abjuration ~ Improved Abjuration|PREVARGTEQ:WizardLVL,10	ABILITY:Wizard Class Feature|AUTOMATIC|School of Abjuration ~ Spell Resistance|PREVARGTEQ:WizardLVL,14					SOURCEPAGE:PHB						
School of Conjuration	CATEGORY:Special Ability	TYPE:Wizard Arcane Tradition.SpecialQuality.Class Feature		DESC:As a conjurer, you favor spells that produce objects and creatures out of thin air. You can conjure billowing clouds of killing fog or summon creatures from elsewhere to fight on your behalf. As your mastery grows, you learn spells of transportation and can teleport yourself across vast distances, even to other planes of existence, in an instant.	KEY:Arcane Tradition ~ School of Conjuration																		ABILITY:Wizard Class Feature|AUTOMATIC|School of Conjuration ~ Conjuration Savant|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Conjuration ~ Minor Conjuration|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Conjuration ~ Benign Transposition|PREVARGTEQ:WizardLVL,6	ABILITY:Wizard Class Feature|AUTOMATIC|School of Conjuration ~ Focused Conjuration|PREVARGTEQ:WizardLVL,10	ABILITY:Wizard Class Feature|AUTOMATIC|School of Conjuration ~ Durable Summons|PREVARGTEQ:WizardLVL,14					SOURCEPAGE:PHB						
School of Divination	CATEGORY:Special Ability	TYPE:Wizard Arcane Tradition.SpecialQuality.Class Feature		DESC:The counsel of a diviner is sought by royalty and commoners alike, for all seek a clearer understanding of the past, present, and future. As a diviner, you strive to part the veils of space, time, and consciousness so that you can see clearly. You work to master spells of discernment, remote viewing, supernatural knowledge, and foresight.	KEY:Arcane Tradition ~ School of Divination																		ABILITY:Wizard Class Feature|AUTOMATIC|School of Divination ~ Divination Savant|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Divination ~ Portent|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Divination ~ Expert Divination|PREVARGTEQ:WizardLVL,6	ABILITY:Wizard Class Feature|AUTOMATIC|School of Divination ~ The Third Eye|PREVARGTEQ:WizardLVL,10	ABILITY:Wizard Class Feature|AUTOMATIC|School of Divination ~ Greater Portent|PREVARGTEQ:WizardLVL,14					SOURCEPAGE:PHB						
School of Enchantment	CATEGORY:Special Ability	TYPE:Wizard Arcane Tradition.SpecialQuality.Class Feature		DESC:As a member of the School of Enchantment, you have honed your ability to magically entrance and beguile other people and monsters. Some enchanters are peacemakers who bewitch the violent to lay down their arms and charm the cruel into showing mercy. Others are tyrants who magically bind the unwilling into their service. Most enchanters fall somewhere in between.	KEY:Arcane Tradition ~ School of Enchantment																		ABILITY:Wizard Class Feature|AUTOMATIC|School of Enchantment ~ Enchantment Savant|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Enchantment ~ Hypnotic Gaze|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Enchantment ~ Instinctive Charm|PREVARGTEQ:WizardLVL,6	ABILITY:Wizard Class Feature|AUTOMATIC|School of Enchantment ~ Split Enchantment|PREVARGTEQ:WizardLVL,10	ABILITY:Wizard Class Feature|AUTOMATIC|School of Enchantment ~ Alter Memories|PREVARGTEQ:WizardLVL,14					SOURCEPAGE:PHB						
School of Evocation	CATEGORY:Special Ability	TYPE:Wizard Arcane Tradition.SpecialQuality.Class Feature		DESC:You focus your study on magic that creates powerful elemental effects such as bitter cold, searing flame, rolling thunder, crackling lightning, and burning acid. Some evokers find employment in military forces, serving as artillery to blast enemy armies from afar. Others use their spectacular power to protect the weak, while some seek their own gain as bandits, adventurers, or aspiring tyrants.	KEY:Arcane Tradition ~ School of Evocation																		ABILITY:Wizard Class Feature|AUTOMATIC|School of Evocation ~ Evocation Savant|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Evocation ~ Sculpt Spells|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Evocation ~ Potent Cantrip|PREVARGTEQ:WizardLVL,6	ABILITY:Wizard Class Feature|AUTOMATIC|School of Evocation ~ Empowered Evocation|PREVARGTEQ:WizardLVL,10	ABILITY:Wizard Class Feature|AUTOMATIC|School of Evocation ~ Overchannel|PREVARGTEQ:WizardLVL,14					SOURCEPAGE:PHB						
School of Illusion	CATEGORY:Special Ability	TYPE:Wizard Arcane Tradition.SpecialQuality.Class Feature		DESC:You focus your studies on magic that dazzles the senses, befuddles the mind, and tricks even the wisest folk. Your magic is subtle, but the illusions crafted by your keen mind make the impossible seem real. Some illusionists-including many gnome wizards-are benign tricksters who use their spells to entertain. Others are more sinister masters of deception, using their illusions to frighten and fool others for their personal gain.	KEY:Arcane Tradition ~ School of Illusion																		ABILITY:Wizard Class Feature|AUTOMATIC|School of Illusion ~ Illusion Savant|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Illusion ~ Improved Minor Illusion|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Illusion ~ Malleable Illusions|PREVARGTEQ:WizardLVL,6	ABILITY:Wizard Class Feature|AUTOMATIC|School of Illusion ~ Illusory Self|PREVARGTEQ:WizardLVL,10	ABILITY:Wizard Class Feature|AUTOMATIC|School of Illusion ~ Illusory Reality|PREVARGTEQ:WizardLVL,14					SOURCEPAGE:PHB						
School of Necromancy	CATEGORY:Special Ability	TYPE:Wizard Arcane Tradition.SpecialQuality.Class Feature		DESC:The School of Necromancy explores the cosmic forces of life, death, and undeath. As you focus your studies in this tradition, you learn to manipulate the energy that animates all living things. As you progress, you learn to sap the life force from a creature as your magic destroys its body, transforming that vital energy into magical power you can manipulate. Most people see necromancers as menacing, or even villainous, due to the close association with death. Not all necromancers are evil, but the forces they manipulate are considered taboo by many societies.	KEY:Arcane Tradition ~ School of Necromancy																		ABILITY:Wizard Class Feature|AUTOMATIC|School of Necromancy ~ Necromancy Savant|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Necromancy ~ Grim Harvest|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Necromancy ~ Undead Thralls|PREVARGTEQ:WizardLVL,6	ABILITY:Wizard Class Feature|AUTOMATIC|School of Necromancy ~ Inured to Undeath|PREVARGTEQ:WizardLVL,10	ABILITY:Wizard Class Feature|AUTOMATIC|School of Necromancy ~ Command Undead|PREVARGTEQ:WizardLVL,14					SOURCEPAGE:PHB						
School of Transmutation	CATEGORY:Special Ability	TYPE:Wizard Arcane Tradition.SpecialQuality.Class Feature		DESC:You are a student of spells that modify energy and matter. To you, the world is not a fixed thing, but eminently mutable, and you delight in being an agent of change. You wield the raw stuff of creation and learn to alter both physical forms and mental qualities. Your magic gives you the tools to become a smith on reality's forge. Some transmuters are tinkerers and pranksters, turning people into toads and transforming copper into silver for fun and occasional profit. Others pursue their magical studies with deadly seriousness, seeking the power of the gods to make and destroy worlds.	KEY:Arcane Tradition ~ School of Transmutation																		ABILITY:Wizard Class Feature|AUTOMATIC|School of Transmutation ~ Transmutation Savant|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Transmutation ~ Minor Alchemy|PREVARGTEQ:WizardLVL,2	ABILITY:Wizard Class Feature|AUTOMATIC|School of Transmutation ~ Transmuter's Stone|PREVARGTEQ:WizardLVL,6	ABILITY:Wizard Class Feature|AUTOMATIC|School of Transmutation ~ Shapechanger|PREVARGTEQ:WizardLVL,10	ABILITY:Wizard Class Feature|AUTOMATIC|School of Transmutation ~ Master Transmuter|PREVARGTEQ:WizardLVL,14					SOURCEPAGE:PHB						
																																						
# School of Abjuration																																						
Abjuration Savant	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Beginning when you select this school at 2nd level, the gold and time you must spend to copy an abjuration spell into your spellbook is halved.	KEY:School of Abjuration ~ Abjuration Savant																											SOURCEPAGE:PHB						
Arcane Ward	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 2nd level, you can weave magic around yourself for protection. When you cast an abjuration spell of 1st level or higher, you can simultaneously use a strand of the spell's magic to create a magical ward on yourself that lasts until you finish a long rest. The ward has hit points equal to %1. Whenever you take damage, the ward takes the damage instead. If this damage reduces the ward to 0 hit points, you take any remaining damage. While the ward has 0 hit points, it can't absorb damage, but its magic remains. Whenever you cast an abjuration spell of 1st level or higher, the ward regains a number of hit points equal to twice the level of the spell. Once you create the ward, you can't create it again until you finish a long rest.|2*(WizardLVL+INT)	KEY:School of Abjuration ~ Arcane Ward																											SOURCEPAGE:PHB						
Projected Ward	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 6th level, when a creature that you can see within 30 feet of you takes damage, you can use your reaction to cause your Arcane Ward to absorb that damage. If this damage reduces the ward to 0 hit points, the warded creature takes any remaining damage.	KEY:School of Abjuration ~ Projected Ward																											SOURCEPAGE:PHB						
Improved Abjuration	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 10th level, when you cast an abjuration spell that requires you to make an ability check as a part of casting that spell (as in counterspell and dispel magic), you add your proficiency bonus to that ability check.	KEY:School of Abjuration ~ Improved Abjuration																											SOURCEPAGE:PHB						
Spell Resistance	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 14th level, you have advantage on saving throws against spells. Furthermore, you have resistance against the damage of spells.	KEY:School of Abjuration ~ Spell Resistance																											SOURCEPAGE:PHB						
																																						
# School of Conjuration																																						
Conjuration Savant	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Beginning when you select this school at 2nd level, the gold and time you must spend to copy a conjuration spell into your spellbook is halved.	KEY:School of Conjuration ~ Conjuration Savant																											SOURCEPAGE:PHB						
Minor Conjuration	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 2nd level when you select this school, you can use your action to conjure up an inanimate object in your hand or on the ground in an unoccupied space that you can see within 10 feet of you. This object can be no larger than 3 feet on a side and weigh no more than 10 pounds, and its form must be that of a nonmagical object that you have seen. The object is visibly magical, radiating dim light out to 5 feet. The object disappears after 1 hour, when you use this feature again, or if it takes any damage.	KEY:School of Conjuration ~ Minor Conjuration																											SOURCEPAGE:PHB						
Benign Transposition	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 6th level, you can use your action to teleport up to 30 feet to an unoccupied space that you can see. Alternatively, you can choose a space within range that is occupied by a Small or Medium creature. If that creature is willing, you both teleport, swapping places. Once you use this feature, you can't use it again until you finish a long rest or you cast a conjuration spell of 1st level or higher.	KEY:School of Conjuration ~ Benign Transposition																											SOURCEPAGE:PHB						
Focused Conjuration	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 10th level, while you are concentrating on a conjuration spell, your concentration can't be broken as a result of taking damage.	KEY:School of Conjuration ~ Focused Conjuration																											SOURCEPAGE:PHB						
Durable Summons	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 14th level, any creature that you summon or create with a conjuration spell has 30 temporary hit points.	KEY:School of Conjuration ~ Durable Summons																											SOURCEPAGE:PHB						
																																						
# School of Divination																																						
Divination Savant	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Beginning when you select this school at 2nd level, the gold and time you must spend to copy a divination spell into your spellbook is halved.	KEY:School of Divination ~ Divination Savant																											SOURCEPAGE:PHB						
Portent	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 2nd level when you choose this school, glimpses of the future begin to press in on your awareness. When you finish a long rest, roll two d20s and record the numbers rolled. You can replace any attack roll, saving throw, or ability check made by you or a creature that you can see with one of these foretelling rolls. You must choose to do so before the roll, and you can replace a roll in this way only once per turn. Each foretelling roll can be used only once. When you finish a long rest, you lose any unused foretelling rolls.	KEY:School of Divination ~ Portent																											SOURCEPAGE:PHB						
Expert Divination	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 6th level, casting divination spells comes so easily to you that it expends only a fraction of your spellcasting efforts. When you cast a divination spell of 2nd level or higher using a spell slot, you regain one expended spell slot. The slot you regain must be of a level lower than the spell you cast and can't be higher than 5th level.	KEY:School of Divination ~ Expert Divination																											SOURCEPAGE:PHB						
The Third Eye	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 10th level, you can use your action to increase your powers of perception. When you do so, choose one of the following benefits, which lasts until you are incapacitated or you take a short or long rest. You can't use the feature again until you finish a rest. Darkvision. You gain darkvision out to a range of 60 feet, as described in chapter 8. Ethereal Sight. You can see into the Ethereal Plane within 60 feet of you. Greater Comprehension. You can read any language. See Invisibility. You can see invisible creatures and objects within 10 feet of you that are within line of sight.	KEY:School of Divination ~ The Third Eye																											SOURCEPAGE:PHB						
Greater Portent	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 14th level, the visions in your dreams intensify and paint a more accurate picture in your mind of what is to come. You roll three d20s for your Portent feature, rather than two.	KEY:School of Divination ~ Greater Portent																											SOURCEPAGE:PHB						
																																						
# School of Enchantment																																						
Enchantment Savant	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Beginning when you select this school at 2nd level, the gold and time you must spend to copy an enchantment spell into your spellbook is halved.	KEY:School of Enchantment ~ Enchantment Savant																											SOURCEPAGE:PHB						
Hypnotic Gaze	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 2nd level when you choose this school, your soft words and enchanting gaze can magically enthrall another creature. As an action, choose one creature that you can see within 5 feet of you. If the target can see or hear you, it must succeed on a Wisdom saving throw against your wizard spell save DC or be charmed by you until the end of your next turn. The charmed creature's speed drops to 0, and the creature is incapacitated and visibly dazed. On subsequent turns, you can use your action to maintain this effect, extending its duration until the end of your next turn. However, the effect ends if you move more than 5 feet away from the creature, if the creature can neither see nor hear you, or if the creature takes damage. Once the effect ends, or if the creature succeeds on its initial saving throw against this effect, you can't use this feature on that creature again until you finish a long rest.	KEY:School of Enchantment ~ Hypnotic Gaze																											SOURCEPAGE:PHB						
Instinctive Charm	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Beginning at 6th level, when a creature you can see within 30 feet of you makes an attack roll against you, you can use your reaction to divert the attack, provided that another creature is within the attack's range. The attacker must make a Wisdom saving throw against your wizard spell save DC. On a failed save, the attacker must target the creature that is closest to it, not including you or itself. If multiple creatures are closest, the attacker chooses which one to target. On a successful save, you can't use this feature on the attacker again until you finish a long rest. You must choose to use this feature before knowing whether the attack hits or misses. Creatures that can't be charmed are immune to this effect.	KEY:School of Enchantment ~ Instinctive Charm																											SOURCEPAGE:PHB						
Split Enchantment	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 10th level, when you cast an enchantment spell of 1st level or higher that targets only one creature, you can have it target a second creature.	KEY:School of Enchantment ~ Split Enchantment																											SOURCEPAGE:PHB						
Alter Memories	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:At 14th level, you gain the ability to make a creature unaware of your magical influence on it. When you cast an enchantment spell to charm one or more creatures, you can alter one creature's understanding so that it remains unaware of being charmed. Additionally, once before the spell expires, you can use your action to try to make the chosen creature forget some of the time it spent charmed. The creature must succeed on an Intelligence saving throw against your wizard spell save DC or lose a number of hours of its memories equal to %1. You can make the creature forget less time, and the amount of time can't exceed the duration of your enchantment spell.|max(1,1+CHA)	KEY:School of Enchantment ~ Alter Memories																											SOURCEPAGE:PHB						
																																						
# School of Evocation																																						
Evocation Savant	CATEGORY:Special Ability	TYPE:Wizard Class Feature.School of Evocation Tradition.SpecialQuality.Class Feature		DESC:Beginning when you select this school at 2nd level, the gold and time you must spend to copy an evocation spell into your spellbook is halved.	KEY:School of Evocation ~ Evocation Savant																											SOURCEPAGE:PHB						
Sculpt Spells	CATEGORY:Special Ability	TYPE:Wizard Class Feature.School of Evocation Tradition.SpecialQuality.Class Feature		DESC:Beginning at 2nd level, you can create pockets of relative safety within the effects of your evocation spells. When you cast an evocation spell that affects other creatures that you can see, you can choose a number of them equal to 1 + the spell's level. The chosen creatures automatically succeed on their saving throws against the spell, and they take no damage if they would normally take half damage on a successful save.	KEY:School of Evocation ~ Sculpt Spells																											SOURCEPAGE:PHB						
Potent Cantrip	CATEGORY:Special Ability	TYPE:Wizard Class Feature.School of Evocation Tradition.SpecialQuality.Class Feature		DESC:Starting at 6th level, your damaging cantrips affect even creatures that avoid the brunt of the effect. When a creature succeeds on a saving throw against your cantrip, the creature takes half the cantrip's damage (if any) but suffers no additional effect from the cantrip.	KEY:School of Evocation ~ Potent Cantrip																											SOURCEPAGE:PHB						
Empowered Evocation	CATEGORY:Special Ability	TYPE:Wizard Class Feature.School of Evocation Tradition.SpecialQuality.Class Feature		DESC:Beginning at 10th level, you can add +%1 to the damage roll of any wizard evocation spell you cast. The damage bonus applies to one damage roll of a spell, not multiple rolls.|INT	KEY:School of Evocation ~ Empowered Evocation																											SOURCEPAGE:PHB						
Overchannel	CATEGORY:Special Ability	TYPE:Wizard Class Feature.School of Evocation Tradition.SpecialQuality.Class Feature		DESC:Starting at 14th level, you can increase the power of your simpler spells. When you cast a wizard spell of 5th level or lower that deals damage, you can deal maximum damage with that spell. The first time you do so, you suffer no adverse effect. If you use this feature again before you finish a long rest, you take 2d12 necrotic damage for each level of the spell, immediately after you cast it. Each time you use this feature again before finishing a long rest, the necrotic damage per spell level increases by 1d12. This damage ignores resistance and immunity. The feature doesn't benefit cantrips.	KEY:School of Evocation ~ Overchannel																											SOURCEPAGE:PHB						
																																						
# School of Illusion																																						
Illusion Savant	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Beginning when you select this school at 2nd level, the gold and time you must spend to copy an illusion spell into your spellbook is halved.	KEY:School of Illusion ~ Illusion Savant																											SOURCEPAGE:PHB						
Improved Minor Illusion	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:When you choose this school at 2nd level, you learn the minor illusion cantrip. If you already know this cantrip, you learn a different wizard cantrip of your choice. The cantrip doesn't count against your number of cantrips known. When you cast minor illusion, you can create both a sound and an image with a single casting of the spell.	KEY:School of Illusion ~ Improved Minor Illusion									BONUS:ABILITYPOOL|Wizard Cantrip|1|PREABILITY:1,CATEGORY=Internal,Wizard Cantrip ~ Minor Illusion									SPELLS:Wizard Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Minor Illusion,Spell_DC_Wizard	SPELLKNOWN:CLASS|Wizard=0|Minor Illusion								SOURCEPAGE:PHB						
Malleable Illusions	CATEGORY:Special Ability	TYPE:Wizard Class Feature.SpecialQuality.Class Feature		DESC:Starting at 6th level, when you cast an illusion spell that has a duration of 1 minute or longer, you can use your action to change the nature of that illusion (using the spell's normal parameters for the illusion), provided that you can see the illusion.	KEY:School of Illusion ~ Malleable Illusions																											SOURCEPAGE:PHB						
