SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	DESC:					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Necromantic Acid	CATEGORY:Special Ability	TYPE:UlgurstastaRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Someone swallowed by an ulgurstasta is in deep trouble-the creature feeds on raw life and transforms its victims into animated skeletons that the ulgurstasta can later regurgitate. A swallowed victim takes 1d8 points of Constitution drain each round from the necromantic acid inside the creature. Upon death, the victim's remains are infused with the acid and transformed into an animated skeleton. Skeletons remain dormant in the ulgurstasta's gut until it vomits them up.	KEY:Ulgurstasta ~ Necromantic Acid																											SOURCEPAGE:FF	
Spawn Skeletons	CATEGORY:Special Ability	TYPE:UlgurstastaRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a full-round action, an ulgurstasta can regurgitate dormant skeletons. At any one time, an ulgurstasta has 2d4 skeletons of various sizes in its gut. These undead obey the ulgurstasta's mental commands without fail and can function in the round after regurgitation. For 1d6 rounds after being vomited up, these skeletons are covered with necromantic acid. They deal 1 point of Constitution drain with each successful attack in addition to other damage dealt. Ulgurstastas are always followed by a band of previously spawned skeletons.	KEY:Ulgurstasta ~ Spawn Skeleton																											SOURCEPAGE:FF	
Swallow Whole	CATEGORY:Special Ability	TYPE:UlgurstastaRaceTrait.SpecialAttack.Extraordinary.Swallow Whole	VISIBLE:YES	DESC:An ulgurstasta can swallow a single creature that is at least one size category smaller than itself by making a successful grapple check (grapple bonus +29), provided it already has that opponent in its maw (see Improved Grab, above). Once inside the ulgurstasta, the opponent is bathed in necromantic acid (see above). A successful grapple check allows the swallowed creature to climb out of the stomach and return to the ulgurstasta's maw, where another successful grapple check is needed to get free. Alternatively, a swallowed creature can try to cut its way out with either claws or a light piercing or slashing weapon. Dealing a total of at least 25 points of damage to the stomach (AC 14) in this way creates an opening large enough to permit escape. Once a single swallowed creature exits, muscular action closes the hole; thus, another swallowed opponent must cut its own way out. An ulgurstasta's maw can hold 2 Huge, 8 Large, 32 Medium-size, or 128 Small or smaller opponents.	KEY:Ulgurstasta ~ Swallow Whole																											SOURCEPAGE:FF	
Tendrils	CATEGORY:Special Ability	TYPE:UlgurstastaRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The millions of pores on an ulgurstasta's body provide it with a deadly defense; each pore contains a coiled, 40-foot-long, hair-thin tendril. When the creature is angered, the tendrils extend to their full range and whip about in a frenzy. This storm of tendrils renders an ulgurstasta immune to Small nonmagical ranged weapons such as arrows and deals 1d12 points of slashing damage per round to any creature within 40 feet of the ulgurstasta. Anyone in this area also takes a -2 circumstance penalty on attack rolls.	KEY:Ulgurstasta ~ Tendrils																											SOURCEPAGE:FF	
																																	
Race Traits ~ Varrangoin (Arcanist)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Varrangoin Subtraits|TYPE=VarrangoinArcanistRaceTrait	AUTO:LANG|Varrangoin|Abyssal|Common|Undercommon										BONUS:VAR|Maneuverability|4|TYPE=Base									ABILITY:FEAT|AUTOMATIC|Craft Wand|Multiattack|Scribe Scroll										
Poison	CATEGORY:Special Ability	TYPE:VarrangoinArcanistRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 DEX, secondary damage 1d6 DEX. The save DC is Constitution-based.|PoisonDC	KEY:Varrangoin (Arcanist) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:VarrangoinArcanistRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Varrangoin (Arcanist) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=2|CASTERLEVEL=8|Dispel Magic	SPELLS:Innate|TIMES=1|CASTERLEVEL=8|Arcane Eye|Flesh to Stone|Mirror Image|Baleful Polymorph|Polymorph ~ Self only								SOURCEPAGE:FF	
Spells	CATEGORY:Special Ability	TYPE:VarrangoinArcanistRaceTrait.SpecialAttack	VISIBLE:YES	DESC:An arcanist varrangoin can cast arcane spells as a 9th-level wizard (4/5/5/4/2/1; save DC 13 + spell level).	KEY:Varrangoin (Arcanist) ~ Spells																											SOURCEPAGE:FF	
Immunitiy to Spells	CATEGORY:Special Ability	TYPE:VarrangoinArcanistRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Arcanist varrangoins ignore the effects of spells and spell-like abilities of 3rd level or lower, just as if the spellcaster had failed to overcome spell resistance. Arcanist varrangoins can deactivate or activate this ability as a free action.	KEY:Varrangoin (Arcanist) ~ Immunity to Spells																											SOURCEPAGE:FF	
																																	
Race Traits ~ Varrangoin (Lesser)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Varrangoin Subtraits|TYPE=VarrangoinLesserRaceTrait	AUTO:LANG|Varrangoin|Abyssal										BONUS:VAR|Maneuverability|3|TYPE=Base									ABILITY:FEAT|AUTOMATIC|Alertness										
Breath Weapon	CATEGORY:Special Ability	TYPE:VarrangoinLesserRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:Each lesser varrangoin has one of four breath weapon types: a 30-foot cone of fire, a 30-foot cone of cold, a 50-foot line of acid, or a 50- foot line of electricity. A lesser varrangoin's breath weapon deals %2d%3 points of damage (Reflex DC %4 half ) of the appropriate energy type. The save DC is Constitution-based.|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC	KEY:Varrangoin (Lesser) ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0			BONUS:VAR|BreathWeaponDice|3	BONUS:VAR|BreathWeaponDamageDie|6|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:FF	
Death Throes	CATEGORY:Special Ability	TYPE:VarrangoinLesserRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When slain (reduced to -10 hit points), a lesser varrangoin explodes in a 20-foot burst of energy. This explosion deals 3d6 points of damage (Reflex DC %1 half ) of the same energy type as the varrangoin's breath weapon. The save DC is Constitution-based.|DeathThroesDC	KEY:Varrangoin (Lesser) ~ Death Throes				DEFINE:DeathThroesDC|0					BONUS:VAR|DeathThroesDC|DefaultDCCon	BONUS:VAR|DeathThroesDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Death Throes)								ABILITY:Ability Focus|AUTOMATIC|Death Throes									SOURCEPAGE:FF	
Poison	CATEGORY:Special Ability	TYPE:VarrangoinLesserRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 DEX, secondary damage 1d6 DEX. The save DC is Constitution-based.|PoisonDC	KEY:Varrangoin (Lesser) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:FF	
Immunities	CATEGORY:Special Ability	TYPE:VarrangoinLesserRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A lesser varrangoin is immune to damage of the same energy type as its breath weapon.	KEY:Varrangoin (Lesser) ~ Immunities																											SOURCEPAGE:FF	
																																	
Race Traits ~ Varrangoin (Rager)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Varrangoin Subtraits|TYPE=VarrangoinRagerRaceTrait	AUTO:LANG|Varrangoin|Abyssal										BONUS:VAR|Maneuverability|4|TYPE=Base									ABILITY:FEAT|AUTOMATIC|Snatch										
Rage	CATEGORY:Special Ability	TYPE:VarrangoinRagerRaceTrait.SpecialQuality.Extraordinary.Rage	VISIBLE:YES	DESC:Three times per day a rager varrangoin can fly into a frenzy, raging like a barbarian. For 7 rounds, the rager varrangoin gains a +4 bonus to Strength, a +4 bonus to Constitution, and a +2 morale bonus on Will saves, but takes a -2 penalty to Armor Class. A rager varrangoin can choose to end its rage prematurely.	KEY:Varrangoin (Rager) ~ Rage				DEFINE:VarrangoinRagerRageTimesLVL|0	DEFINE:VarrangoinRagerRagePowerLVL|0				BONUS:VAR|VarrangoinRagerRageTimesLVL,VarrangoinRagerRagePowerLVL|HD	BONUS:VAR|RageTimes|3	BONUS:VAR|RageLVL|VarrangoinRagerRagePowerLVL|TYPE=Base							ABILITY:Special Ability|AUTOMATIC|Rage									SOURCEPAGE:FF	
Poison	CATEGORY:Special Ability	TYPE:VarrangoinRagerRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 DEX, secondary damage 1d6 DEX. The save DC is Constitution-based.|PoisonDC	KEY:Varrangoin (Rager) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:FF	
Rend	CATEGORY:Special Ability	TYPE:VarrangoinRagerRaceTrait.SpecialAttack.Extraordinary.Rend	VISIBLE:YES	DESC:If a rager varrangoin hits a single target with both claws, it latches onto the opponent's body and tears the flesh. This attack automatically deals 2d4+6 points of damage.	KEY:Varrangoin (Rager) ~ Rend									BONUS:VAR|RendDice|2	BONUS:VAR|RendDieSize|4|TYPE=Base																	SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:VarrangoinRagerRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Varrangoin (Rager) ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=2|CASTERLEVEL=8|Dispel Magic|Fear									SOURCEPAGE:FF	
Extra Action	CATEGORY:Special Ability	TYPE:VarrangoinRagerRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A rager varrangoin can take an extra move or single attack action each round.	KEY:Varrangoin (Rager) ~ Extra Action																											SOURCEPAGE:FF	
Immunities	CATEGORY:Special Ability	TYPE:VarrangoinRagerRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A rager varrangoin is immune to mind-affecting spells and effects.	KEY:Varrangoin (Rager) ~ Immunities																		ABILITY:Special Ability|AUTOMATIC|Immunity to Mind-Affecting									SOURCEPAGE:FF	
Uncanny Dodge	CATEGORY:Special Ability	TYPE:VarrangoinRagerRaceTrait.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:A rager varrangoin retains its Dexterity bonus to AC even when flat-footed or struck by an invisible attacker, and it cannot be flanked except by a rogue of at least %1th level.|UncannyDodgeFlankingLevel|UncannyDodgeFlankingLevel-4	KEY:Varrangoin (Rager) ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeTracker|1	BONUS:VAR|UncannyDodgeFlankingLevel|HD																	SOURCEPAGE:FF	
																																	
Race Traits ~ Vine Horror	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=VineHorrorRaceTrait	AUTO:LANG|Sylvan																													
Animate Vines	CATEGORY:Special Ability	TYPE:VineHorrorRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A vine horror can use this ability to animate any single vine or similar kind of plant life within 90 feet. An animated vine fights as an assassin vine in all respects (see the Monster Manual). An animated vine loses its ability to fight if the vine horror that animated it is incapacitated or moves out of range.	KEY:Vine Horror ~ Animate Vines																											SOURCEPAGE:FF	
Malleability	CATEGORY:Special Ability	TYPE:VineHorrorRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Because of a vine horror's unusual body structure, it can compress its body enough to squeeze through a 1-inch-wide crack. Cracks and similar openings that are 1 inch or more in width do not slow the vine horror at all.	KEY:Vine Horror ~ Malleability																											SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:VineHorrorRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Vine horrors have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered. *Vine horrors have a +15 racial bonus on Hide checks in swamps or other areas with noticeable concentrations of algae.	KEY:Vine Horror ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial	BONUS:SITUATION|Hide=Swamp environment|15|TYPE=Racial																	SOURCEPAGE:FF	
																																	
Race Traits ~ Vorr	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=VorrRaceTrait|Scent	AUTO:LANG|Abyssal																													
Sneak Attack	CATEGORY:Special Ability	TYPE:VorrRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Anytime a vorr's target is denied a Dexterity bonus, or when a target is flanked by a vorr, the vorr deals an additional 2d6 points of damage on a successful melee attack.	KEY:Vorr ~ Sneak Attack									BONUS:VAR|SneakAttackDice|2									ABILITY:Special Ability|AUTOMATIC|Sneak Attack									SOURCEPAGE:FF	
Trip	CATEGORY:Special Ability	TYPE:VorrRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A vorr that hits with a bite attack can attempt to trip the opponent as a free action without making a touch attack or provoking an attack of opportunity. If the attempt fails, the opponent cannot react to trip the vorr.	KEY:Vorr ~ Trip																											SOURCEPAGE:FF	
Shadow Form	CATEGORY:Special Ability	TYPE:VorrRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day, a vorr can assume the form of a living shadow for up to 10 minutes. While in shadow form, the vorr can move at normal speed on any surface, including walls and ceilings, and even across liquids. It can be detected by effects that detect thoughts, life, or presences (including true seeing); otherwise a vorr gains a +15 circumstance bonus on Hide checks. While in shadow form, a vorr gains damage reduction 50/+5 and is immune to blindness, critical hits, damage to ability scores from nonmagical attacks, deafness, disease, drowning, poison, and stunning. It takes half damage from fire and acid.	KEY:Vorr ~ Shadow Form																											SOURCEPAGE:FF	
Shadow Jump	CATEGORY:Special Ability	TYPE:VorrRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A vorr can travel between shadows as if by a dimension door spell. The starting and ending point of the jump must be in shadow and must be at least 10 feet apart. This is a standard action, and can be used for a total of 60 feet per day.	KEY:Vorr ~ Shadow Jump									BONUS:VAR|ShadowJumpRange|60									ABILITY:Special Ability|AUTOMATIC|Shadow Jump									SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:VorrRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Vorrs have a +8 racial bonus on Survival checks when tracking by scent.	KEY:Vorr ~ Skills									BONUS:SITUATION|Survival=Track by scent|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Wicker Man	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=WickerManRaceTrait																														
Encage	CATEGORY:Special Ability	TYPE:WickerManRaceTrait.SpecialAttack	VISIBLE:YES	DESC:A wicker man can attempt to encage foes of Large or smaller size by making a successful grapple check. Victims of this attack are tossed inside the wicker man's chest cavity. The wicker man deals no damage to foes thus encaged unless it has been set aflame (see Flammable Body, below). An encaged foe can force its way out with a successful opposed grapple check (grapple bonus +26). An encaged victim can also cut its way out by using claws or a light slashing weapon to deal 20 points of damage (AC 14), or with a successful Escape Artist check (DC 20). If a creature cuts its way out, the wicker reknits; another encaged opponent must cut its own way out. A wicker man's interior can hold 3 Large, 6 Medium-size, 12 Small, 24 Tiny, 48 Diminutive, or 96 Fine opponents.	KEY:Wicker Man ~ Encage																											SOURCEPAGE:FF	
Improved Grab	CATEGORY:Special Ability	TYPE:WickerManRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If a wicker man hits an opponent that is at least one size category smaller than itself with a slam attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +26). If it gets a hold, it can encage the foe with another successful grapple check. Alternatively, the wicker man has the option to conduct the grapple normally, or simply use its arm to hold the opponent (-20 penalty on grapple check, but the wicker man is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals slam damage.	KEY:Wicker Man ~ Improved Grab																											SOURCEPAGE:FF	
Flaming Body	CATEGORY:Special Ability	TYPE:WickerManRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When exposed to fire, a wicker man becomes sheathed in flames. (The construct is not damaged by these flames because of its fire immunity.) Anyone within 30 feet of a flaming wicker man must make a successful Fortitude save (DC %1) or take 1d6 points of fire damage from the intense heat. Treat this effect as a burst that continually radiates from the creature. Anyone touched by a flaming wicker man must succeed on a Reflex save (DC %1) or take 2d6 points of fire damage. Foes grappling with a flaming wicker man take 4d6 points of fire damage, and foes encaged within a wicker man while it is flaming take 6d6 points of fire damage each round. (Thus, a foe encaged within a flaming wicker man that attempts escape by grappling would take 6d6 points of fire damage on the wicker man's initiative count and another 4d6 points of fire damage when the foe makes a grapple attempt to escape on its initiative count.) A wicker man set afire flames for 10 minutes. After it has finished flaming, it cannot be relit by fire or fire-based effects until 5 rounds have passed.|FlamingBodyDC	KEY:Wicker Man ~ Flaming Body				DEFINE:FlamingBodyDC|0					BONUS:VAR|FlamingBodyDC|DefaultDCCon	BONUS:VAR|FlamingBodyDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Flaming Body)								ABILITY:Ability Focus|AUTOMATIC|Flaming Body									SOURCEPAGE:FF	
Hardness	CATEGORY:Special Ability	TYPE:WickerManRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A wicker man has hardness 5. Subtract 5 points from all damage the wicker man would take.	KEY:Wicker Man ~ Hardness																		DR:5/-									SOURCEPAGE:FF	
Immunity to Magic	CATEGORY:Special Ability	TYPE:WickerManRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Wicker men are immune to all spells, spell-like abilities, and supernatural effects, except as follows. A warp wood or wood shape spell opens its cage door for 1 round. Being in the area of an entangle spell when it is cast heals a wicker man of 2d8 points of damage. Fire and fire-based effects engage the wicker man's flammable body ability.	KEY:Wicker Man ~ Immunity to Magic																											SOURCEPAGE:FF	
Immunity to Piercing	CATEGORY:Special Ability	TYPE:WickerManRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Piercing weapons, even magic ones, deal no damage to a wicker man.	KEY:Wicker Man ~ Immunity to Piercing																											SOURCEPAGE:FF	
																																	
Race Traits ~ Yellow Musk Creeper	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=YellowMuskCreeperRaceTrait																				ABILITY:FEAT|AUTOMATIC|Weapon Finesse										
Consume Intelligence	CATEGORY:Special Ability	TYPE:YellowMuskCreeperRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:As a free action, a yellow musk creeper can extend dozens of probing, sharp-edged tendrils into the head of any helpless or unresisting creature that also occupies its space. These tendrils begin to devour the victim's brain, dealing 1d4 points of Intelligence damage each round. If the damage reduces a victim's Intelligence to 0, the victim must make a Fortitude save (DC %1). Those who fail die, and their bodies grant sustenance to the hungry plant. Those who succeed are implanted with a seed and become yellow musk zombies (see the next entry). The only way to stop a yellow musk creeper from consuming a victim's Intelligence is to kill either the victim or the creeper.|ConsumeIntelligenceDC	KEY:Yellow Musk Creeper ~ Consume Intelligence				DEFINE:ConsumeIntelligenceDC|0					BONUS:VAR|ConsumeIntelligenceDC|DefaultDCCon	BONUS:VAR|ConsumeIntelligenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Consume Intelligence)								ABILITY:Ability Focus|AUTOMATIC|Consume Intelligence									SOURCEPAGE:FF	
Musk Puff	CATEGORY:Special Ability	TYPE:YellowMuskCreeperRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Yellow musk creepers attack by puffing a spray of potent-smelling dust upon a nearby target. The musk has a range of 30 feet and can target one creatureper round. Creatures struck by a yellow musk creeper's musk puff must make a Fortitude save (DC %1) or fall under a mindaffecting compulsion to get closer to the entrancing source of the musk. The duration of the effect is 2d8 rounds, although creatures within the plant remain under the compulsion until removed from the creeper. Creatures under the yellow musk creeper's compulsion can take no actions other than moving to enter the plant's space. (The creeper does not oppose these attempts, of course.) Affected creatures do anything they can to comply with the compulsion and even attack companions who seek to restrain them. Once within the plant, the affected creature drops anything in hand and stands motionless. The creature is dazed and does not resist the creeper's attacks as long as it remains within the plant.|MuskPuffDC	KEY:Yellow Musk Creeper ~ Musk Puff				DEFINE:MuskPuffDC|0					BONUS:VAR|MuskPuffDC|DefaultDCCon	BONUS:VAR|MuskPuffDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Musk Puff)								ABILITY:Ability Focus|AUTOMATIC|Musk Puff									SOURCEPAGE:FF	
Blindsight	CATEGORY:Special Ability	TYPE:YellowMuskCreeperRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A yellow musk creeper maneuvers and fights not only by sight, but also by using hearing and smell to ascertain its surroundings. This ability enables it to discern objects and creatures within 30 feet. The yellow musk creeper usually does not need to make Spot or Listen checks to notice creatures within range of its blindsight.	KEY:Yellow Musk Creeper ~ Blindsight									BONUS:VAR|BlindsightRange|30|TYPE=Base																		SOURCEPAGE:FF	
Regeneration	CATEGORY:Special Ability	TYPE:YellowMuskCreeperRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Fire and acid deal normal damage to a yellow musk creeper. Attack forms that don't deal hit point damage ignore regeneration, and a yellow musk creeper does not restore hit points lost from starvation, thirst, or suffocation.	KEY:Yellow Musk Creeper ~ Regeneration									BONUS:VAR|RegenerationRate|5|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Yuan-Ti Anathema	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Yuan-Ti Subtraits|TYPE=YuanTiAnathemaRaceTrait|Scent	AUTO:LANG|Yuan-Ti|Common|Draconic|Abyssal										BONUS:VAR|AdvancementByClass|1	BONUS:VAR|CommonAbility|1|TYPE=Base																		
Constrict	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialAttack.Extraordinary.Constrict	VISIBLE:YES	DESC:With a successful grapple check, an anathema can constrict a grabbed opponent, dealing 1d8+8 points of bludgeoning damage.	KEY:Yuan-Ti Anathema ~ Constrict									BONUS:VAR|ConstrictDice|1	BONUS:VAR|ConstrictDieSize|8|TYPE=Base																	SOURCEPAGE:FF	
Improved Grab	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If an anathema hits an opponent that is at least one size category smaller than itself with a bite attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +32). If it gets a hold, it also constricts on the same round. Thereafter, the anathema has the option to conduct the grapple normally, or simply use one of its six serpent-heads to hold the opponent (-20 penalty on grapple check, but the anathema is not considered grappled). It usually chooses the latter option.	KEY:Yuan-Ti Anathema ~ Improved Grab																											SOURCEPAGE:FF	
Poison	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d4 CON, secondary damage 1d4 CON. The save DC is Constitution-based.|PoisonDC	KEY:Yuan-Ti Anathema ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:FF	
Chameleon Power	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:An anathema can change the coloration of itself and its equipment to match its surroundings. *An anathema using chameleon power receives a +10 circumstance bonus on Hide checks.	KEY:Yuan-Ti Anathema ~ Chameleon Power									BONUS:SKILL|Hide|10|TYPE=Circumstance																		SOURCEPAGE:FF	
Dissolving Touch	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:An anathema can exude acid from its body, dealing 7d6 points of acid damage to anything it touches. If it uses this power when grappling or constricting an opponent, the acid deals 10d6 points of damage instead. The acid is effective only on the round when this power is used, and it becomes inert when it leaves the anathema's body.	KEY:Yuan-Ti Anathema ~ Produce Acid																											SOURCEPAGE:FF	
Aversion	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:An anathema creates a compulsion effect targeting all enemies within 30 feet. The targets must succeed on a Will save (DC %1) or gain an aversion to snakes for 10 minutes. Affected subjects must stay at least 20 feet from any snake, yuan-ti, or ti-khana creature (described earlier in this book), whether alive or dead; if already within 20 feet, they move away. A subject can overcome the compulsion by succeeding on another Will save (DC %1), but still suffers from deep anxiety. This causes a -4 reduction to Dexterity until the effect wears off or the subject is no longer within 20 feet of a snake, yuan-ti, or tikhana creature. This ability is otherwise similar to antipathy as cast by a 16th-level sorcerer. The save DC is Charisma-based.|AversionDC	KEY:Yuan-Ti Anathema ~ Aversion				DEFINE:AversionDC|0					BONUS:VAR|AversionDC|DefaultDCCon	BONUS:VAR|AversionDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Aversion)								ABILITY:Ability Focus|AUTOMATIC|Aversion									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Yuan-Ti Anathema ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Animal Trance,12+CHA|Cause Fear|Deeper Darkness|Entangle,11+CHA|Haste|Neutralize Poison|Suggestion|Baleful Polymorph|Unholy Blight	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Blasphemy|Unholy Aura								SOURCEPAGE:FF	
All-Around Vision	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An anathema's six heads allow it to see in all directions at once. Because of this ability, it has a +4 racial bonus on Search and Spot checks, and it cannot be flanked.	KEY:Yuan-Ti Anathema ~ All-Around Vision									BONUS:SKILL|Search,Spot|4|TYPE=Racial									ABILITY:Special Ability|AUTOMATIC|All-Around Vision|Immunity To Flanking									SOURCEPAGE:FF	
Attach Grafts	CATEGORY:Special Ability	TYPE:YuanTiAnathemaRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An anathema has the ability to transform humanoid and monstrous humanoid creatures, making them more like yuan-ti. Each day, an anathema can attach eight yuan-ti grafts (described later in this book) to one or more creatures. This requires 1 hour of uninterrupted work per graft, during which the anathema can do nothing else. Between grafts, the anathema can rest or engage in light activity such as talking or walking, but cannot fight, cast spells, use magic items, conduct research, or perform any other physically or mentally demanding task. In addition, anathemas can create the mixture of venom, roots, and herbs required to create either a tainted one or a broodguard (described in Savage Species and Monster Compendium: Monsters of Faerun).	KEY:Yuan-Ti Anathema ~ Attach Grafts																											SOURCEPAGE:FF	
