SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Code of Conduct	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredFistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A member of a sacred fist order refuses to use any weapon. A sacred fi st who knowingly carries or uses a weapon loses all class spells and features and advances no farther as a sacred fi st until he atones for his action (see the atonement spell, page 201 of the Player's Handbook). Like a member of any other class, a sacred fi st may be a multiclass character, but multiclass sacred fists face a special restriction. A sacred fist who gains a level in any class other than sacred fist may never again raise his sacred fist level, though he retains all his sacred fi st abilities. The path of the sacred fi st requires a constant focus. If a character adopts this class, he must pursue it to the exclusion of all other careers. Once he has turned off the path, he may never return.	KEY:Sacred Fist ~ Code of Conduct																										SORTKEY:Class_Sacred_Fist	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SeekerOfTheMistyIsleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Seekers of the Misty Isle are profi cient with all martial weapons and with all light and medium armor.	KEY:Seeker of the Misty Isle ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium							SORTKEY:Class_Seeker_Of_The_Misty_Isle	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.SeekerOfTheMistyIsleClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new seeker of the Misty Isle level is gained, the character gains new spells per day (and spells known, if applicable) as if she had also gained a level in whatever spellcasting class in which she could cast 2nd-level divine spells before she added the prestige class. She does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, wild shape ability, and so on). This essentially means that she adds the level of seeker of the Misty Isle to the level of whatever other spellcasting class the character has, then determines spells per day accordingly. If a character had more than one spellcasting class in which she could cast 2nd-level divine spells before she became a seeker of the Misty Isle, the player must decide which class to assign each level of seeker of the Misty Isle for the purpose of determining spells per day and spells known.	KEY:Seeker of the Misty Isle ~ Spells per Day																										SORTKEY:Class_Seeker_Of_The_Misty_Isle	SOURCEPAGE:CD				
Extra Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.SeekerOfTheMistyIsleClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A seeker of the Misty Isle gains the granted power and spell access of the Travel domain at 1st level and the Magic domain at 7th level. For an explanation of how nonclerics receive domain spells, see the Extra Domains section at the beginning of this Chapter.	KEY:Seeker of the Misty Isle ~ Extra Domain																										SORTKEY:Class_Seeker_Of_The_Misty_Isle	SOURCEPAGE:CD				
Swiftfooted	CATEGORY:Special Ability	TYPE:ClassFeatures.SeekerOfTheMistyIsleClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, the seeker can ignore the normal -5 penalty for accelerated movement when she uses the following skills: Balance, Climb, Hide, Move Silently, and Survival (for following tracks). Her penalty for accelerated tumbling is reduced from -10 to -5.	KEY:Seeker of the Misty Isle ~ Swiftfooted																										SORTKEY:Class_Seeker_Of_The_Misty_Isle	SOURCEPAGE:CD				
Corellon's Perception	CATEGORY:Special Ability	TYPE:ClassFeatures.SeekerOfTheMistyIsleClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 5th-level seeker of the Misty Isles has sight and hearing far beyond a normal elf's, and she has attuned her senses to repetitively sweep her immediate area. She gains a +5 racial bonus on Listen, Search, and Spot checks. Furthermore, she can attempt to spot or hear something she failed to notice previously once per round per skill as a free action (such attempts are ordinarily move actions).	KEY:Seeker of the Misty Isle ~ Corellon's Perception									BONUS:SKILL|Listen,Search,Spot|5|TYPE=Racial																	SORTKEY:Class_Seeker_Of_The_Misty_Isle	SOURCEPAGE:CD				
Surefooted	CATEGORY:Special Ability	TYPE:ClassFeatures.SeekerOfTheMistyIsleClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As a side effect of the seeker of the Misty Isle's keen senses, she is always searching the terrain around her. Accordingly, she has a preternatural sense of minute details in the landscape she can use to her advantage. She can ignore DC modifi ers on Balance, Move Silently, and Tumble checks derived from the surface or terrain.	KEY:Seeker of the Misty Isle ~ Surefooted																										SORTKEY:Class_Seeker_Of_The_Misty_Isle	SOURCEPAGE:CD				
Find the Path	CATEGORY:Special Ability	TYPE:ClassFeatures.SeekerOfTheMistyIsleClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A 6thlevel seeker can use find the path on herself once per day as a spell-like ability. Her caster level is equal to her class level.	KEY:Seeker of the Misty Isle ~ Find the Path																		SPELLS:Innate|TIMES=1|CASTERLEVEL=SeekerOfTheMistyIsleLVL|Find the Path								SORTKEY:Class_Seeker_Of_The_Misty_Isle	SOURCEPAGE:CD				
Arcane Sight	CATEGORY:Special Ability	TYPE:ClassFeatures.SeekerOfTheMistyIsleClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:Three times per day, a 9th-level seeker of the Misty Isle's eyes glow blue, enabling her to use arcane sight, as the spell from a caster of the seeker's highest divine caster level.	KEY:Seeker of the Misty Isle ~ Arcane Sight																		SPELLS:Innate|TIMES=3|CASTERLEVEL=Caster_Level_Highest__Divine|Arcane Sight								SORTKEY:Class_Seeker_Of_The_Misty_Isle	SOURCEPAGE:CD				
Discern Location	CATEGORY:Special Ability	TYPE:ClassFeatures.SeekerOfTheMistyIsleClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A 10th-level seeker can use discern location once per week as a spell-like ability. Her caster level is equal to her class level.	KEY:Seeker of the Misty Isle ~ Discern Location																		SPELLS:Innate|TIMES=1|TIMEUNIT=Week|CASTERLEVEL=SeekerOfTheMistyIsleLVL|Discern Location								SORTKEY:Class_Seeker_Of_The_Misty_Isle	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ShiningBladeOfHeironeousClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The shining blades of Heironeous are profi cient with all simple and martial weapons, with all armor, and with shields.	KEY:Shining Blade Of Heironeous ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Shining_Blade_Of_Heironeous	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ShiningBladeOfHeironeousClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When an even-numbered level is gained, the shining blade of Heironeous gains new spells per day (and spells known, if applicable) as if he had also gained a level in whatever spellcasting class in which he could cast divine spells before he added the prestige class level. He does not, however, gain any other benefi t a character of that class would have gained. If a character had more than one divine spellcasting class in which he could cast 1st-level spells before he became a shining blade, he must decide to which class he adds each level of shining blade for the purpose of determining spells per day and Spells known.	KEY:Shining Blade Of Heironeous ~ Spells per Day																										SORTKEY:Class_Shining_Blade_Of_Heironeous	SOURCEPAGE:CD				
Shock Blade	CATEGORY:Special Ability	TYPE:ClassFeatures.ShiningBladeOfHeironeousClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Twice per day as a standard action, a shining blade of Heironeous can cause a slashing or piercing weapon he is holding to become a shock weapon, dealing an extra 1d6 points of electricity damage on a successful hit. The weapon is enhanced this way for up to a number of rounds equal to the shining blade's level plus his Charisma modifi er (if any), but only so long as the shining blade is holding the weapon. If he is disarmed or gives the weapon to another character, the magical effect ends.	KEY:Shining Blade Of Heironeous ~ Shock Blade	DESC:%1/day %2 rounds|ShockBladeTimes|ShockBladeDuration			DEFINE:ShockBladeTimes|0	DEFINE:ShockBladeDuration|0				BONUS:VAR|ShockBladeDuration|CHA+ShiningBladeOfHeironeousLVL	BONUS:VAR|ShockBladeTimes|(ShiningBladeOfHeironeousLVL+1)/2|PREVARLTEQ:ShiningBladeOfHeironeousLVL,4																SORTKEY:Class_Shining_Blade_Of_Heironeous	SOURCEPAGE:CD				
Holy Blade	CATEGORY:Special Ability	TYPE:ClassFeatures.ShiningBladeOfHeironeousClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 5th level, the shining blade of Heironeous can bestow two magical enhancements upon his weapon. This supernatural ability replaces the shock blade ability and can be used three times per day. With each use of this ability, he can choose to make the weapon a shock weapon dealing +1d6 points of damage or a holy weapon dealing +2d6 points of bonus damage against evil creatures. The weapon is enhanced this way for up to a number of rounds equal to the shining blade's level plus his Charisma modifier (if any), but only so long as the shining blade is holding the weapon. If he is disarmed or gives the weapon to another character, the magical effect ends. The two uses of this ability can overlap, so in a given combat a shining blade can spend one standard action to make his blade holy and another to make it a shock weapon. The weapon cannot be made to be doubly holy or doubly shocking.	KEY:Shining Blade Of Heironeous ~ Holy Blade	DESC:%1/day %2 rounds|HolyBladeTimes|HolyBladeDuration			DEFINE:HolyBladeTimes|0	DEFINE:HolyBladeDuration|0				BONUS:VAR|HolyBladeDuration|CHA+ShiningBladeOfHeironeousLVL	BONUS:VAR|HolyBladeTimes|(ShiningBladeOfHeironeousLVL+1)/2|PREVARLTEQ:ShiningBladeOfHeironeousLVL,8																SORTKEY:Class_Shining_Blade_Of_Heironeous	SOURCEPAGE:CD				
Brilliant Blade	CATEGORY:Special Ability	TYPE:ClassFeatures.ShiningBladeOfHeironeousClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 9th level, a shining blade can bestow three magical enhancements upon his weapon. This supernatural ability replaces the holy blade ability and can be used six times per day. With each use of this ability, he can choose to make the weapon a shock weapon dealing an extra 1d6 points of electricity damage, a holy weapon dealing an extra 2d6 points of damage against evil creatures, or a brilliant energy weapon, which sheds light as a torch and ignores nonliving matter (including armor, undead, constructs, and objects). The weapon is enhanced this way for up to a number of rounds equal to the shining blade's level plus his Charisma modifi er (if any), but only so long as the shining blade is holding the weapon. If he is disarmed or gives the weapon to another character, the magical effect ends. The three uses of this ability can overlap, so in a given combat a shining blade can spend one standard action to make his blade holy, another to make it a shock weapon, and another to make it a brilliant energy weapon. The weapon cannot be made to be doubly holy, doubly shocking, or doubly brilliant.	KEY:Shining Blade Of Heironeous ~ Brilliant Blade	DESC:%1/day %2 rounds|BrilliantBladeTimes|BrilliantBladeDuration			DEFINE:BrilliantBladeTimes|0	DEFINE:BrilliantBladeDuration|0				BONUS:VAR|BrilliantBladeDuration|CHA+ShiningBladeOfHeironeousLVL	BONUS:VAR|BrilliantBladeTimes|(ShiningBladeOfHeironeousLVL+1)/2																SORTKEY:Class_Shining_Blade_Of_Heironeous	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Stormlords gain no weapon or armor proficiencies.	KEY:Stormlord ~ Weapon and Armor Proficiency																										SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialAttack	VISIBLE:YES	DESC:At each stormlord level, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in a divine spellcasting class to which he belonged before adding the prestige class level. He does not, however, gain any other benefit a character of that class would have gained (improved chance of turning or destroying undead, additional favored enemies, and so on). If the character had more than one divine spellcasting class before becoming a stormlord, the player must decide to which class to add each stormlord level for the purpose of determining spells per day and spells known.	KEY:Stormlord ~ Spells per Day																										SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Enhanced Javelin	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Any javelin thrown by a stormlord counts as a +1 magic weapon. This bonus increases at 6th level to +2 and at 10th level to +3.	KEY:Stormlord ~ Enhanced Javelin				DEFINE:EnhancedJavelinBonus|0					BONUS:VAR|EnhancedJavelinBonus|min(1,(((StormlordLVL+2)/4)))	BONUS:WEAPONPROF=Javelin|TOHIT,DAMAGE|EnhancedJavelinBonus|TYPE=Enhancement																SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Resistance to Electricity	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:As a stormlord gains levels in this prestige class, he becomes increasingly resistant to electrical energy, gaining resistance to electricity in the amount given on the table. At 9th level, a stormlord gains immunity to electricity.	KEY:Stormlord ~ Resistance to Electricity									BONUS:VAR|ElectricityResistanceBonus|(((StormlordLVL+2)/3)*5)|PREVARLTEQ:StormlordLVL,8									ABILITY:Special Ability|AUTOMATIC|Resistance to Electricity|PREVARGTEQ:StormlordLVL,9								SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Shock Weapon	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Any spear or javelin used by a stormlord of 2nd level or higher is treated as a shock weapon (dealing an extra 1d6 points of electricity damage). The weapon loses this ability 1 round after leaving the hand of the stormlord.	KEY:Stormlord ~ Shock Weapon																										SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Storm Walk	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 3rd level, a stormlord (and his mount, if any) can walk or ride through storms (natural or magical) at his regular movement rate, completely unaffected by high winds (including gust of wind), pounding precipitation or waves, objects driven by the wind (which always seem to miss him), great claps of thunder, natural bolts of lightning, or any other natural symptom of Talos's fury.	KEY:Stormlord ~ Storm Walk																										SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Thundering Weapon	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:For a stormlord of 5th level or higher, any spear or javelin he uses is treated as a thundering weapon (see page 225 of the Dungeon Master's Guide). The weapon loses this ability 1 round after leaving the hand of the stormlord. This effect stacks with that of the stormlord's shock weapon ability.	KEY:Stormlord ~ Thundering Weapon																										SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Storm Ride	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 6th level, a stormlord gains the ability to fly during any storm as if using the fl y spell. Adverse wind conditions do not affect him; for example, even hurricane- force winds cannot knock him down or blow him away when flying.	KEY:Stormlord ~ Storm Ride																										SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Shocking Burst Weapon	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:For a stormlord of 8th level or higher, any spear or javelin he uses is treated as a shocking burst weapon. The weapon loses this ability 1 round after leaving the hand of the stormlord. This effect stacks with that of the stormlord's thundering weapon ability.	KEY:Stormlord ~ Shocking Burst Weapon																										SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Storm of Elemental Fury	CATEGORY:Special Ability	TYPE:ClassFeatures.StormlordClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 10th level, a stormlord can summon a storm of great magnitude and power. Once per day, a stormlord can use storm of elemental fury as if he were a 17th-level cleric.	KEY:Stormlord ~ Storm of Elemental Fury																		SPELLS:Innate|TIMES=1|CASTERLEVEL=17|Storm of Elemental Fury								SORTKEY:Class_Stormlord	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.TempleRaiderOfOlidammaraClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Temple raiders gain profi ciency with all simple weapons and with the rapier. In addition, they gain proficiency with light and medium armor.	KEY:Temple Raider of Olidammara ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple|TYPE=WeaponProfTempleRaiderOfOlidammara	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium							SORTKEY:Class_Temple_Raider_Of_Olidammara	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.TempleRaiderOfOlidammaraClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A temple raider has the ability to cast a small number of divine spells. To cast a temple raider spell, a temple raider must have a Wisdom score of at least 10 + the spell's level, so a temple raider with a Wisdom of 10 or lower cannot cast these spells. Temple raider bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + the temple raider's Wisdom modifi er. When the temple raider gets 0 spells per day of a given level (for instance, 1st-level spells for a 1st-level temple raider), he gains only the bonus spells he would be entitled to based on his Wisdom score for that spell level. The temple raider's spell list appears below. A temple raider has access to  any spell on the list and can freely choose which to prepare, just as a cleric. A temple raider prepares and casts spells just as a cleric does (though a temple raider cannot spontaneously cast cure or infl ict spells). A temple raider must spend 1 hour each night in quiet contemplation and supplication to Olidammara to regain his daily allotment of spells. Time spent resting has no effect on whether he can prepare spells.	KEY:Temple Raider of Olidammara ~ Spells				DEFINE:Caster_Level_Temple_Raider_Of_Olidammara|0	DEFINE:Caster_Level_BL_Temple_Raider_Of_Olidammara|0				BONUS:CASTERLEVEL|Temple Raider of Olidammara|Caster_Level_Temple_Raider_Of_Olidammara	BONUS:VAR|Caster_Level_Temple_Raider_Of_Olidammara|TempleRaiderOfOlidammaraLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Temple_Raider_Of_Olidammara|charbonusto("PCLEVEL","Temple Raider of Olidammara")	BONUS:VAR|Caster_Level_Highest__Divine|Caster_Level_Temple_Raider_Of_Olidammara+Caster_Level_BL_Temple_Raider_Of_Olidammara|TYPE=Base														SORTKEY:Class_Temple_Raider_Of_Olidammara	SOURCEPAGE:CD				
Trapfinding	CATEGORY:Special Ability	TYPE:ClassFeatures.TempleRaiderOfOlidammaraClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Like rogues, temple raiders can use the Search skill to locate traps when the task has a Difficulty Class higher than 20. They can also use the Disable Device skill to disarm magic traps. A temple raider who beats a trap's DC by 10 or more with a Disable Device check can study a trap, figure out how it works, and bypass it (with her party) without disarming it.	KEY:Temple Raider of Olidammara ~ Trapfinding																										SORTKEY:Class_Temple_Raider_Of_Olidammara	SOURCEPAGE:CD				
Trap Sense	CATEGORY:Special Ability	TYPE:ClassFeatures.TempleRaiderOfOlidammaraClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A temple raider has an intuitive sense that alerts him to danger from traps, giving him a +1 bonus on Refl ex saves made to avoid traps and a +1 dodge bonus to AC against attacks made by traps. These bonuses rise by an additional +1 every three levels above 1st (to +2 at 4th level, +3 at 7th, and +4 at 10th).	KEY:Temple Raider of Olidammara ~ Trap Sense									BONUS:VAR|TrapSenseBonus|(((TempleRaiderOfOlidammaraLVL+2)/3))									ABILITY:Special Ability|AUTOMATIC|Trap Sense								SORTKEY:Class_Temple_Raider_Of_Olidammara	SOURCEPAGE:CD				
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.TempleRaiderOfOlidammaraClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a temple raider gains the ability to sneak attack opponents. This functions identically to the rogue's sneak attack ability (see the Rogue section in Chapter 3 of the Player's Handbook). At 2nd level, the temple raider's extra damage on a successful sneak attack is +1d6, and this rises by +1d6 per three temple raider levels thereafter. If he already has the sneak attack ability from a previous class, the damage bonuses stack.	KEY:Temple Raider of Olidammara ~ Sneak Attack									BONUS:VAR|SneakAttackDice|(((TempleRaiderOfOlidammaraLVL+1)/3))									ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Temple_Raider_Of_Olidammara	SOURCEPAGE:CD				
Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.TempleRaiderOfOlidammaraClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:At 3rd level, a temple raider gains the ability to react to danger before his senses would normally allow him to do so. He retains his Dexterity modifier to AC (if any) even if he is caught fl at-footed or struck by an invisible attacker. However, he still loses his Dexterity modifi er to AC if immobilized. If a temple raider already has uncanny dodge from a different class, he automatically gains improved uncanny dodge (see below) instead.	KEY:Temple Raider of Olidammara ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeFlankingLevel|TempleRaiderOfOlidammaraLVL|TYPE=EachClass.REPLACE																	SORTKEY:Class_Temple_Raider_Of_Olidammara	SOURCEPAGE:CD				
Improved Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.TempleRaiderOfOlidammaraClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:A temple raider of 6th level or higher can no longer be flanked; he can react to opponents on opposite sides of him as easily as he can react to a single attacker. This defense denies an enemy the ability to sneak attack the temple raider by flanking him, unless the attacker has at least four more rogue levels than the target has temple raider levels. If a character already has uncanny dodge from a second class, the levels from the class(es) that grant uncanny dodge stack to determine the minimum rogue level required to flank the temple raider. For example, only a rogue of 17th level or higher could flank a 7th-level rogue/6th-level temple raider.	KEY:Temple Raider of Olidammara ~ Improved Uncanny Dodge																										SORTKEY:Class_Temple_Raider_Of_Olidammara	SOURCEPAGE:CD				
Skill Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.TempleRaiderOfOlidammaraClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 9th level, a temple raider becomes so certain in the use of certain skills that he can use them reliably even under adverse conditions. Upon gaining this ability, he selects a number of skills equal to 3 + his Intelligence modifier. When making a skill check with one of these skills, he may take 10 even if stress and distraction would normally prevent him from doing so.	KEY:Temple Raider of Olidammara ~ Skill Mastery									BONUS:ABILITYPOOL|Skill Mastery|3+INT																	SORTKEY:Class_Temple_Raider_Of_Olidammara	SOURCEPAGE:CD				
Luck Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.TempleRaiderOfOlidammaraClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 10th-level, the luck of Olidammara rubs off on a temple raider, granting the character access to the Luck domain. He may use the domain's granted power and adds the domain's spells to his temple raider spell list (but not any other spell lists he might have). If he already has the Luck domain, he can use its granted power one additional time per day.	KEY:Temple Raider of Olidammara ~ Luck Domain																										SORTKEY:Class_Temple_Raider_Of_Olidammara	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.UrPriestClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Ur-priests are proficient with simple weapons, but not with armor or shields.	KEY:Ur-Priest ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple								SORTKEY:Class_Ur_Priest	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.UrPriestClassFeatures.SpecialAttack	VISIBLE:YES	DESC:An ur-priest gains the ability to cast a number of divine spells. To cast a spell, an ur-priest must have a Wisdom score of at least 10 + the spell's level, so an ur-priest with a Wisdom of 10 or lower cannot cast these spells. Ur-priest bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + Wisdom modifier. When Table 2-23 indicates that the ur-priest gets 0 spells per day of a given spell level, such as 0 2nd-level spells at 2nd level, the ur-priest gains only the bonus spells he would be entitled to based on his Wisdom score for that spell level. The ur-priest spell list is identical to the cleric spell list. An ur-priest has access to any spell on the list and prepares those spells as a cleric, except that he does not pray for spells, he just takes them. An ur-priest casts spells as a cleric does, except that unlike a cleric, he does not have the ability to spontaneously cast cure or inflict spells, nor does he have domain spells or associated domain granted powers. He does not have restrictions on spells with alignments. To determine the caster level of an ur-priest, add the character's ur-priest levels to one-half of his levels in other spellcasting classes. (Any levels gained in the cleric class by an ex-cleric don't count.)	KEY:Ur-Priest ~ Spells				DEFINE:Caster_Level_Ur_Priest|0	DEFINE:Caster_Level_BL_Ur_Priest|0				BONUS:CASTERLEVEL|Ur-Priest|Caster_Level_Ur_Priest	BONUS:VAR|Caster_Level_Ur_Priest|UrPriestLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Ur_Priest|charbonusto("PCLEVEL","Ur-Priest")	BONUS:VAR|Caster_Level_Highest__Divine|Caster_Level_Ur_Priest+Caster_Level_BL_Ur_Priest|TYPE=Base														SORTKEY:Class_Ur_Priest	SOURCEPAGE:CD				
Rebuke Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.UrPriestClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Like an evil cleric, an ur-priest of 2nd level or higher can rebuke undead. He uses his ur-priest level as the cleric level for determining success and damage (see Turn or Rebuke Undead, page 159 of the Player's Handbook).	KEY:Ur-Priest ~ Rebuke Undead									BONUS:ABILITYPOOL|Turn Undead|1|TYPE=ClassAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|UrPriestLVL|TYPE=Level.REPLACE								ABILITY:Special Ability|AUTOMATIC|Basic Turning								SORTKEY:Class_Ur_Priest	SOURCEPAGE:CD				
Divine Spell Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.UrPriestClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 4th level, an ur-priest gains spell resistance 15, but only against divine spells and the spell-like abilities of outsiders. At 8th level, the ur-priest's spell resistance increases to 20.	KEY:Ur-Priest ~ Divine Spell Resistance																										SORTKEY:Class_Ur_Priest	SOURCEPAGE:CD				
Siphon Spell Power	CATEGORY:Special Ability	TYPE:ClassFeatures.UrPriestClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Because they steal whatever power they can, ur-priests learn to manipulate their energy in ways that confound other casters. An ur-priest of 6th level or higher can temporarily sacrifi ce two (or more) lower-level spell slots and use those slots to  prepare a higher-level spell. The higher-level spell must be of a level the ur-priest can cast. Only one exchange of this sort can be made each day. The levels of the lower-level slots are totaled, then reduced to three-quarters (round down) to determine the level of the extra higher-level spell slot. For example, an ur-priest who sacrifi ces a 3rd-level spell and a 5th-level spell can use that spell slot to prepare an additional 6th-level spell (3 + 5 = 8, and 8 x 3/4 = 6).	KEY:Ur-Priest ~ Siphon Spell Power																										SORTKEY:Class_Ur_Priest	SOURCEPAGE:CD				
Steal Spell-Like Ability	CATEGORY:Special Ability	TYPE:ClassFeatures.UrPriestClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The most powerful ur-priests can use the same techniques that siphon off the gods' spell power to steal the spell-like abilities of another creature. Once each day, when a creature with spell-like abilities is within 50 feet of a 10thlevel ur-priest, the ur-priest can choose one of the spell-like abilities of the creature to steal for himself. The ur-priest can use the spell-like ability as often as the creature can, or three times per day, whichever is less. The ur-priest uses the ability as the creature does with regard to caster level and save DCs. This ability only lasts 24 hours. The creature with the spell-like ability does not lose the ability when the urpriest steals it. If an ur-priest tries to steal a spell-like ability that the creature doesn't have, or tries to steal an ability that is supernatural rather than spell-like, the attempt automatically fails. For example, if an ur-priest is near a noble salamander, he can steal fireball and use it three times that day or steal dispel magic and use it once that day. If he is near a pit fi end, he could steal teleport without error (self plus 50 pounds of objects only) and use it three times per day, because the pit fi end can do it at will. He could even steal the pit fi end's wish ability, but because a pit fi end can only use wish once per year, the ur-priest would be similarly limited. He could not steal that power again from any creature for one year.	KEY:Ur-Priest ~ Steal Spell-Like Ability																										SORTKEY:Class_Ur_Priest	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.VoidDiscipleClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Void disciples gain no weapon or armor proficiencies.	KEY:Void Disciple ~ Weapon and Armor Proficiency																										SORTKEY:Class_Void_Disciple	SOURCEPAGE:CD				
