SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Aura of Radiance	CATEGORY:Special Ability	TYPE:ClassFeatures.MorninglordOfLathanderClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When the morninglord of Lathander reaches 10th level, the light of Lathander shines perpetually upon her. No matter how dark it is, the morninglord sees as though the conditions were identical to the outdoors at sunrise. This ability functions like darkvision out to 60 feet, except that the morninglord sees in color. The morninglord also gains a +2 sacred bonus on saving throws against spells with the darkness descriptor and a +2 sacred bonus to Armor Class against attacks from undead creatures	KEY:Morninglord of Lathander ~ Aura of Radiance									BONUS:VAR|DarkvisionRange|60|TYPE=Base	BONUS:VAR|DarknessResistanceBonus|2|TYPE=Sacred								ABILITY:Special Ability|AUTOMATIC|Resistance To Darkness spells								SORTKEY:Class_Monrninglord_Of_Lathander	SOURCEPAGE:PgtF	ASPECT:CombatBonus|+2 sacred bonus to Armor Class against attacks from undead creatures.	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Runecasters gain no proficiency with any weapon, armor, or shield.	KEY:Runecaster ~ Weapon and Armor Proficiency																										SORTKEY:Class_Runecaster	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new runecaster level is gained, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in whatever divine spellcasting class granted h im access to 3rd-level spells before he added the prestige class. He does not, however, gain any other benefit a character of that class would have gained (improved chance of turning or rebuking undead, and so on), except for an increased effective level of spellcasting. This essentially means that he adds the level of runecaster to the level of whatever other divine spellcasting class granted him access to 3rd-level spells, then determines spells per day, spells known, and caster level accordingly. If a character had more than one divine spellcasting class that granted access to 3rd-level spells before he became a runecaster, he must decide to which class he adds each level of runecaster for the purpose of determining spells per day and spells known.	KEY:Runecaster ~ Spells per Day																										SORTKEY:Class_Runecaster	SOURCEPAGE:PgtF		
Rune Craft	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, the runecaster gains a +1 bonus on Craft checks made to inscribe runes. This bonus increases to +2 at 4th level and to +3 at 7th level.	KEY:Runecaster ~ Rune Craft				DEFINE:RuneCraftBonus|0					BONUS:VAR|RuneCraftBonus|max(3,(RunecasterLVL+2)/3)																	SORTKEY:Class_Runecaster	SOURCEPAGE:PgtF	ASPECT:SkillBonus|+%1 bonus to Craft skills made to inscribe runes.|RuneCraftBonus	ASPECT:Name|Rune Craft +%1|RuneCraftBonus
Rune Power	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When the runecaster reaches 2nd level, his runes become more potent. The DC for all attempts to erase, dispel, or disable his runes, and for caster level checks to overcome the spell resistance of their targets, increases by 1. This increase does not apply to the DC of the saving throw (if any) to resist a rune's effect. This increase rises to 2 at 5th level and to 3 at 9th level.	KEY:Runecaster ~ Rune Power				DEFINE:RunePowerBonus|0					BONUS:VAR|RunePowerBonus|max(3,(RunecasterLVL+3)/4)																	SORTKEY:Class_Runecaster	SOURCEPAGE:PgtF	ASPECT:Name|Rune Power +%1|RunePowerBonus	
Improved Runecasting	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:As a runecaster rises in level, he gains the ability to create runes that function more than once and have different kinds of triggers. These extra features increase the cost of the rune, as shown on the table. Works When Read or Passed: Any attempt to study, identify, or fathom a rune's meaning counts as "reading" the rune. Passing through any portal that bears a rune counts as "passing" it. To affect a target, a rune must have an unbroken line of effect to it and be within 30 feet of it. A rune that is triggered when passed can be set for almost any special condition the runecaster specifi es. Runes can be set to trigger according to physical characteristics (such as height or weight) or creature type, subtype, or race (such as drow or aberration). They can also trigger based on good, evil, law, or chaos, or a creature's patron deity. They cannot, however, be set to trigger by class, Hit Dice, or level. Runes respond to invisible creatures normally but are not triggered by creatures that travel past them ethereally. When placing a rune with a "pass" trigger, a runecaster can specify a password or phrase that prevents the rune from triggering.	KEY:Runecaster ~ Improved Runecasting																										SORTKEY:Class_Runecaster	SOURCEPAGE:PgtF		
Maximize Rune	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 6th level, the runecaster can create runes whose effects are maximized, as if by the Maximize Spell feat, without altering the level of the spell used to create the rune. Maximizing a rune adds 5 to the DC of the Craft check required to inscribe it.	KEY:Runecaster ~ Maximize Rune																										SORTKEY:Class_Runecaster	SOURCEPAGE:PgtF		
Rune Chant	CATEGORY:Special Ability	TYPE:ClassFeatures.RunecasterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A 10th-level runecaster may cast any d ivine spell to which he has access at +1 caster level by tracing a rune in the air as an extra somatic component. For spells with a casting time of 1 action, using this ability increases the casting time to 1 full round. The casting time for all other spells increases by 1 round when rune chant is used. This ability cannot be used on stilled spells, and it does not function with the maximize rune ability.	KEY:Runecaster ~ Rune Chant																		ADDSPELLLEVEL:0								SORTKEY:Class_Runecaster	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ShaaryanHunterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Shaaryan hunters gain no proficiency with any weapon, armor, or shield.	KEY:Shaaryan Hunter ~ Weapon and Armor Proficiency																										SORTKEY:Class_Shaaryan_Hunter	SOURCEPAGE:PgtF		
Ride Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.ShaaryanHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 1st level, the Shaaryan hunter gains a +2 competence bonus on Ride checks. This bonus increases to +4 at 4th level, to +6 at 7th level, and to +8 at 10th level.	KEY:Shaaryan Hunter ~ Ride Bonus				DEFINE:RideBonus|0					BONUS:SKILL|Ride|RideBonus|TYPE=Competence	BONUS:VAR|RideBonus|(((ShaaryanHunterLVL+2)/3)*2)																SORTKEY:Class_Shaaryan_Hunter	SOURCEPAGE:PgtF		
Mounted Tracking	CATEGORY:Special Ability	TYPE:ClassFeatures.ShaaryanHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Shaaryan hunters are skilled at following tracks from horseback. Beginning at 2nd level, a Shaaryan hunter may move at one-half her mount's base speed without taking penalties on Survival checks made to track. At 6th level, she may move at her mount's full speed while tracking with no penalty on checks made to track.	KEY:Shaaryan Hunter ~ Mounted Tracking																										SORTKEY:Class_Shaaryan_Hunter	SOURCEPAGE:PgtF		
Burst of Speed	CATEGORY:Special Ability	TYPE:ClassFeatures.ShaaryanHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Beginning at 3rd level, the Shaaryan hunter can urge her mount to move at double its normal speed for 1 round. During this round, the mount charges at double the new speed and runs at quadruple the new speed. This ability is usable once per day without danger to the mount. If the Shaaryan hunter attempts to use the ability a second time in the same day, her mount must make a successful Fortitude save (DC 20) or take 1d6 points of damage. Each additional time she uses the ability in the same day, her mount must make a new Fortitude save at the same DC, and the damage increases by 1d6 points over that for the previous attempt. Thus, the third use of this ability in one day deals 2d6 points of damage, the fourth use deals 3d6 points of damage, and so on.	KEY:Shaaryan Hunter ~ Burst of Speed																										SORTKEY:Class_Shaaryan_Hunter	SOURCEPAGE:PgtF		
Mounted Accuracy	CATEGORY:Special Ability	TYPE:ClassFeatures.ShaaryanHunterClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Shaaryan hunters are almost as skilled as the legendary Tuigan Horde when firing a bow from horseback. Beginning at 4th level, the Shaaryan hunter gains a +2 competence bonus on ranged attack rolls made from horseback. When she reaches 9th level, this bonus increases to +4.	KEY:Shaaryan Hunter ~ Mounted Accuracy				DEFINE:MountedAccuracyBonus|0					BONUS:VAR|MountedAccuracyBonus|2	BONUS:VAR|MountedAccuracyBonus|2|PREVARGTEQ:ShaaryanHunterLVL,9																SORTKEY:Class_Shaaryan_Hunter	SOURCEPAGE:PgtF	ASPECT:CombatBonus|+%1 competence bonus on ranged attack rolls made from horseback.	
Spirited Charge	CATEGORY:Special Ability	TYPE:ClassFeatures.ShaaryanHunterClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 5th level, the Shaaryan hunter receives Spirited Charge as a bonus feat if she does not already have it. She need not meet the prerequisites for this feat.	KEY:Shaaryan Hunter ~ Spirited Charge																		ABILITY:FEAT|VIRTUAL|Spirited Charge								SORTKEY:Class_Shaaryan_Hunter	SOURCEPAGE:PgtF		
Long Riding	CATEGORY:Special Ability	TYPE:ClassFeatures.ShaaryanHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, the Shaaryan hunter has learned how to coax extra endurance from her mount so that she can ride longer and at a higher average speed. When traveling overland, her mount moves at 150%% of its normal overland speed. This ability does not increase the creature's speed in combat.	KEY:Shaaryan Hunter ~ Long Riding																										SORTKEY:Class_Shaaryan_Hunter	SOURCEPAGE:PgtF		
Born in the Saddle	CATEGORY:Special Ability	TYPE:ClassFeatures.ShaaryanHunterClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When the Shaaryan hunter reaches 8th level, her mastery of horsemanship enables her to perform unbelievable stunts. Once per day while mounted, she may select to make a Ride check in place of any one attack roll, saving throw, or skill check. She uses her total Ride modifier but gains no modifiers from other sources (such as a weapon's enhancement bonus or a feat that increases her saving throw bonus).	KEY:Shaaryan Hunter ~ Born in the Saddle																										SORTKEY:Class_Shaaryan_Hunter	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Shadow adepts gain no proficiency with any weapon, armor, or shield.	KEY:Shadow Adept ~ Weapon and Armor Proficiency																										SORTKEY:Class_Shadow_Adept	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new shadow adept level i s gained, the character gains new spells per day (and spells known, if applicable) as i f he had also gained a level in whatever spellcasting class granted him access to 3rd-level spells before he added the prestige class. He does not, however, gain any other benefi t a character of that class would have gained (bonus metamagic or item creation feats, improved chance of turning or rebuking undead, and so on), except for an increased effective level of spellcasting. This essentially means that he adds the level of shadow adept to the level of whatever other spellcasting class granted him access to 3rd-level spells, then determines spells per day, spells known, and caster level accordingly. If a character had more than one spellcasting class that granted access to 3rd-level spells before he became a shadow adept, he must decide to which class he adds each level of shadow adept for the purpose of determining spells per day and spells known.	KEY:Shadow Adept ~ Spells per Day																										SORTKEY:Class_Shadow_Adept	SOURCEPAGE:PgtF		
Shadow Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, a shadow adept gains Insidious Magic, Pernicious Magic, and Tenacious Magic as bonus feats if he doesn't already have them.	KEY:Shadow Adept ~ Shadow Feats																		ABILITY:FEAT|AUTOMATIC|Insidious Magic|Pernicious Magic|Tenacious Magic								SORTKEY:Class_Shadow_Adept	SOURCEPAGE:PgtF		
Low-Light Vision	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a shadow a dept g ains l ow-light vision if he doesn't already have it.	KEY:Shadow Adept ~ Low-Light Vision									BONUS:VAR|HasLowLightVision|1|TYPE=Base																	SORTKEY:Class_Shadow_Adept	SOURCEPAGE:PgtF		
Shadow Defense	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a shadow adept gains resistance to the kinds of spells that are favored by the Shadow Weave. He gains a +1 profane bonus on saving throws against spells from the schools of enchantment, illusion, and necromancy, as well as spells with the darkness descriptor. This bonus increases to +2 at 6th level and to +3 at 9th level.	KEY:Shadow Adept ~ Shadow Defense				DEFINE:ShadowDefenseBonus|0					BONUS:VAR|ShadowDefenseBonus|ShadowAdeptLVL/3	BONUS:VAR|EnchantmentResistanceBonus,IllusionResistanceBonus,NecromancyResistanceBonus,DarknessResistanceBonus|ShadowDefenseBonus|TYPE=Profane								ABILITY:Special Ability|AUTOMATIC|Resistance to Enchantment|Resistance to Illusion|Resistance to Necromancy|Resistance To Darkness spells								SORTKEY:Class_Shadow_Adept	SOURCEPAGE:PgtF	ASPECT:Name|Shadow Defense +%1|ShadowDefenseBonus	
Shield of Shadows	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A shadow adept of at least 4th level can surround himself with a globe of purpleblack force as a standard action. This shield of shadows functions like a shield spell, granting him a +4 shield bonus to AC and absorbing magic missiles cast at him. In addition, the shield of shadows provides concealment (20%% miss chance) against melee and ranged attacks. The shadow adept can see and reach through the shield, so it does not provide cover or concealment to opponents. The shadow adept may use a shield of shadows for up to 1 round per caster level per day. This duration need not be consecutive-the shadow adept may break it up into increments as small as 1 round if he so desires. Creating or dismissing the shield of shadows is a standard action.	KEY:Shadow Adept ~ Shield of Shadows	DESC:SR %1.|ShieldOfShadowSR			DEFINE:ShieldOfShadowSR|0					BONUS:VAR|ShieldOfShadowSR|12+ShadowAdeptLVL|PREVARGTEQ:ShadowAdeptLVL,8																	SORTKEY:Class_Shadow_Adept	SOURCEPAGE:PgtF		
Darkvision	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 7th level, a shadow adept can see in the dark as though he were permanently affected by a darkvision spell.	KEY:Shadow Adept ~ Darkvision									BONUS:VAR|DarkvisionRange|60|TYPE=Base																	SORTKEY:Class_Shadow_Adept	SOURCEPAGE:PgtF		
Shadow Walk	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A shadow adept can cast the shadow walk spell once per day.	KEY:Shadow Adept ~ Shadow Walk																		SPELLS:Innate|TIMES=1|CASTERLEVEL=ShadowAdept|Shadow Walk								SORTKEY:Class_Shadow_Adept	SOURCEPAGE:PgtF		
Shadow Double	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowAdeptClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day, a 1 0th-lev el s hadow adept can use a standard action to create a double of himself woven from shadowstuff. The double has the ability scores, base AC, hit points, saves, and attack bonuses of its creator, but no equipment. (Any apparent clothing or equipment is nonfunctional.) Since it can use anything its creator can, the double can attack the creator's enemies if given a weapon or item with which to do so. Alternatively, it can function as the target of a project image spell, duplicating the creator's actions and functioning as the origin of the creator's spells when it is within his direct line of sight. Mentally commanding the double is a free action. Using it as the originator of a spell counts as an action of the sort needed to cast the spell for both the creator and the double. Causing either the creator or the double to leave the plane they share dismisses the double. The double lasts 1 round per caster level. The death of the double does not affect the shadow adept or vice versa. If its creator dies, the shadow double still lasts until its duration expires.	KEY:Shadow Adept ~ Shadow Double																										SORTKEY:Class_Shadow_Adept	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowThiefOfAmnClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Shadow thieves of Amn gain proficiency with all simple weapons and with light armor	KEY:Shadow Thief of Amn ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Shadow_Thief_Of_Amn	SOURCEPAGE:PgtF		
Doublespeak	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowThiefOfAmnClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A shadow thief of Amn is adept at talking her way out of tight places. At 1st level, she gains a +2 bonus on all Bluff and Diplomacy checks.	KEY:Shadow Thief of Amn ~ Doublespeak									BONUS:SKILL|Bluff,Diplomacy|2																	SORTKEY:Class_Shadow_Thief_Of_Amn	SOURCEPAGE:PgtF		
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowThiefOfAmnClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:This ability functions like the rogue ability of the same name. The extra damage dealt increases by 1d6 points at 1st level, by another 1d6 points at 3rd level, and another 1d6 points at 5th level. If a shadow thief of Amn gets a sneak attack bonus from another source (such as rogue levels) the bonuses on damage stack. Furthermore, shadow thief of Amn levels stack with any other appropriate class levels (such as rogue or assassin) for the purpose of overcoming improved uncanny dodge.	KEY:Shadow Thief of Amn ~ Sneak Attack									BONUS:VAR|SneakAttackDice|(ShadowThiefOfAmn+1)/2	BONUS:VAR|UncannyDodgeFlankingLevel|ShadowthiefOfAmnLVL								ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Shadow_Thief_Of_Amn	SOURCEPAGE:PgtF		
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowThiefOfAmnClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level and again at 4th level, a shadow thief of Amn gains a bonus feat of her choice from the following list: Acrobatic, Agile, Alertness, Blind-Fight, Combat Expertise, Deceitful, Deft Hands, Exotic Weapon Profi ciency (hand crossbow or shuriken), Improved Feint, Leadership, Lightning Refl exes, Negotiator, Nimble Fingers, Persuasive, Track, Skill Focus (any guild thief class skill), Silent Spell, Stealthy, Still Spell, Weapon Finesse, Weapon Focus (any). She must meet any prerequisites for a feat in order to select it.	KEY:Shadow Thief of Amn ~ Bonus Feat				DEFINE:ShadowThiefOfAmnBonusFeats|0					BONUS:VAR|ShadowThiefOfAmnBonusFeats|ShadowThiefOfAmnLVL/2	BONUS:ABILITYPOOL|Shadow Thief of Amn Feat|ShadowThiefOfAmnBonusFeats																SORTKEY:Class_Shadow_Thief_Of_Amn	SOURCEPAGE:PgtF		
Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowThiefOfAmnClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:At 2nd level, a shadow thief of Amn gains the ability to react to danger before her senses would normally allow her to even be aware of it. She retains her Dexterity bonus to AC (if any) regardless of being caught fl at-footed or struck by an invisible attacker. (She still loses any Dexterity bonus to AC if immobilized.) If a shadow thief of Amn already has the uncanny dodge ability from another class, she gains improved uncanny dodge (see the rogue class description in the Player's Handbook) instead.	KEY:Shadow Thief of Amn ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeFlankingLevel|ShadowThiefOfAmnLVL|TYPE=EachClass.REPLACE																	SORTKEY:Class_Shadow_Thief_Of_Amn	SOURCEPAGE:PgtF		
Reputation	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowThiefOfAmnClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:By the time she reaches 3rd level, a shadow thief's infamy grants her a +1 bonus to her Leadership score (see the Leadership feat description on page 106 of the Dungeon Master's Guide). This bonus increases to +2 at 4th level and to +3 at 5th level. Usually, a shadow thief of Amn who has an interest in collecting followers maintains a permanent base of operations within a city, which gives her an additional +2 bonus to her Leadership score.	KEY:Shadow Thief of Amn ~ Reputation				DEFINE:ReputationBonus|0					BONUS:VAR|ReputationBonus|ShadowThiefOfAmnLVL-2	BONUS:VAR|LeadershipScore|ReputationBonus																SORTKEY:Class_Shadow_Thief_Of_Amn	SOURCEPAGE:PgtF		
Improved Uncanny Dodge	CATEGORY:Special Ability	TYPE:ClassFeatures.ShadowThiefOfAmnClassFeatures.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:At 5th level, a shadow thief of Amn can no longer be flanked, since she can react to opponents on opposite sides of her as easily as she can react to a single attacker. This defense denies rogues the ability to use flank attacks to sneak attack the shadow thief of Amn. The exception to this defense is that a rogue at least four levels higher than the shadow thief can flank her (and thus sneak attack her). If the shadow thief of Amn already has improved uncanny dodge, the levels from any other classes granting uncanny dodge stack for the purpose of determining the minimum rogue level required to flank her.	KEY:Shadow Thief of Amn ~ Improved Uncanny Dodge																										SORTKEY:Class_Shadow_Thief_Of_Amn	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellguardOfSilverymoonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Spellguards of Silverymoon gain no profi ciency with any weapon, armor, or shield.	KEY:Spellguard of Silverymoon ~ Weapon and Armor Proficiency																										SORTKEY:Class_Spellguard_Of_Silverymoon	SOURCEPAGE:PgtF		
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellguardOfSilverymoonClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new spellguard of Silverymoon level is gained, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in whatever arcane spellcasting class granted him access to 4th-level spells before he added the prestige class. He does not, however, gain any other benefi t a character of that class would have gained (bonus metamagic or item creation feats, bard or assassin abilities, and so on), except for an increased effective level of spellcasting. This essentially means that he adds the level of spellguard of Silverymoon to the level of whatever other arcane spellcasting class granted him access to 4th-level spells, then determines spells per day, spells known, and caster level accordingly. If a character had more than one arcane spellcasting class that granted access to 4th-level spells before he became a spellguard of Silverymoon, he must decide to which class he adds each level of spellguard for the purpose of determining spells per day and spells known.	KEY:Spellguard of Silverymoon ~ Spells per Day																										SORTKEY:Class_Spellguard_Of_Silverymoon	SOURCEPAGE:PgtF		
Obligation	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellguardOfSilverymoonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The Spellguard is a military unit, not just a loose fraternity of mages. As such, each spellguard of Silverymoon must spend at least two days out of every tenday on active duty, usually either guarding the walls of Silverymoon itself or patrolling the surrounding area with a detachment of the Knights in Silver.	KEY:Spellguard of Silverymoon ~ Obligation																										SORTKEY:Class_Spellguard_Of_Silverymoon	SOURCEPAGE:PgtF		
Token	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellguardOfSilverymoonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:As a member of the Spellguard, a 1st-level spellguard of Silverymoon receives an adrath token-a small metal disk that allows him to cast spells that are normally forbidden by the mythal. As long as he has this token in his possession, he may cast conjuration (summoning) spells, evocation [fi re] spells, and spells with the teleportation descriptor within the wards of Silverymoon. He may also freely use magic items that produce those effects. This token does not magically appear in the spellguard's  possession; he must return to Silverymoon to receive it from his superior.	KEY:Spellguard of Silverymoon ~ Token																		KIT:1|Adrath Token Kit								SORTKEY:Class_Spellguard_Of_Silverymoon	SOURCEPAGE:PgtF		
Ward Attunement	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellguardOfSilverymoonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Each 1st-level spellguard of Silverymoon is inducted formally into the order through an elaborate ceremony held in the High Palace of Silverymoon. This ceremony attunes the spellguard to the mythal that surrounds Silverymoon without the 2,500 XP cost normally required. See the sidebar for information on ward attunement.	KEY:Spellguard of Silverymoon ~ Ward Attunement																										SORTKEY:Class_Spellguard_Of_Silverymoon	SOURCEPAGE:PgtF		
Metamagic Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellguardOfSilverymoonClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level and again at 4th level, the spellguard may select any metamagic feat he does not already have as a bonus feat. He must meet any prerequisites for a feat in order to select it.	KEY:Spellguard of Silverymoon ~ Metamagic Feat				DEFINE:SpellguardOfSilverymoonMetamagicFeats|0					BONUS:VAR|SpellguardOfSilverymoonMetamagicFeats|SpellguardOfSilverymoonLVL/2	BONUS:ABILITYPOOL|Spellguard of Silverymoon Feat|SpellguardOfSilverymoonMetamagicFeats																SORTKEY:Class_Spellguard_Of_Silverymoon	SOURCEPAGE:PgtF		
Selective Spell	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellguardOfSilverymoonClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Spellguards are specifically trained to minimize collateral damage when casting their combat spells. Once per day per point of Intelligence bonus (minimum once per day), a spellguard of at least 3 rd level may designate a single type (and subtype, if desired) of creature when casting a spell. When a single creature type has multiple subtypes, the spellguard may choose to count only one of the subtypes or all of them, at his discretion. At the spellguard's option, that type of creature is either the only type affected by the spell or the only type unaffected by it. Inorganic material, objects, and anything else that does not have a creature type is affected normally. Casting a selective spell requires a fullround Action. For example, suppose a spellguard is patrolling the forest around Silverymoon with a p arty o f Knights in Silver made up of two humans, an elf, and a dwarf. Suddenly, the group is rushed by goblins. The spellguard uses his selective spell ability to cast a fireball, designating humanoid (goblinoid) as the only creature type affected. The fireball detonates in the midst of the melee, and although the spellguard's companions are within the area of the spell, they are spared any ill effects. At 5th level, the spellguard may designate multiple creature types and subtypes for a s elective spell. Each type or subtype so designated, however, uses up one additional use per day of his selective spell ability.	KEY:Spellguard of Silverymoon ~ Selective Spell	DESC:%1/day.|SelectiveSpellTimes			DEFINE:SelectiveSpellTimes|0					BONUS:VAR|SelectiveSpellTimes|max(1,INT)																	SORTKEY:Class_Spellguard_Of_Silverymoon	SOURCEPAGE:PgtF		
Spellguard	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellguardOfSilverymoonClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:The Spellguard was originally formed to protect High Lady Alustriel from personal attacks. Though that purpose has largely become secondary to defending the city, spellguards still receive some training in serving as bodyguards. At 4th level, the spellguard of Silverymoon may cast any personal-range defensive arcane spell on another character with a touch. For this purpose, a defensive spell is one that improves AC, increases a saving throw modifier, or grants additional hit points (either by healing wounds or by bestowing temporary hit points).	KEY:Spellguard of Silverymoon ~ Spellguard																										SORTKEY:Class_Spellguard_Of_Silverymoon	SOURCEPAGE:PgtF		
Spell Power	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellguardOfSilverymoonClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, the spellguard's effective caster level increases by 1 for the purpose of determining level-dependent variables and making caster level checks.	KEY:Spellguard of Silverymoon ~ Spell Power									BONUS:CASTERLEVEL|ALLSPELLS|1																	SORTKEY:Class_Spellguard_Of_Silverymoon	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSpyClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Zhentarim spies are proficient with all simple weapons, with light and medium armor, and with shields.	KEY:Zhentarim Spy ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Zhentarim_Spy	SOURCEPAGE:PgtF		
