SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
					
STARTPACK:Mercantile Background Kit	TYPE:Feat	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PREABILITY:1,CATEGORY=FEAT,Merchantile Background
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Human ~ Vilhon Reach Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Dagger	EQMOD:MWORKW				
					
STARTPACK:Human ~ Vilhon Reach Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Chain Shirt					
GEAR:Bolts (Crossbow/10)	EQMOD:MWORKW	QTY:2			
					
					
					
REGION:Waterdeep					
STARTPACK:Human ~ Waterdeep Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Longsword	EQMOD:MWORKW				
					
STARTPACK:Human ~ Waterdeep Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Human ~ Waterdeep Region A3	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sword (Short)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Waterdeep Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll	EQMOD:SCROLL_ARCANE.SCROLL_MINOR.A_1USEMI|2	QTY:2			
					
STARTPACK:Human ~ Waterdeep Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll	EQMOD:SCROLL_DIVINE.SCROLL_MINOR.A_1USEMI|2	QTY:2			
					
STARTPACK:Dwarf ~ Waterdeep Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Chain Shirt	EQMOD:MWORKA				
FUNDS:gp	QTY:50				
					
STARTPACK:Dwarf ~ Waterdeep Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Mace (Heavy)	EQMOD:MWORKW				
					
STARTPACK:Dwarf ~ Waterdeep Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Dwarf
GEAR:Battleaxe	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Waterdeep Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Waterdeep Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Dagger	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Waterdeep Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Wand	EQMOD:SPL_CHRG|SPELLNAME[Magic Missile]|SPELLLEVEL[1]|CASTERLEVEL[1]|CHARGES[20]				
					
STARTPACK:Half-Elf ~ Waterdeep Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Rapier	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Waterdeep Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Dagger	EQMOD:MWORKW				
					
STARTPACK:Half-Elf ~ Waterdeep Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Half-Elf
GEAR:Chain Shirt	EQMOD:MWORKA				
FUNDS:gp	QTY:50				
					
					
					
REGION:Wealdath					
STARTPACK:Elf ~ Wealdath Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Longbow	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Wealdath Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Chain Shirt	EQMOD:MWORKA				
GEAR:Potion (Cure Light Wounds)					
					
					
					
REGION:Western Heartlands					
STARTPACK:Human ~ Western Heartlands Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Sword (Bastard)	EQMOD:MWORKW				
					
STARTPACK:Human ~ Western Heartlands Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Greatsword	EQMOD:MWORKW				
					
STARTPACK:Human ~ Western Heartlands Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Potion (Lesser Restoration)					
					
STARTPACK:Gnome ~ Western Heartlands Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Pistol					
GEAR:Gunpowder (Horn)					
GEAR:Bullet (Firearm/10)	EQMOD:MWORKW				
					
STARTPACK:Gnome ~ Western Heartlands Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Gnome
GEAR:Scroll (Invisibility)					
GEAR:Scroll (Mirror Image)					
					
STARTPACK:Halfling ~ Western Heartlands Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Crossbow (Light)	EQMOD:MWORKW				
					
STARTPACK:Halfling ~ Western Heartlands Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Shortbow	EQMOD:MWORKW				
					
STARTPACK:Halfling ~ Western Heartlands Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Halfling
GEAR:Chain Shirt	EQMOD:MWORKA				
					
					
					
					
					
REGION:Wizards' Reach					
STARTPACK:Human ~ Wizards' Reach Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Bolts (Crossbow/10)	EQMOD:MWORKW.PLUS1W				
					
STARTPACK:Human ~ Wizards' Reach Region B1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll	EQMOD:SCROLL_DIVINE.SCROLL_MINOR.A_1USEMI|2				
GEAR:Thunderstone	QTY:3				
					
STARTPACK:Human ~ Wizards' Reach Region B2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Human
GEAR:Scroll	EQMOD:SCROLL_ARCANE.SCROLL_MINOR.A_1USEMI|2				
GEAR:Thunderstone	QTY:3				
					
					
					
REGION:Yuirwood					
STARTPACK:Elf ~ Yuirwood Region A1	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Studded Leather	EQMOD:MWORKA				
GEAR:Arrows (20)	EQMOD:MWORKW				
					
STARTPACK:Elf ~ Yuirwood Region A2	TYPE:Region	VISIBLE:QUALIFY	EQUIPBUY:0	PRELEVELMAX:1	PRERACE:1,Elf
GEAR:Scroll (Barkskin)					
GEAR:Scroll (Tree Shape)					
